Row ID;Row Name;disableParam_NT;ParamStr
0;;0;_00_PC_Male_Young_Neutral;
1;;0;_01_PC_Male_Young_Deeper;
2;;0;_02_PC_Male_Mature_Neutral;
3;;0;_03_PC_Male_Mature_Deeper;
4;;0;_04_PC_Male_Aged_Neutral;
5;;0;_05_PC_Male_Aged_Deeper;
10;;0;_10_PC_Female_Young_Neutral;
11;;0;_11_PC_Female_Young_Deeper;
12;;0;_12_PC_Female_Mature_Neutral;
13;;0;_13_PC_Female_Mature_Deeper;
14;;0;_14_PC_Female_Aged_Neutral;
15;;0;_15_PC_Female_Aged_Deeper;
50;;0;_50_NPC_Male_Young;
51;;0;_51_NPC_Male_Middle;
52;;0;_52_NPC_Male_Old;
60;;0;_60_NPC_Female_Young;
61;;0;_61_NPC_Female_Middle;
62;;0;_62_NPC_Female_Old;
100;;0;NPC_vc300;
101;;0;NPC_vc301;
102;;0;NPC_vc302;
103;;0;NPC_vc303;
104;;0;NPC_vc304;
105;;0;NPC_vc305;
106;;0;NPC_vc306;
107;;0;NPC_vc307;
108;;0;NPC_vc308;
109;;0;NPC_vc309;
110;;0;NPC_vc310;
111;;0;NPC_vc311;
112;;0;NPC_vc312;
113;;0;NPC_vc313;
114;;0;NPC_vc314;
115;;0;NPC_vc315;
116;;0;NPC_vc316;
117;;0;NPC_vc317;
118;;0;NPC_vc318;
119;;0;NPC_vc319;
120;;0;NPC_vc320;
121;;0;NPC_vc321;
122;;0;NPC_vc322;
123;;0;NPC_vc323;
124;;0;NPC_vc324;
125;;0;NPC_vc325;
126;;0;NPC_vc326;
127;;0;NPC_vc327;
128;;0;NPC_vc328;
129;;0;NPC_vc329;
130;;0;NPC_vc330;
131;;0;NPC_vc331;
132;;0;NPC_vc332;
133;;0;NPC_vc333;
134;;0;NPC_vc334;
135;;0;NPC_vc335;
136;;0;NPC_vc336;
137;;0;NPC_vc337;
138;;0;NPC_vc338;
139;;0;NPC_vc339;
140;;0;NPC_vc340;
141;;0;NPC_vc341;
142;;0;NPC_vc342;
143;;0;NPC_vc343;
144;;0;NPC_vc344;
145;;0;NPC_vc345;
146;;0;NPC_vc346;
147;;0;NPC_vc347;
148;;0;NPC_vc348;
149;;0;NPC_vc349;
150;;0;NPC_vc350;
151;;0;NPC_vc351;
152;;0;NPC_vc352;
153;;0;NPC_vc353;
154;;0;NPC_vc354;
155;;0;NPC_vc355;
156;;0;NPC_vc356;
157;;0;NPC_vc357;
158;;0;NPC_vc358;
159;;0;NPC_vc359;
160;;0;NPC_vc360;
161;;0;NPC_vc361;
162;;0;NPC_vc362;
163;;0;NPC_vc363;
164;;0;NPC_vc364;
165;;0;NPC_vc365;
166;;0;NPC_vc366;
167;;0;NPC_vc367;
168;;0;NPC_vc368;
169;;0;NPC_vc369;
170;;0;NPC_vc370;
171;;0;NPC_vc371;
172;;0;NPC_vc372;
173;;0;NPC_vc373;
174;;0;NPC_vc374;
175;;0;NPC_vc375;
176;;0;NPC_vc376;
177;;0;NPC_vc377;
178;;0;NPC_vc378;
179;;0;NPC_vc379;
180;;0;NPC_vc380;
181;;0;NPC_vc381;
182;;0;NPC_vc382;
183;;0;NPC_vc383;
184;;0;NPC_vc384;
185;;0;NPC_vc385;
186;;0;NPC_vc386;
187;;0;NPC_vc387;
188;;0;NPC_vc388;
189;;0;NPC_vc389;
190;;0;NPC_vc390;
191;;0;NPC_vc391;
192;;0;NPC_vc392;
193;;0;NPC_vc393;
194;;0;NPC_vc394;
195;;0;NPC_vc395;
196;;0;NPC_vc396;
197;;0;NPC_vc397;
198;;0;NPC_vc398;
199;;0;NPC_vc399;
200;;0;NPC_vc400;
201;;0;NPC_vc401;
202;;0;NPC_vc402;
203;;0;NPC_vc403;
204;;0;NPC_vc404;
205;;0;NPC_vc405;
206;;0;NPC_vc406;
207;;0;NPC_vc407;
208;;0;NPC_vc408;
209;;0;NPC_vc409;
210;;0;NPC_vc410;
211;;0;NPC_vc411;
212;;0;NPC_vc412;
213;;0;NPC_vc413;
214;;0;NPC_vc414;
215;;0;NPC_vc415;
216;;0;NPC_vc416;
217;;0;NPC_vc417;
218;;0;NPC_vc418;
219;;0;NPC_vc419;
220;;0;NPC_vc420;
221;;0;NPC_vc421;
222;;0;NPC_vc422;
223;;0;NPC_vc423;
224;;0;NPC_vc424;
225;;0;NPC_vc425;
226;;0;NPC_vc426;
227;;0;NPC_vc427;
228;;0;NPC_vc428;
229;;0;NPC_vc429;
230;;0;NPC_vc430;
231;;0;NPC_vc431;
232;;0;NPC_vc432;
233;;0;NPC_vc433;
234;;0;NPC_vc434;
235;;0;NPC_vc435;
236;;0;NPC_vc436;
237;;0;NPC_vc437;
238;;0;NPC_vc438;
239;;0;NPC_vc439;
240;;0;NPC_vc440;
241;;0;NPC_vc441;
242;;0;NPC_vc442;
243;;0;NPC_vc443;
244;;0;NPC_vc444;
245;;0;NPC_vc445;
246;;0;NPC_vc446;
247;;0;NPC_vc447;
248;;0;NPC_vc448;
249;;0;NPC_vc449;
250;;0;NPC_vc450;
251;;0;NPC_vc451;
252;;0;NPC_vc452;
253;;0;NPC_vc453;
254;;0;NPC_vc454;
255;;0;;
