Row ID;Row Name;sfxId_00;sfxId_01;sfxId_02;sfxId_03;sfxId_04;sfxId_05;sfxId_06;sfxId_07;sfxId_08;sfxId_09;sfxId_10;sfxId_11;sfxId_12;sfxId_13;sfxId_14;sfxId_15;sfxId_16;sfxId_17;sfxId_18;sfxId_19;sfxId_20;sfxId_21;sfxId_22;sfxId_23;sfxId_24;sfxId_25;sfxId_26;sfxId_27;sfxId_28;sfxId_29;sfxId_30
0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
100;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
101;;262501;262502;0;0;0;262511;262512;0;0;0;262521;262522;0;0;0;262531;262532;262533;262534;262535;0;0;0;0;0;0;0;0;0;0;0;
102;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
103;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
104;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
105;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
106;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
107;;263501;263502;0;0;0;263511;263512;0;0;0;263521;263522;0;0;0;263531;263532;263533;263534;263535;0;0;0;0;0;0;0;0;0;0;0;
108;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
109;;220501;220502;0;0;0;220511;220512;0;0;0;220521;220522;0;0;0;220531;220532;220533;220534;220535;0;0;0;0;0;0;0;0;0;0;0;
110;;220501;220502;0;0;0;220511;220512;0;0;0;220521;220522;0;0;0;220531;220532;220533;220534;220535;0;0;0;0;0;0;0;0;0;0;0;
111;;220501;220502;0;0;0;220511;220512;0;0;0;220521;220522;0;0;0;220531;220532;220533;220534;220535;0;0;0;0;0;0;0;0;0;0;0;
112;;215501;215502;0;0;0;215511;215512;0;0;0;215521;215522;0;0;0;215531;215532;215533;215534;215535;0;0;0;0;0;0;0;0;0;0;0;
113;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
114;;250501;250502;0;0;0;250511;250512;0;0;0;250521;250522;0;0;0;250531;250532;250533;250534;250535;0;0;0;0;0;0;0;0;0;0;0;
115;;250501;250502;0;0;0;250511;250512;0;0;0;250521;250522;0;0;0;250531;250532;250533;250534;250535;0;0;0;0;0;0;0;0;0;0;0;
