Row ID;Row Name;disableParam_NT;RefTargetMapId
30000000;;0;30000000;
30010000;;0;30000000;
30020000;;0;30000000;
30030000;;0;30000000;
30040000;;0;30000000;
30050000;;0;30000000;
30060000;;0;30000000;
30070000;;0;30000000;
30080000;;0;30000000;
30090000;;0;30000000;
30100000;;0;30000000;
30110000;;0;30000000;
30120000;;0;30000000;
30130000;;0;30000000;
30140000;;0;30000000;
30150000;;0;30000000;
30160000;;0;30000000;
30170000;;0;30000000;
30180000;;0;30000000;
30190000;;0;30000000;
30200000;;0;30000000;
31000000;;0;30000000;
31010000;;0;30000000;
31020000;;0;30000000;
31030000;;0;30000000;
31040000;;0;30000000;
31050000;;0;30000000;
31060000;;0;30000000;
31070000;;0;30000000;
31080000;;0;30000000;
31090000;;0;30000000;
31100000;;0;30000000;
31110000;;0;30000000;
31120000;;0;30000000;
31130000;;0;30000000;
31140000;;0;30000000;
31150000;;0;30000000;
31160000;;0;30000000;
31170000;;0;30000000;
31180000;;0;30000000;
31190000;;0;30000000;
31200000;;0;30000000;
31210000;;0;30000000;
31220000;;0;30000000;
32000000;;0;30000000;
32010000;;0;30000000;
32020000;;0;30000000;
32030000;;0;30000000;
32040000;;0;30000000;
32050000;;0;30000000;
32070000;;0;30000000;
32080000;;0;30000000;
32090000;;0;30000000;
32100000;;0;30000000;
32110000;;0;30000000;
32120000;;0;30000000;
