Row ID;Row Name;equipId;value;mtrlId;eventFlag_forStock;eventFlag_forRelease;sellQuantity;equipType;costType;setNum;value_Add;value_Magnification;iconId;nameMsgId;menuTitleMsgId;menuIconId
1;;240;100;-1;0;0;-1;3;0;1;0;1;-1;-1;-1;-1;
1000;;290;100000;-1;0;0;-1;3;0;1;0;1;-1;-1;-1;-1;
1001;;292;100000;-1;0;0;-1;3;0;1;0;1;-1;-1;-1;-1;
1002;;240;100000;-1;0;0;-1;3;0;1;0;1;-1;-1;-1;-1;
1003;;201000;100000;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1;
100000;[Gatekeeper Gostoc] Festering Bloody Finger;111;1000;-1;100000;0;2;3;0;1;0;1;-1;-1;-1;-1;
100002;[Gatekeeper Gostoc] Ruin Fragment;1760;100;-1;100020;0;5;3;0;1;0;1;-1;-1;-1;-1;
100004;[Gatekeeper Gostoc] Buckler;30000000;1500;-1;100040;0;1;0;0;1;0;1;-1;-1;-1;-1;
100009;[Gatekeeper Gostoc] Furlcalling Finger Remedy;150;1000;-1;100090;0;4;3;0;1;0;1;-1;-1;-1;-1;
100010;[Gatekeeper Gostoc] Silver-Pickled Fowl Foot;1190;2000;-1;100100;0;3;3;0;1;0;1;-1;-1;-1;-1;
100011;[Gatekeeper Gostoc] Stormhawk Feather;15430;500;-1;100110;0;5;3;0;1;0;1;-1;-1;-1;-1;
100012;[Gatekeeper Gostoc] Caestus;21000000;800;-1;100120;0;1;0;0;1;0;1;-1;-1;-1;-1;
100013;[Gatekeeper Gostoc] Great Arrow;51000000;300;-1;100130;0;5;0;0;1;0;1;-1;-1;-1;-1;
100014;[Gatekeeper Gostoc] Ballista Bolt;53000000;300;-1;100140;0;5;0;0;1;0;1;-1;-1;-1;-1;
100015;[Gatekeeper Gostoc] Bandit Manchettes;930200;1000;-1;100150;0;1;1;0;1;0;1;-1;-1;-1;-1;
100016;[Gatekeeper Gostoc] Bandit Boots;930300;1000;-1;100160;0;1;1;0;1;0;1;-1;-1;-1;-1;
100017;[Gatekeeper Gostoc] Bandit Garb;931100;1500;-1;100170;0;1;1;0;1;0;1;-1;-1;-1;-1;
100018;[Gatekeeper Gostoc] Ancient Dragon Smithing Stone;10140;20000;-1;100180;10009516;1;3;0;1;0;1;-1;-1;-1;-1;
100025;Memory Stone;10030;3000;-1;100250;0;1;3;0;1;0;1;-1;-1;-1;-1;
100026;Stonesword Key;8000;4000;-1;100260;0;1;3;0;1;0;1;-1;-1;-1;-1;
100050;[Sorceress Sellen] Glintstone Pebble;4000;1000;-1;100500;0;1;3;0;1;0;1;-1;-1;231010;17;
100051;[Sorceress Sellen] Scholar's Armament;4460;3000;-1;100510;0;1;3;0;1;0;1;-1;-1;-1;-1;
100052;[Sorceress Sellen] Scholar's Shield;4470;2500;-1;100520;0;1;3;0;1;0;1;-1;-1;-1;-1;
100053;[Sorceress Sellen] Crystal Barrage;4060;1500;-1;100530;0;1;3;0;1;0;1;-1;-1;-1;-1;
100054;[Sorceress Sellen] Glintstone Arc;4070;1500;-1;100540;0;1;3;0;1;0;1;-1;-1;-1;-1;
100055;[Sorceress Sellen] Glintstone Stars;4040;3000;-1;100550;0;1;3;0;1;0;1;-1;-1;-1;-1;
100056;[Sorceress Sellen - Quest] Shard Spiral;4030;8000;-1;100560;14009267;1;3;0;1;0;1;-1;-1;-1;-1;
100057;[Sorceress Sellen - Conspectus Scroll] Glintstone Cometshard;4020;12000;-1;100570;1044369244;1;3;0;1;0;1;-1;-1;-1;-1;
100058;[Sorceress Sellen - Conspectus Scroll] Star Shower;4050;10000;-1;100580;1044369244;1;3;0;1;0;1;-1;-1;-1;-1;
100059;[Sorceress Sellen - Academy Scroll] Great Glintstone Shard;4001;2000;-1;100590;1044369250;1;3;0;1;0;1;-1;-1;-1;-1;
100060;[Sorceress Sellen - Academy Scroll] Swift Glintstone Shard;4010;600;-1;100600;1044369250;1;3;0;1;0;1;-1;-1;-1;-1;
100061;[Sorceress Sellen] Glintblade Phalanx;4300;2500;-1;100610;1044369245;1;3;0;1;0;1;-1;-1;-1;-1;
100062;[Sorceress Sellen] Carian Slicer;4440;1500;-1;100620;1044369245;1;3;0;1;0;1;-1;-1;-1;-1;
100075;[Knight Bernahl] Ash of War: Impaling Thrust;10100;1000;-1;100750;0;1;4;0;1;0;1;-1;-1;231030;19;
100076;[Knight Bernahl] Ash of War: Spinning Slash;10300;1200;-1;100760;0;1;4;0;1;0;1;-1;-1;-1;-1;
100077;[Knight Bernahl] Ash of War: Quickstep;80000;800;-1;100770;0;1;4;0;1;0;1;-1;-1;-1;-1;
100078;[Knight Bernahl] Ash of War: Stamp (Upward Cut);10600;1500;-1;100780;0;1;4;0;1;0;1;-1;-1;-1;-1;
100079;[Knight Bernahl] Ash of War: Kick;50300;800;-1;100790;0;1;4;0;1;0;1;-1;-1;-1;-1;
100080;[Knight Bernahl] Ash of War: War Cry;65100;800;-1;100800;0;1;4;0;1;0;1;-1;-1;-1;-1;
100081;[Knight Bernahl] Ash of War: Endure;70000;600;-1;100810;0;1;4;0;1;0;1;-1;-1;-1;-1;
100082;[Knight Bernahl] Ash of War: Parry;30200;600;-1;100820;0;1;4;0;1;0;1;-1;-1;-1;-1;
100083;[Knight Bernahl] Ash of War: Storm Blade;21000;1800;-1;100830;0;1;4;0;1;0;1;-1;-1;-1;-1;
100084;[Knight Bernahl] Ash of War: Eruption;20700;8000;-1;100840;16009208;1;4;0;1;0;1;-1;-1;-1;-1;
100085;[Knight Bernahl] Ash of War: Assassin's Gambit;60200;6500;-1;100850;16009208;1;4;0;1;0;1;-1;-1;-1;-1;
100086;[Knight Bernahl] Ash of War: No Skill;30900;600;-1;100860;0;1;4;0;1;0;1;-1;-1;-1;-1;
100100;[Patches] Margit's Shackle;2140;5000;-1;110000;0;1;3;0;1;0;1;-1;-1;-1;-1;
100101;[Patches] Missionary's Cookbook [2];9360;800;-1;67600;0;1;3;0;1;0;1;-1;-1;-1;-1;
100102;[Patches] Stonesword Key;8000;5000;-1;110020;0;1;3;0;1;0;1;-1;-1;-1;-1;
100103;[Patches] Furlcalling Finger Remedy;150;1000;-1;110030;0;3;3;0;1;0;1;-1;-1;-1;-1;
100104;[Patches] Glass Shard;10000;100;-1;110040;0;-1;3;0;1;0;1;-1;-1;-1;-1;
100105;[Patches] Gold-Pickled Fowl Foot;1200;600;-1;110050;0;3;3;0;1;0;1;-1;-1;-1;-1;
100108;[Patches] Parrying Dagger;1020000;1600;-1;110080;0;1;0;0;1;0;1;-1;-1;-1;-1;
100111;[Patches] Sacrificial Twig;6070;5000;-1;110110;0;1;2;0;1;0;1;-1;-1;-1;-1;
100112;[Patches] Festering Bloody Finger;111;1000;-1;110120;0;5;3;0;1;0;1;-1;-1;-1;-1;
100113;[Patches] Grace Mimic;2050;100;-1;110130;0;15;3;0;1;0;1;-1;-1;-1;-1;
100114;[Patches] Fan Daggers;1750;160;-1;110140;1038419270;20;3;0;1;0;1;-1;-1;-1;-1;
100115;[Patches] Great Arrow;51000000;300;-1;110150;0;10;0;0;1;0;1;-1;-1;-1;-1;
100116;[Patches] Ballista Bolt;53000000;300;-1;110160;0;5;0;0;1;0;1;-1;-1;-1;-1;
100117;[Patches] Festering Bloody Finger;111;1000;-1;110170;1038419271;5;3;0;1;0;1;-1;-1;-1;-1;
100118;[Patches] Fan Daggers;1750;160;-1;110180;1038419271;-1;3;0;1;0;1;-1;-1;-1;-1;
100119;[Patches] Estoc;5000000;3000;-1;110190;1038419271;1;0;0;1;0;1;-1;-1;-1;-1;
100120;[Patches] Great Arrow;51000000;300;-1;110200;1038419271;10;0;0;1;0;1;-1;-1;-1;-1;
100121;[Patches] Ballista Bolt;53000000;300;-1;110210;1038419271;5;0;0;1;0;1;-1;-1;-1;-1;
100122;[Patches] Horse Crest Wooden Shield;31240000;1000;-1;110220;0;1;0;0;1;0;1;-1;-1;-1;-1;
100126;[D, Hunter of The Dead] Litany of Proper Death;6750;2500;-1;110260;0;1;3;0;1;0;1;-1;-1;-1;-1;
100127;[D, Hunter of The Dead] Order's Blade;6770;3000;-1;110270;0;1;3;0;1;0;1;-1;-1;-1;-1;
100150;[Blackguard Big Boggart] Rya's Necklace;8136;1000;-1;400300;0;1;3;0;1;0;1;-1;-1;-1;-1;
100155;[Blackguard Big Boggart] Boiled Crab;820;600;-1;110550;1044529255;-1;3;0;1;0;1;-1;-1;-1;-1;
100160;[Blackguard Big Boggart] Boiled Prawn;830;600;-1;110600;1036439209;-1;3;0;1;0;1;-1;-1;-1;-1;
100175;[Gowry] Night Shard;4610;4000;-1;110750;0;1;3;0;1;0;1;-1;-1;231010;17;
100176;[Gowry] Night Maiden's Mist;6500;5000;-1;110760;0;1;3;0;1;0;1;-1;-1;-1;-1;
100177;[Gowry] Glintstone Stars;4040;3000;-1;110770;0;1;3;0;1;0;1;-1;-1;-1;-1;
100185;[Gowry] Pest Threads;7200;7500;-1;110850;1038519257;1;3;0;1;0;1;-1;-1;231020;18;
100200;[Sorcerer Rogier] Ash of War: Spinning Weapon;12000;1000;-1;120000;0;1;4;0;1;0;1;-1;-1;231030;19;
100201;[Sorcerer Rogier] Ash of War: Glintstone Pebble;20300;1500;-1;120010;0;1;4;0;1;0;1;-1;-1;-1;-1;
100202;[Sorcerer Rogier] Ash of War: Carian Greatsword;21900;2500;-1;120020;0;1;4;0;1;0;1;-1;-1;-1;-1;
100225;[Sorcerer Rogier] Somber Smithing Stone [1];10160;2000;-1;120250;0;-1;3;0;1;0;1;-1;-1;-1;-1;
100226;[Sorcerer Rogier] Somber Smithing Stone [2];10161;3000;-1;120260;0;-1;3;0;1;0;1;-1;-1;-1;-1;
100227;[Sorcerer Rogier] Somber Smithing Stone [3];10162;4000;-1;120270;0;3;3;0;1;0;1;-1;-1;-1;-1;
100228;[Sorcerer Rogier] Somber Smithing Stone [4];10163;6000;-1;120280;0;3;3;0;1;0;1;-1;-1;-1;-1;
100229;[Sorcerer Rogier] Carian Filigreed Crest;6020;5000;-1;120290;1034509360;1;2;0;1;0;1;-1;-1;-1;-1;
100250;[Preceptor Seluvis] Glintstone Pebble;4000;1000;-1;120500;0;1;3;0;1;0;1;-1;-1;231010;17;
100251;[Preceptor Seluvis] Glintstone Arc;4070;1500;-1;120510;0;1;3;0;1;0;1;-1;-1;-1;-1;
100252;[Preceptor Seluvis] Starlight;4140;2500;-1;120520;0;1;3;0;1;0;1;-1;-1;-1;-1;
100275;[Preceptor Seluvis] Carian Phalanx;4301;12000;-1;120750;0;1;3;0;1;0;1;-1;-1;231010;17;
100276;[Preceptor Seluvis] Glintstone Icecrag;4400;7500;-1;120760;0;1;3;0;1;0;1;-1;-1;-1;-1;
100277;[Preceptor Seluvis] Freezing Mist;4420;6000;-1;120770;0;1;3;0;1;0;1;-1;-1;-1;-1;
100278;[Preceptor Seluvis] Carian Retaliation;4640;9000;-1;120780;0;1;3;0;1;0;1;-1;-1;-1;-1;
100279;[Preceptor Seluvis] Glintstone Cometshard;4020;12000;-1;120790;1034509450;1;3;0;1;0;1;-1;-1;-1;-1;
100280;[Preceptor Seluvis] Star Shower;4050;10000;-1;120800;1034509450;1;3;0;1;0;1;-1;-1;-1;-1;
100281;[Preceptor Seluvis] Great Glintstone Shard;4001;2000;-1;120810;1034509455;1;3;0;1;0;1;-1;-1;-1;-1;
100282;[Preceptor Seluvis] Swift Glintstone Shard;4010;600;-1;120820;1034509455;1;3;0;1;0;1;-1;-1;-1;-1;
100283;[Preceptor Seluvis] Glintblade Phalanx;4300;2500;-1;120830;1034509451;1;3;0;1;0;1;-1;-1;-1;-1;
100284;[Preceptor Seluvis] Carian Slicer;4440;1500;-1;120840;1034509451;1;3;0;1;0;1;-1;-1;-1;-1;
100300;[Preceptor Seluvis - Ranni Quest] Finger Maiden Therolina Puppet;261000;2;-1;130000;0;1;3;2;1;0;1;-1;-1;-1;-1;
100301;[Preceptor Seluvis - Ranni Quest] Dolores the Sleeping Arrow Puppet;262000;5;-1;130010;11109919;1;3;2;1;0;1;-1;-1;-1;-1;
100302;[Preceptor Seluvis - Ranni Quest] Jarwight Puppet;263000;3;-1;130020;0;1;3;2;1;0;1;-1;-1;-1;-1;
100310;[Preceptor Seluvis - Dung Eater Quest] Dung Eater Puppet;260000;5;-1;130100;35009326;1;3;2;1;0;1;-1;-1;-1;-1;
100325;[Pidia, Carian Servant] Glintstone Craftsman's Cookbook [7];9347;2500;-1;67470;0;1;3;0;1;0;1;-1;-1;-1;-1;
100326;[Pidia, Carian Servant] Ritual Pot;9501;1500;-1;66450;0;1;3;0;1;0;1;-1;-1;-1;-1;
100329;[Pidia, Carian Servant] Old Fang;15040;800;-1;130290;0;3;3;0;1;0;1;-1;-1;-1;-1;
100330;[Pidia, Carian Servant] Slumbering Egg;15120;600;-1;130300;0;2;3;0;1;0;1;-1;-1;-1;-1;
100334;[Pidia, Carian Servant] Ash of War: Carian Retaliation;30500;3000;-1;130340;0;1;4;0;1;0;1;-1;-1;-1;-1;
100335;[Pidia, Carian Servant] Celestial Dew;2130;5000;-1;130350;0;1;3;0;1;0;1;-1;-1;-1;-1;
100336;[Pidia, Carian Servant] Larval Tear;8185;3000;-1;130360;0;1;3;0;1;0;1;-1;-1;-1;-1;
100337;[Pidia, Carian Servant] Budding Horn;15050;1500;-1;130370;0;2;3;0;1;0;1;-1;-1;-1;-1;
100338;[Pidia, Carian Servant] Ripple Blade;14050000;3500;-1;130380;0;1;0;0;1;0;1;-1;-1;-1;-1;
100339;[Pidia, Carian Servant] Black Leather Shield;31340000;2500;-1;130390;0;1;0;0;1;0;1;-1;-1;-1;-1;
100340;;8225;600;-1;69900;0;1;3;0;1;0;1;3287;8227;-1;-1;
100350;[Brother Corhyn] Rejection;6400;1500;-1;130500;0;1;3;0;1;0;1;-1;-1;231020;18;
100351;[Brother Corhyn] Urgent Heal;6420;1000;-1;130510;0;1;3;0;1;0;1;-1;-1;-1;-1;
100352;[Brother Corhyn] Heal;6421;1500;-1;130520;0;1;3;0;1;0;1;-1;-1;-1;-1;
100353;[Brother Corhyn] Cure Poison;6440;1000;-1;130530;0;1;3;0;1;0;1;-1;-1;-1;-1;
100354;[Brother Corhyn] Flame Fortification;6450;3000;-1;130540;0;1;3;0;1;0;1;-1;-1;-1;-1;
100355;[Brother Corhyn] Magic Fortification;6460;3500;-1;130550;0;1;3;0;1;0;1;-1;-1;-1;-1;
100356;[Brother Corhyn] Catch Flame;6000;600;-1;130560;0;1;3;0;1;0;1;-1;-1;-1;-1;
100357;[Brother Corhyn] Flame Sling;6010;800;-1;130570;0;1;3;0;1;0;1;-1;-1;-1;-1;
