Row ID;Row Name;disableParam_NT;disableParam_Debug;DstWeather_Sunny;DstWeather_ClearSky;DstWeather_WeakCloudy;DstWeather_Cloud;DstWeather_Rain;DstWeather_HeavyRain;DstWeather_Storm;DstWeather_StormForBattle;DstWeather_Snow;DstWeather_HeavySnow;DstWeather_Fog;DstWeather_HeavyFog;DstWeather_SandStorm;DstWeather_HeavyFogRain;PostPlayIngameWeather;IndoorOutdoorType;TakeOverDstWeather_Sunny;TakeOverDstWeather_ClearSky;TakeOverDstWeather_WeakCloudy;TakeOverDstWeather_Cloud;TakeOverDstWeather_Rain;TakeOverDstWeather_HeavyRain;TakeOverDstWeather_Storm;TakeOverDstWeather_StormForBattle;TakeOverDstWeather_Snow;TakeOverDstWeather_HeavySnow;TakeOverDstWeather_Fog;TakeOverDstWeather_HeavyFog;TakeOverDstWeather_SandStorm;TakeOverDstWeather_HeavyFogRain;DstWeather_Snowstorm;DstWeather_LightningStorm;DstWeather_Reserved3;DstWeather_Reserved4;DstWeather_Reserved5;DstWeather_Reserved6;DstWeather_Reserved7;DstWeather_Reserved8;TakeOverDstWeather_Snowstorm;TakeOverDstWeather_LightningStorm;TakeOverDstWeather_Reserved3;TakeOverDstWeather_Reserved4;TakeOverDstWeather_Reserved5;TakeOverDstWeather_Reserved6;TakeOverDstWeather_Reserved7;TakeOverDstWeather_Reserved8;IsEnableApplyMapGdRegionIdForGparam;OverrideMapGdRegionId
0;;0;0;0;0;11;11;20;20;0;0;40;40;50;50;60;50;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;-1;
10000010;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;-1;
10000020;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;-1;
10000030;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;-1;
10000040;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;-1;
10000050;;1;0;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;0;-1;
10010000;;1;0;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;0;-1;
10010001;;1;0;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;0;-1;
11000040;;1;0;0;0;11;11;20;20;0;0;40;40;50;50;60;50;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;-1;
11050010;;1;0;0;0;11;11;20;20;0;0;40;40;50;50;60;50;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;-1;
11050020;;1;0;0;0;11;11;20;20;0;0;40;40;50;50;60;50;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;-1;
