Row ID;Row Name;Get Item Flag ID
0;;0
1;;0
2;;0
100;;0
200;;0
300;;9800
310;;9810
2000;Flask of Crimson Tears;60000
2001;Flask of Cerulean Tears;60000
2010;Roped Fire Pot;500010
2020;;500020
2230;Small Golden Effigy;60230
2520;;500520
2700;Flask of Wondrous Physick;6700
2900;;0
2910;;0
3000;;0
3010;;0
3020;;0
3030;;0
3040;;0
4820;Baldachin's Blessing;0
4900;Mending Rune of Perfect Order;9500
4910;Mending Rune of the Death-Prince;9502
4920;Mending Rune of the Fell Curse;9504
5000;Flask of Crimson Tears, Flask of Crimson Tears +5, Flask of Crimson Tears +10, Flask of Cerulean Tears, Oil Pot;0
5010;Small Golden Effigy;0
5020;;0
5030;;0
5040;Immunizing Cured Meat;0
5200;;0
5210;;0
5220;;0
5230;;0
5240;;0
5250;;0
5260;;0
5270;;0
5280;Tarnished's Furled Finger;0
5400;Rune Arc;0
5401;Furlcalling Finger Remedy;0
5410;Rune Arc;0
5411;Furlcalling Finger Remedy;0
5420;Furlcalling Finger Remedy;0
5430;Rune Arc;0
5431;Furlcalling Finger Remedy;0
5440;Rune Arc;0
5441;Furlcalling Finger Remedy;0
5450;Rune Arc;0
5451;Furlcalling Finger Remedy;0
5500;Furlcalling Finger Remedy;0
5510;Furlcalling Finger Remedy;0
5510;Furlcalling Finger Remedy;0
5520;;0
5530;Furlcalling Finger Remedy;0
5540;Furlcalling Finger Remedy;0
5550;Furlcalling Finger Remedy;0
5620;Furlcalling Finger Remedy;0
5630;Furlcalling Finger Remedy;0
5640;Furlcalling Finger Remedy;0
5650;Furlcalling Finger Remedy;0
5670;Furlcalling Finger Remedy;0
5680;Furlcalling Finger Remedy;0
6000;;0
9000;;0
9010;;0
9020;;0
9030;Fetid Pot;0
10000;[Stormveil - Margit] Talisman Pouch;60510
10010;[Stormveil - Godrick] Godrick's Great Rune;171
10011;[Stormveil - Godrick] Remembrance of the Grafted;510010
10020;;510020
10030;[Chapel of Anticipation - Grafed Scion] Ornamental Straight Sword;510030
10031;[Chapel of Anticipation - Grafed Scion] Golden Beast Crest Shield;510030
10040;[Leyndell - Morgott] Remembrance of the Omen King;510040
10041;[Leyndell - Morgott] Morgott's Great Rune;173
10050;[Enia - 2 Great Runes] Talisman Pouch;60520
10060;[Ashen Leyndell - Gideon] Scepter of the All-Knowing;510060
10061;[Ashen Leyndell - Gideon] All-Knowing Helm;510060
10062;[Ashen Leyndell - Gideon] All-Knowing Armor;510060
10063;[Ashen Leyndell - Gideon] All-Knowing Gauntlets;510060
10064;[Ashen Leyndell - Gideon] All-Knowing Greaves;510060
10070;[Ashen Leyndell - Hoarah Loux] Remembrance of Hoarah Loux;510070
10080;[Lake or Rot - Astel] Remembrance of the Naturalborn;510080
10090;[Ainsel - Dragonkin Soldier] Frozen Lightning Spear;510090
10100;[Siofra - Valiant Gargoyle] Gargoyle's Greatsword;510100
10101;[Siofra - Valiant Gargoyle] Gargoyle's Twinblade;510100
10110;[Deeproot Depths - Fortissax] Remembrance of the Lichdragon;510110
10120;[Mohgwyn Palace - Mohg] Remembrance of the Blood Lord;510120
10121;[Mohgwyn Palace - Mohg] Mohg's Great Rune;175
10130;;510130
10140;[Farum Azula - Godskin Duo] Smithing-Stone Miner's Bell Bearing [4];510140
10141;[Farum Azula - Godskin Duo] Ash of War: Black Flame Tornado;510140
10150;[Farum Azula - Dragonlord Placidusax] Remembrance of the Dragonlord;510150
10160;[Farum Azula - Maliketh] Remembrance of the Black Blade;510160
10170;[Raya Lucaria - Red Wolf of Radagon] Memory Stone;60440
10180;[Raya Lucaria - Rennala] Remembrance of the Full Moon Queen;197
10181;[Raya Lucaria - Rennala] Great Rune of the Unborn;197
10182;[Raya Lucaria - Rennala] None;177
10190;[Haligtree - Loretta] Loretta's Mastery;510190
10191;[Haligtree - Loretta] Loretta's War Sickle;510190
10200;[Haligtree - Malenia] Remembrance of the Rot Goddess;510200
10201;[Haligtree - Malenia] Malenia's Great Rune;176
10210;[Volcano Manor - Godskin Noble] Godskin Stitcher;510210
10211;[Volcano Manor - Godskin Noble] Noble Presence;510210
10220;[Mt. Gelmir - Rykard] Remembrance of the Blasphemous;510220
