Row ID;Row Name;Unk22c
0;;255
1;;255
2;;255
3;;255
4;;255
5;;255
6;;255
7;;255
8;;255
9;;255
10;;255
11;;255
12;;255
13;;255
14;;255
15;;255
16;;255
17;;255
18;;255
19;;255
20;;255
21;;255
22;;255
23;;255
24;;255
25;;255
26;;255
27;;255
28;;255
50;;255
51;;255
52;;255
53;;255
54;;255
55;;255
56;;255
57;;255
58;;255
59;;255
60;;255
61;;255
62;;255
63;;255
64;;255
65;;255
66;;255
67;;255
68;;255
69;;255
70;;255
71;;255
72;;255
73;;255
74;;255
75;;255
76;;255
77;;255
78;;255
79;;255
80;;255
81;;255
82;;255
83;;255
84;;255
85;;255
86;;255
87;;255
88;;255
89;;255
90;;255
91;;255
92;;255
93;;255
94;;255
95;;255
96;;255
97;;255
98;;255
99;;255
100;;255
101;;255
102;;255
131;;255
1000;;255
1001;;255
1002;;255
1005;;255
1006;;255
1007;;255
1008;;255
1009;;255
1010;;255
1011;;255
1013;;255
1014;;255
1015;;255
1016;;255
1017;;255
1018;;255
1019;;255
1020;;255
1021;;255
1022;;255
1023;;255
1024;;255
1025;;255
1026;;255
1027;;255
1028;;255
1029;;255
1030;;255
1031;;255
1032;;255
1033;;255
1034;;255
1035;;255
1036;;255
1037;;255
1038;;255
1039;;255
1040;;255
1041;;255
1042;;255
1043;;255
1044;;255
1045;;255
1046;;255
1047;;255
1048;;255
1051;;255
1052;;255
1053;;255
1054;;255
1055;;1
1056;;255
1057;;255
1058;;255
1059;;255
1070;;255
1071;;255
1072;;255
1073;;255
1074;;255
1075;;255
1076;;255
1077;;255
1078;;255
1080;;255
1081;;255
1082;;255
1083;;255
1084;;255
1085;;255
1086;;255
1087;;255
1088;;255
1089;;255
1090;;255
1091;;255
1092;;255
1093;;255
1094;;255
1095;;255
1096;;255
1097;;255
1098;;255
1099;;255
1101;;255
1102;;255
1103;;255
1104;;255
1105;;255
1106;;255
1107;;255
1108;;255
1109;;255
1111;;255
1112;;255
1113;;255
1114;;255
1115;;255
1116;;255
1120;;255
1130;;255
1132;;255
1133;;255
1134;;255
1135;;255
1136;;255
1137;;255
1138;;255
1139;;255
1140;;255
1141;;255
1142;;255
1143;;255
1144;;255
1145;;255
1146;;255
1147;;255
1148;;255
1149;;255
1150;;255
1151;;255
1152;;255
1153;;255
1154;;255
1155;;255
1156;;255
1157;;255
1158;;255
1159;;255
1160;;255
1161;;255
1162;;255
1163;;255
1164;;255
1165;;255
1166;;255
1167;;255
1168;;255
1169;;255
1170;;255
1171;;255
1172;;255
1173;;255
1174;;255
1175;;255
1176;;255
1177;;255
1178;;255
1180;;255
1181;;255
1182;;255
1183;;255
1190;;255
1191;;255
1192;;255
1193;;255
1194;;255
1195;;255
1196;;255
1197;;255
1198;;255
1200;;255
1201;;255
1202;;255
1203;;255
1204;;255
1205;;255
1206;;255
1207;;255
1208;;255
1209;;255
1220;;255
1221;;255
1222;;255
1223;;255
1225;;255
1226;;255
1227;;255
1228;;255
1241;;255
1261;;255
1262;;255
1263;;255
1264;;255
1265;;255
1266;;255
1267;;255
1268;;255
1269;;255
1270;;255
1271;;255
1272;;255
1273;;255
1274;;255
1275;;255
1276;;255
1278;;255
1279;;255
1282;;255
1283;;255
1290;;5
1293;;5
1295;;5
1310;;255
1311;;255
1312;;255
1313;;255
1325;;255
1327;;255
1338;;255
1345;;255
1346;;255
1348;;255
1371;;5
1372;;5
1373;;5
1374;;5
1381;;255
1382;;255
1383;;255
1384;;255
1385;;255
1386;;255
1387;;255
1388;;255
1389;;255
1390;;255
1391;;255
1392;;255
1393;;255
1394;;255
1395;;255
1396;;255
1397;;255
1398;;255
1399;;255
1400;;255
1401;;255
1402;;255
1403;;255
1404;;255
1405;;255
1406;;255
1407;;255
1408;;255
1409;;255
1410;;255
1411;;255
1412;;255
1413;;255
1414;;255
1415;;255
1416;;255
1417;;4
1418;;255
1420;;255
1421;;255
1422;;255
1423;;255
1430;;255
1431;;255
1432;;255
1433;;255
1440;;255
1441;;255
1442;;255
1443;;255
1444;;255
1445;;255
1800;;255
1801;;255
1802;;255
1805;;255
1810;;255
1811;;255
1812;;255
1815;;255
1820;;255
1821;;255
1822;;255
1823;;255
1830;;255
1831;;255
1832;;255
1833;;255
1834;;255
1835;;255
1836;;255
1837;;255
1838;;255
1839;;255
1840;;255
1841;;255
1842;;255
1843;;255
1844;;255
1845;;255
1846;;255
1847;;255
1860;;255
1890;;255
1891;;255
1892;;255
1893;;255
1900;;255
1901;;255
1910;;255
1911;;255
1949;;255
1950;;255
1951;;255
1970;;255
1980;;255
2000;;255
2001;;255
2002;;255
2020;;255
2021;;255
2100;;255
2101;;255
2102;;255
2103;;255
2104;;255
2105;;255
2106;;255
2107;;255
2108;;255
2109;;255
2110;;255
2111;;255
2112;;255
2113;;255
2114;;255
2115;;255
2116;;255
2117;;255
2118;;255
2119;;255
2901;;255
2902;;255
2903;;255
2950;;255
3000;;255
3001;;255
3002;;255
3003;;255
3004;;255
3005;;255
3006;;255
3007;;255
3008;;255
3009;;255
3011;;255
3012;;255
3013;;255
3014;;255
3015;;255
3016;;255
3017;;255
3018;;255
3019;;255
3020;;255
3021;;255
3022;;255
3023;;255
3024;;255
3025;;255
3026;;255
3027;;255
3028;;255
3029;;255
3030;;255
3031;;255
3032;;255
3033;;255
3034;;255
3035;;255
3036;;255
3037;;255
3038;;255
3040;;255
3041;;255
3042;;255
3043;;255
3044;;255
3045;;255
3046;;255
3047;;255
3050;;255
3051;;255
3052;;255
3053;;255
3054;;4
3055;;255
3056;;255
3057;;255
3058;;255
3059;;255
3060;;255
3061;;255
3062;;255
3063;;255
3064;;255
3065;;255
3066;;255
3067;;255
3068;;255
3069;;255
3070;;255
3071;;255
3072;;255
3073;;255
3074;;255
3075;;255
3076;;255
3077;;255
3078;;255
3079;;255
3080;;255
3081;;255
3082;;255
3083;;255
3084;;255
3085;;255
3086;;255
3087;;255
3088;;255
3089;;4
3090;;4
3091;;4
3092;;255
3100;;255
3101;;255
3102;;255
3103;;255
3104;;255
3105;;255
3106;;255
3107;;255
3108;;255
3113;;255
3114;;255
3116;;255
3117;;255
3118;;255
3119;;255
3120;;255
3121;;255
3122;;255
3123;;255
3124;;255
3125;;255
3126;;255
3127;;255
3128;;255
3129;;255
3130;;255
3131;;255
3132;;255
3133;;255
3134;;255
3135;;255
3136;;255
3137;;255
3138;;255
3139;;255
3140;;255
3141;;255
3142;;255
3143;;255
3144;;255
3145;;255
3146;;255
3147;;255
3148;;255
3149;;255
3150;;1
3151;;1
3152;;1
3153;;1
3154;;1
3155;;1
3156;;1
3157;;255
3158;;255
3159;;255
3160;;255
3161;;255
3162;;255
3163;;255
3164;;255
3165;;255
3166;;255
3167;;255
3168;;255
3169;;255
3180;;1
3181;;1
3200;;255
3201;;255
3202;;255
3203;;255
3204;;255
3205;;255
3206;;255
3207;;255
3208;;255
3211;;255
3212;;255
3213;;255
3214;;255
3215;;255
3216;;255
3217;;255
3218;;255
3219;;255
3220;;255
3221;;255
3222;;255
3224;;255
3225;;255
3226;;255
3227;;255
3228;;255
