Row ID;Row Name;padding4
1;;255
2;Name;255
3;Body Type;255
4;Age;255
5;;255
6;Origin;255
7;Keepsake;255
8;;255
9;Choose Base Template;4
10;Detailed Appearance;255
11;Age;255
12;Voice;255
13;;255
14;;255
15;;255
16;;255
17;;255
18;;255
19;;255
20;;255
21;;255
22;;255
23;;255
24;;255
25;;255
26;;255
27;;255
28;;255
29;;255
30;;255
31;;255
32;;255
33;;255
34;;255
35;;255
36;;255
37;;255
38;;255
39;;255
40;;255
41;;255
42;;255
43;;255
44;;255
45;;255
46;;255
47;;255
48;;255
49;;255
50;;255
51;;255
52;;255
53;;255
54;;255
55;;255
56;;255
57;;255
58;;255
59;;255
60;;255
61;;255
62;;255
63;;255
64;;255
65;;255
66;;255
67;;255
68;;255
69;;255
70;;255
71;;255
72;;255
73;;255
74;;255
75;;255
76;;255
77;;255
78;;255
79;;255
80;;255
81;;255
82;;255
83;;255
84;;255
85;;255
86;;255
87;;255
88;;255
89;;255
90;;255
91;;255
92;;255
93;;255
94;;255
95;;255
96;;255
97;;255
98;;255
99;;255
100;;255
101;;255
102;;255
103;;255
104;;255
105;;255
106;;255
107;;255
108;;255
109;;255
110;;255
111;;255
112;;255
113;;255
114;;255
115;;255
116;;255
117;;255
118;;255
119;;108
120;;255
121;;255
122;;255
123;;255
124;;255
125;;255
126;;255
127;;255
128;;255
129;;255
130;;255
131;;255
132;;255
133;;255
134;;255
135;;255
136;;255
137;;255
138;;255
139;;255
140;;255
141;;255
142;;255
143;;255
144;;255
145;;255
146;;255
147;;255
148;;255
149;;255
150;;255
151;;255
152;;255
153;;255
154;;255
155;;255
156;;255
157;;255
158;;255
159;;255
160;;255
161;;255
162;;255
163;;255
164;;255
165;;255
166;;255
167;;255
168;;255
169;;255
170;;255
171;;255
172;;255
173;;255
174;;255
175;;255
176;;255
177;;255
178;;255
179;;255
180;;255
181;;255
182;;255
183;;255
184;;255
185;;255
186;;255
187;;255
188;;255
189;;255
190;;255
191;;255
192;;255
193;;255
194;;255
195;;255
196;;255
197;;255
198;;255
199;;255
200;;255
201;;255
202;;255
203;;255
