Row ID;Row Name;Weapon Type
1000;;0
11000;;29
12000;;25
13000;;3
110000;Unarmed;33
1000000;Dagger;1
2080000;Nox Flowing Sword;9
2090000;Inseparable Sword;5
4000000;Greatsword;7
5000000;Estoc;15
6000000;Bloody Helice;16
8010000;Onyx Lord's Greatsword;11
9000000;Uchigatana;13
10000000;Twinblade;14
11000000;Mace;21
12000000;Large Club;23
13000000;Nightrider Flail;24
14000000;Battle Axe;17
15000000;Greataxe;19
17010000;Sacred Mohgwyn's Spear;28
19000000;Scythe;31
20000000;Whip;39
21000000;Caestus;35
22000000;Hookclaws;37
23000000;Prelate's Inferno Crozier;41
24000000;Torch;87
30000000;Buckler;65
30060000;Beastman's Jar-Shield;67
32000000;Dragon Towershield;69
33000000;Glintstone Staff;57
34000000;Finger Seal;61
40000000;Shortbow;50
41000000;Longbow;51
42000000;Lion Greatbow;53
43000000;Soldier's Crossbow;55
44000000;Hand Ballista;56
47000000;;81
47010000;;85
51000000;Great Arrow;83
53000000;Ballista Bolt;86
