Row ID;Row Name;Team Type
0;;6
1000000;;30
10000000;;0
10003000;;7
10006000;;33
20107500;Blaidd the Half-Wolf;2
20109010;Blaidd the Half-Wolf [Tier 2];26
20410040;Larval Kindred of Rot [Tier 8];51
22740020;Giant Crab - Clean [Tier 7];52
25009138;Tanith's Knight - Greatsword [Tier 12];27
32000032;Nomad Trader - Merchant Kalé [Tier 10];28
34500012;Misbegotten - Cleaver;60
34500100;Misbegotten - Cleaver;24
36500030;Erdtree Guardian [Tier 9];57
36600041;Commoner;48
38500032;Marionette;54
39000032;Fire Monk;66
40509500;Kaiden Sellsword;8
41000030;Demi-Human;9
41009200;Demi-Human;29
42600940;Burial Watchdog - Sword [Boss] - Caelid (Minor Erdtree Catacombs);50
43000052;Wandering Noble;63
43002032;Wandering Noble;61
44700032;Abductor Virgin (Scythe);55
45000000;Dragon;11
45505050;Monstrous Dog;59
46003041;Troll Knight;49
46020050;Troll Knight;56
46300010;Runebear;58
46600030;Golem;65
60100900;Deer;5
80000000;Torrent;10
100000000;;47
