Row ID;Row Name;Equipped Armor: Chest
10;;90100
11;;90100
12;;800100
13;;430100
20;;670100
21;;981100
22;;620100
23;;730100
100;;40100
110;;40100
1000;;670100
1001;;670100
1010;;981100
1011;;981100
1020;;620100
1021;;620100
1030;;730100
1031;;730100
1040;;861100
1041;;861100
1050;;861100
1051;;861100
1052;;861100
1053;;861100
1054;;861100
1055;;861100
1056;;861100
1057;;861100
1058;;861100
1059;;861100
1060;;861100
1061;;861100
1062;;861100
1063;;861100
1064;;861100
1065;;861100
1066;;861100
1067;;861100
1068;;861100
1069;;861100
1070;;861100
1071;;861100
1072;;861100
1073;;861100
1074;;861100
1075;;861100
1076;;861100
1077;;861100
1078;;861100
1079;;861100
1100;;981100
1101;;981100
1102;;981100
1103;;620100
1104;;620100
1105;;620100
1106;;730100
1120;;40100
1121;;50100
1122;;60100
1123;;90100
1124;;201100
1125;;250100
1126;;620100
1127;;670100
1128;;730100
1129;;830100
1130;;981100
1135;;670100
1150;;670100
1151;;670100
1152;;670100
1153;;730100
1154;;730100
1155;;730100
1156;;730100
1157;;670100
1158;;670100
1159;;670100
1160;;670100
1161;;670100
1162;;670100
1163;;670100
1164;;670100
1165;;670100
1166;;670100
1167;;670100
1168;;670100
1169;;670100
1180;;670100
1181;;670100
1200;;670100
1201;;670100
1202;;670100
1203;;670100
1204;;670100
1205;;670100
1206;;670100
1207;;670100
1208;;670100
1209;;670100
1210;;670100
1211;;670100
1212;;670100
1213;;670100
1220;;670100
1221;;670100
1222;;670100
1223;;670100
1224;;670100
1225;;670100
1226;;670100
1227;;670100
1228;;670100
1229;;670100
1230;;670100
1231;;670100
1240;;670100
1241;;670100
1242;;670100
1243;;670100
1300;;661100
1301;;661100
1500;;861100
1501;;861100
1502;;861100
1503;;861100
1504;;861100
1505;;861100
1506;;861100
1507;;861100
1508;;861100
1509;;861100
1510;;861100
1511;;861100
1512;;861100
1513;;861100
1514;;861100
1515;;861100
1516;;861100
1517;;861100
1518;;861100
1519;;861100
1520;;861100
1521;;861100
1522;;861100
1523;;861100
1524;;861100
1525;;861100
1526;;861100
1527;;861100
1528;;861100
1529;;861100
1530;;861100
1531;;861100
1532;;861100
1533;;861100
1600;;670100
1601;;730100
1602;;730100
1700;;670100
1701;;730100
1702;;730100
1703;;40100
1800;;670100
2400;Gift - None;-1
2401;Gift - Crimson Amber Medallion;-1
2402;Gift - Lands Between Rune;-1
2403;Gift - Golden Seed;-1
2404;Gift - Fanged Imp Ashes;-1
