Row ID,Row Name,Icon ID
1000,,0
1100,,0
1200,,0
1210,,0
1220,,0
1230,,0
1240,,0
1250,,0
1260,,0
1400,,0
1410,,0
1420,,0
1430,,0
1500,,0
1600,,0
1700,,0
1800,,0
1900,,0
2000,,0
2100,,0
2200,,0
11000,,1122
12000,,1104
13000,,1013
100000,,10040
100100,,10040
100200,,10040
100300,,10040
100400,,10040
100500,,10040
100600,,10040
100700,,10040
100800,,10040
100900,,10040
101000,,10040
110000,Unarmed,0
170000,Throwing Dagger,0
171000,Bone Dart,0
172000,Poisonbone Dart,0
173000,Kukri,0
174000,Crystal Dart,0
175000,Fan Daggers,0
176000,Ruin Fragment,0
183000,Explosive Stone,0
183100,Explosive Stone Clump,0
184000,Poisoned Stone,0
184100,Poisoned Stone Clump,0
300000,Ancestral Infant's Head,0
301000,Omen Bairn,0
301100,Regal Omen Bairn,0
302000,Miranda's Prayer,0
303000,Cuckoo Glintstone,0
305000,Glintstone Scrap,0
305100,Large Glintstone Scrap,0
306000,Gravity Stone Fan,0
307000,Gravity Stone Chunk,0
308000,Wraith Calling Bell,0
351000,Spark Aromatic,0
358000,Poison Spraymist,0
361000,Acid Spraymist,0
830000,Fire Pot,0
830100,Redmane Fire Pot,0
830200,Giantsflame Fire Pot,0
832000,Lightning Pot,0
832100,Ancient Dragonbolt Pot,0
833000,Fetid Pot,0
834000,Swarm Pot,0
835000,Holy Water Pot,0
835100,Sacred Order Pot,0
836000,,0
837000,Poison Pot,0
840000,Roped Fire Pot,0
842000,Roped Lightning Pot,0
843000,Roped Fetid Pot,0
844000,Roped Poison Pot,0
846000,Roped Magic Pot,0
847000,Roped Fly Pot,0
848000,,0
849000,Roped Volcano Pot,0
851000,Roped Holy Water Pot,0
860000,Volcano Pot,0
864000,Sleep Pot,0
865000,Rancor Pot,0
866000,Magic Pot,0
866100,Academy Magic Pot,0
867000,,0
1000000,Dagger,10000
1000100,Heavy Dagger,10000
1000200,Keen Dagger,10000
1000300,Quality Dagger,10000
1000400,Fire Dagger,10000
1000500,Flame Art Dagger,10000
1000600,Lightning Dagger,10000
1000700,Sacred Dagger,10000
1000800,Magic Dagger,10000
1000900,Cold Dagger,10000
1001000,Poison Dagger,10000
1001100,Blood Dagger,10000
1001200,Occult Dagger,10000
1010000,Black Knife,10001
1020000,Parrying Dagger,10002
1020100,Heavy Parrying Dagger,10002
1020200,Keen Parrying Dagger,10002
1020300,Quality Parrying Dagger,10002
1020400,Fire Parrying Dagger,10002
1020500,Flame Art Parrying Dagger,10002
1020600,Lightning Parrying Dagger,10002
1020700,Sacred Parrying Dagger,10002
1020800,Magic Parrying Dagger,10002
1020900,Cold Parrying Dagger,10002
1021000,Poison Parrying Dagger,10002
1021100,Blood Parrying Dagger,10002
1021200,Occult Parrying Dagger,10002
1030000,Misericorde,10003
1030100,Heavy Misericorde,10003
1030200,Keen Misericorde,10003
1030300,Quality Misericorde,10003
1030400,Fire Misericorde,10003
1030500,Flame Art Misericorde,10003
1030600,Lightning Misericorde,10003
1030700,Sacred Misericorde,10003
1030800,Magic Misericorde,10003
1030900,Cold Misericorde,10003
1031000,Poison Misericorde,10003
1031100,Blood Misericorde,10003
1031200,Occult Misericorde,10003
1040000,Reduvia,10004
1050000,Crystal Knife,10005
1060000,Celebrant's Sickle,10006
1060100,Celebrant's Heavy Sickle,10006
1060200,Celebrant's Keen Sickle,10006
1060300,Celebrant's Quality Sickle,10006
1060400,Celebrant's Fire Sickle,10006
1060500,Celebrant's Flame Art Sickle,10006
1060600,Celebrant's Lightning Sickle,10006
1060700,Celebrant's Sacred Sickle,10006
1060800,Celebrant's Magic Sickle,10006
