Row ID,Row Name,Icon ID
0,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
20,,0
21,,4121
22,,4032
23,,4000
24,,4001
25,,4004
26,,4006
27,,4015
28,,4065
29,,4060
30,,4061
31,,4015
35,,4128
40,,0
41,,0
42,,0
43,,0
44,,0
60,,0
61,,0
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,0
71,,0
72,,0
73,,0
74,,0
75,,0
76,,0
77,,0
78,,0
79,,0
90,,0
91,,0
92,,0
93,,0
94,,0
98,,0
99,,0
100,Tarnished's Furled Finger,1
101,Duelist's Furled Finger,2
102,Bloody Finger,3
103,Finger Severer,4
104,White Cipher Ring,600
105,Blue Cipher Ring,601
106,Tarnished's Wizened Finger,5
107,Phantom Bloody Finger,634
108,Taunter's Tongue,7
109,Small Golden Effigy,602
110,Small Red Effigy,603
111,Festering Bloody Finger,8
112,Recusant Finger,635
113,Phantom Bloody Finger,636
114,Phantom Recusant Finger,674
115,Memory of Grace,9
130,Spectral Steed Whistle,13
135,Phantom Great Rune,626
150,Furlcalling Finger Remedy,14
166,,1
170,Tarnished's Furled Finger,575
171,Duelist's Furled Finger,576
172,Bloody Finger,577
174,White Cipher Ring,579
175,Blue Cipher Ring,580
178,Taunter's Tongue,578
179,Small Golden Effigy,581
180,Small Red Effigy,582
181,Spectral Steed Whistle,558
182,Furlcalling Finger Remedy,583
183,Festering Bloody Finger,675
184,Recusant Finger,676
190,Rune Arc,584
191,Godrick's Great Rune,3201
192,Radahn's Great Rune,3204
193,Morgott's Great Rune,3200
194,Rykard's Great Rune,3203
195,Mohg's Great Rune,3205
196,Malenia's Great Rune,3206
250,Flask of Wondrous Physick,24
251,Flask of Wondrous Physick,23
300,Fire Pot,25
301,Redmane Fire Pot,26
302,Giantsflame Fire Pot,606
320,Lightning Pot,28
321,Ancient Dragonbolt Pot,29
330,Fetid Pot,30
340,Swarm Pot,31
350,Holy Water Pot,32
351,Sacred Order Pot,604
360,Freezing Pot,560
370,Poison Pot,561
380,Oil Pot,565
390,Alluring Pot,86
391,Beastlure Pot,87
400,Roped Fire Pot,34
420,Roped Lightning Pot,36
430,Roped Fetid Pot,37
440,Roped Poison Pot,566
450,Roped Oil Pot,567
460,Roped Magic Pot,707
470,Roped Fly Pot,615
480,Roped Freezing Pot,0
490,Roped Volcano Pot,617
510,Roped Holy Water Pot,618
600,Volcano Pot,585
610,Albinauric Pot,586
630,Cursed-Blood Pot,573
640,Sleep Pot,213
650,Rancor Pot,196
660,Magic Pot,197
661,Academy Magic Pot,559
670,Rot Pot,611
810,Rowa Raisin,595
811,Sweet Raisin,607
812,Frozen Raisin,608
820,Boiled Crab,638
830,Boiled Prawn,639
900,Neutralizing Boluses,43
910,Stanching Boluses,44
920,Thawfrost Boluses,45
930,Stimulating Boluses,46
940,Preserving Boluses,47
950,Rejuvenating Boluses,950
960,Clarifying Boluses,49
1000,Flask of Crimson Tears,15
1001,Flask of Crimson Tears,16
1002,Flask of Crimson Tears +1,15
1003,Flask of Crimson Tears +1,16
1004,Flask of Crimson Tears +2,15
1005,Flask of Crimson Tears +2,16
1006,Flask of Crimson Tears +3,15
1007,Flask of Crimson Tears +3,16
1008,Flask of Crimson Tears +4,15
1009,Flask of Crimson Tears +4,16
1010,Flask of Crimson Tears +5,15
1011,Flask of Crimson Tears +5,16
1012,Flask of Crimson Tears +6,15
1013,Flask of Crimson Tears +6,16
