Row ID;Row Name;Equipped Weapon: Right Primary
10;;13020000
11;;13020000
12;;13000000
13;;16020000
20;;2000000
21;;16000000
22;;11000000
23;;14000000
100;;12000
110;;11000
1000;;500
1001;;500
1010;;501
1011;;501
1020;;11010000
1021;;11010000
1030;;14000000
1031;;14000000
1040;;504
1041;;504
1050;;2000
1051;;2003
1052;;2040
1053;;2042
1054;;2048
1055;;2090
1056;;2091
1057;;2105
1058;;2110
1059;;2113
1060;;2117
1061;;2120
1062;;2127
1063;;2132
1064;;2137
1065;;2150
1066;;2156
1067;;2460
1068;;2462
1069;;2466
1070;;2200
1071;;2207
1072;;2212
1073;;2217
1074;;2280
1075;;2287
1076;;2292
1077;;2297
1078;;16010000
1079;;16010000
1100;;33000000
1101;;33000000
1102;;33000000
1103;;34000000
1104;;34000000
1105;;34000000
1106;;34000000
1120;;14020000
1121;;16000200
1122;;17060000
1123;;2000000
1124;;3080000
1125;;2000000
1126;;2000000
1127;;2000000
1128;;14000000
1129;;2000000
1130;;17060000
1135;;2000000
1150;;-1
1151;;1030000
1152;;2000000
1153;;3000000
1154;;7000000
1155;;9010000
1156;;10000000
1157;;16010000
1158;;11010000
1159;;14000000
1160;;17060000
1161;;2000000
1162;;2000000
1163;;2000000
1164;;2000000
1165;;40020000
1166;;40020000
1167;;40020000
1168;;33000000
1169;;34000000
1180;;2000000
1181;;2000000
1200;;2000000
1201;;2000000
1202;;2000000
1203;;2000000
1204;;2000000
1205;;2000000
1206;;2000000
1207;;2000000
1208;;2000000
1209;;2000000
1210;;2000000
1211;;2000000
1212;;2000000
1213;;2000000
1220;;2000000
1221;;2000000
1222;;2000000
1223;;2000000
1224;;2000000
1225;;2000000
1226;;2000000
1227;;2000000
1228;;2000000
1229;;2000000
1230;;2000000
1231;;2000000
1240;;2000000
1241;;2000000
1242;;2000000
1243;;2000000
1300;;2000000
1301;;2000000
1500;;1000000
1501;;2000000
1502;;3000000
1503;;4010000
1504;;5020000
1505;;6020000
1506;;7000000
1507;;8020000
1508;;9000000
1509;;10000000
1510;;11000000
1511;;11010000
1512;;12060000
1513;;13010000
1514;;14000000
1515;;14080000
1516;;15000000
1517;;16000000
1518;;17060000
1519;;18010000
1520;;19010000
1521;;20000000
1522;;21000000
1523;;22000000
1524;;23010000
1525;;24000000
1526;;30000000
1527;;148
1528;;207
1529;;40000000
1530;;41000000
1531;;42000000
1532;;43000000
1533;;44000000
1600;;5030000
1601;;4040000
1602;;4040000
1700;;5030000
1701;;131
1702;;4010000
1703;;114
1800;;2000000
2400;Gift - None;-1
2401;Gift - Crimson Amber Medallion;-1
2402;Gift - Lands Between Rune;-1
2403;Gift - Golden Seed;-1
2404;Gift - Fanged Imp Ashes;-1
2405;Gift - Cracked Pot;-1
2406;Gift - Stonesword Key;-1
2407;Gift - Bewitching Branch;-1
2408;Gift - Boiled Prawn;-1
2409;Gift - Shabriri's Woe;-1
3000;Class - Vagabond;2000000
3001;Class - Warrior;7140000
3002;Class - Hero;14000000
3003;Class - Bandit;1090000
3004;Class - Astrologer;33130000
3005;Class - Prophet;16000000
3006;Class - Samurai;2020000
3007;Class - Prisoner;9000000
3008;Class - Confessor;5000000
3009;Class - Wretch;11010000
3010;Class - Battlemage;11010000
3011;Class - Black Knife Assassin;1010000
3012;Class - Blackflame Monk;10010000
3013;Class - Bloodhound Knight;22020000
3014;Class - Dominula Celebrant;14061200
3015;Class - Malenia's Chosen;16040000
3016;Class - Crucible Knight;3060000
3017;Class - Depraved Perfumer;43050000
3018;Class - Deathbed Companion;19000000
3019;Class - Fingerprint Knight;17050000
3020;Class - Erdtree Guardian;18110000
3021;Class - Lost Marionette;16140000
3022;Class - Night's Cavalry;13000000
3023;Class - Errant Sorcerer;33000000
3024;Class - Beholder of Death;2090000
3025;Class - Rotten Noble;5040000
3026;Class - Fallen Aristocrat;41070000
3027;Class - Draconic Adherent;20001200
3028;Class - Reviled Omen;3160000
3029;Class - Disciple of Helphen;3130000
3030;Class - Eternal Wanderer;7070000
3031;Class - Albinauric Upstart;14050000
3032;Class - White Mask Assailant;11060000
3033;Class - Fallen Braggart;21070000
3034;Class - Crystal Miner;33120000
3035;Class - Ascetic Sorcerer;5000000
3036;Class - Bestial Champion;1110000
3100;;2000000
3101;;2000000
3102;;7140000
3103;;7140000
3104;;14000000
3105;;14000000
3106;;1090000
3107;;1090000
3108;;33130000
3109;;33130000
3110;;16000000
3111;;16000000
3112;;2020000
3113;;2020000
3114;;9000000
3115;;9000000
3116;;5000000
3117;;5000000
3118;;11010000
3119;;11010000
4000;;1000000
4001;;1000000
4002;;2000000
4003;;2000000
4004;;3000000
4005;;3000000
4006;;4000000
4007;;4000000
4008;;5000000
4009;;5000000
4010;;6000000
4011;;6000000
4012;;7000000
4013;;7010000
4014;;7000000
4015;;8020000
4016;;8020000
