Row ID;Row Name;Equip ID;Value;Material ID;On Purchase - Event Flag ID;Visibility - Event Flag ID;Sell Quantity;Equip Type;Currency Type;Purchase Quantity;Price Addition;Price Multiplier;Icon ID;Name - Message ID;Menu Title - Message ID;Menu Icon ID
30000;Dagger;1000000;0;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1
30001;Black Knife;1010000;0;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1
30002;Parrying Dagger;1020000;0;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1
30003;Misericorde;1030000;0;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1
30004;Reduvia;1040000;0;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1
30005;Crystal Knife;1050000;0;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1
30006;Celebrant's Sickle;1060000;0;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1
30007;Glintstone Kris;1070000;0;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1
30008;Scorpion's Stinger;1080000;0;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1
30009;Great Knife;1090000;0;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1
30010;Wakizashi;1100000;0;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1
30011;Cinquedea;1110000;0;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1
30012;Ivory Sickle;1130000;0;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1
30013;Bloodstained Dagger;1140000;0;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1
30014;Erdsteel Dagger;1150000;0;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1
30015;Blade of Calling;1160000;0;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1
30016;Longsword;2000000;0;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1
30017;Short Sword;2010000;0;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1
30018;Broadsword;2020000;0;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1
30019;Lordsworn's Straight Sword;2040000;0;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1
30020;Weathered Straight Sword;2050000;0;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1
30021;Ornamental Straight Sword;2060000;0;-1;0;0;-1;0;0;1;0;1;-1;-1;-1;-1
