Row ID,Row Name,Target SpEffect ID 0
127,,3380
128,,3381
129,,3382
150,,3120
151,,3120
156,,473
157,,473
158,,3126
260,,3200
261,,3200
431,,3360
900,,6193012
1000,Hemorrhage - Bullet,501
1005,Poison/Blight - Bullet,506
1101,,184
1500,Flask of Crimson Tears,501075
1501,Flask of Crimson Tears +1,501076
1502,Flask of Crimson Tears +2,501077
1503,Flask of Crimson Tears +3,501078
1504,Flask of Crimson Tears +4,501079
1505,Flask of Crimson Tears +5,501080
1506,Flask of Crimson Tears +6,501081
1507,Flask of Crimson Tears +7,501082
1508,Flask of Crimson Tears +8,501083
1509,Flask of Crimson Tears +9,501084
1510,Flask of Crimson Tears +10,501085
1511,Flask of Crimson Tears +11,501086
1512,Flask of Crimson Tears +12,501087
2040,,1500
2041,,1501
2065,Winged Greathorn,1545
2071,,1640
2073,,1641
2114,Scepter of the All-Knowing,1897
2115,,1898
2116,Devourer's Scepter,1896
2146,Eclipse Shotel,1789
2150,,1631
2151,,1632
2155,,1636
2180,,1603
2190,,470
2191,,470
2192,,470
2195,Royal Greatsword,1576
2250,,1730
2260,,1800
2261,,1800
2262,,1800
2263,,1800
2264,,1800
2265,,1800
2266,,1800
2267,,1800
2268,,1800
2269,,1801
2290,Death's Poker,6700
2291,Death's Poker,6700
2294,Death's Poker,6702
2295,Death's Poker,6705
2320,Maliketh's Black Blade,6850
2321,Maliketh's Black Blade,6850
2322,Maliketh's Black Blade,6850
2335,Mohgwyn's Sacred Spear,1625
2336,Mohgwyn's Sacred Spear,1625
2337,Mohgwyn's Sacred Spear,1625
2338,Mohgwyn's Sacred Spear,1625
2339,Mohgwyn's Sacred Spear,1625
2340,Mohgwyn's Sacred Spear,1625
2411,,829
2416,,834
2430,,835
2431,,835
2490,,1530
2580,Black Knife,6845
2635,,1761
2636,,1761
2637,,1761
2651,,1515
2672,,487
2700,,1750
2701,,1751
2710,Commander's Standard,1768
2715,Reduvia,870
2716,Reduvia,870
2717,Reduvia,870
2720,Sword of St. Trina,1885
2841,Erdtree Greatshield,1525
2960,Sword of Milos,1855
2961,Sword of Milos,1856
2990,Alabaster Lord's Sword,470
2991,Alabaster Lord's Sword,470
2992,Alabaster Lord's Sword,470
3000,Onyx Lord's Greatsword,470
3001,Onyx Lord's Greatsword,470
3002,Onyx Lord's Greatsword,470
3055,Zamor Curved Sword,1441000
3056,Zamor Curved Sword,1441000
3057,Zamor Curved Sword,1441000
3060,Gargoyle's Blackblade,860
6110,,3810
101110,,8570
102100,,500360
102101,,500360
120200,,16610
120201,,16611
149401,,12699
171000,,14501
290000,,16481
300003,,20003
1000000,,21000
2010271,[Blaidd the Half-Wolf],24011
2010280,[Blaidd the Half-Wolf],14553
2030100,[Rennala],14351
2030110,[Rennala],14355
2030120,[Rennala],14353
2030150,[Rennala],14577
2031150,[Rennala - 2],14596
2031151,[Rennala - 2],14596
2031152,[Rennala - 2],14596
2100290,[Black Knife Assassin],29510
2100300,[Black Knife Assassin],29510
2100310,[Black Knife Assassin],29510
2110351,[Beast Clergyman],29516
2110352,[Beast Clergyman],29516
2110421,[Beast Clergyman],29516
2110422,[Beast Clergyman],29516
2110442,[Beast Clergyman],29516
2110451,[Beast Clergyman],29516
2110452,[Beast Clergyman],29516
2110453,[Beast Clergyman],29516
2110456,[Beast Clergyman],29516
2110457,[Beast Clergyman],29516
2110458,[Beast Clergyman],29516
2110476,[Beast Clergyman],29516
2110479,[Beast Clergyman],29516
2110753,[Beast Clergyman],29517
2110754,[Beast Clergyman],29517
2110755,[Beast Clergyman],29517
2120292,[Malenia],18454
2120293,[Malenia],18454
2120652,[Malenia],18454
2120653,[Malenia],18454
2130193,[Morgott],22006
2140290,[Omen Monstrosity],23003
2180110,[Melina],18730
2180116,[Melina],18731
2180500,[Melina],18730
2180506,[Melina],18731
2270250,[Giant Crab],23003
2270251,[Giant Crab],23003
2270260,[Giant Crab],25006
2270261,[Giant Crab],25003
3000131,[Castle Exile],420
3000425,[Castle Exile],10000
3010225,[Banished Knight],24008
3010226,[Banished Knight],24008
3010235,[Banished Knight],24008
3010245,[Banished Knight],24008
3010815,[Banished Knight],24008
3010820,[Banished Knight],24008
3010845,[Banished Knight],24008
3010847,[Banished Knight],24008
3010925,[Banished Knight],24008
3050400,[Sol Knight],11140
3050410,[Sol Knight],11141
3050900,[Sol Knight],24012
3050905,[Sol Knight],21012
3050910,[Sol Knight],24012
3050915,[Sol Knight],21012
3050920,[Sol Knight],24012
3050925,[Sol Knight],21012
3050930,[Sol Knight],24000
3050935,[Sol Knight],21000
3050940,[Sol Knight],24000
3050945,[Sol Knight],21000
3050950,[Sol Knight],24012
3050955,[Sol Knight],21012
3070170,[Dominula Celebrant],20003
3070210,[Dominula Celebrant],420
3070211,[Dominula Celebrant],420
3070220,[Dominula Celebrant],20003
3070380,[Dominula Celebrant],20003
3070450,[Dominula Celebrant],20003
3070570,[Dominula Celebrant],20003
3070900,[Dominula Celebrant],10010
3180057,[Dog],24140
3180800,[Dog],10001
3181800,[Red Wolf of Radagon],10001
3200000,[Nomad Trader],26007
3200001,[Nomad Trader],26007
3200002,[Nomad Trader],26007
3200003,[Nomad Trader],26007
3200010,[Nomad Trader],26007
3200011,[Nomad Trader],26007
3200012,[Nomad Trader],26007
3200013,[Nomad Trader],26007
3200400,[Nomad Trader],26007
3200401,[Nomad Trader],26007
3200402,[Nomad Trader],26007
3200403,[Nomad Trader],26007
3200410,[Nomad Trader],26007
3200411,[Nomad Trader],26007
3200412,[Nomad Trader],26007
3200413,[Nomad Trader],26007
3251320,[Tree Sentinel],13780
3251321,[Tree Sentinel],13780
3251322,[Tree Sentinel],13782
3251323,[Tree Sentinel],13782
3310500,[Nox Swordstress 2],11691
3320160,[Silver Tear],11691
3320170,[Silver Tear],11691
3350407,[Crystalian],21002
3350408,[Crystalian],21002
3350409,[Crystalian],21002
3350415,[Crystalian],21002
3350417,[Crystalian],21002
3350425,[Crystalian],21009
3350440,[Crystalian],21002
3350442,[Crystalian],21002
3350445,[Crystalian],21002
3350447,[Crystalian],21002
3350550,[Crystalian],21002
3350560,[Crystalian],21002
3360320,[Ancestral Follower],13153
3360490,[Ancestral Follower],21011
3360500,[Ancestral Follower],13154
3370140,[Ancestral Follower Shaman],13156
3370141,[Ancestral Follower Shaman],10007
3400500,[Exiled Duelist],21101
3400501,[Exiled Duelist],21101
3470027,[Albinauric],24150
3510092,[Skeleton (Scimitar)],-1
3510093,[Skeleton (Scimitar)],-1
3550280,[Godskin Apostle],22004
3550295,[Godskin Apostle],4101
3560250,[Godskin Noble],29000
3560251,[Godskin Noble],29002
3560260,[Godskin Noble],29001
3560261,[Godskin Noble],29001
3560270,[Godskin Noble],29001
3560350,[Godskin Noble],15452
3570302,[Grave Warden Duelist],29001
3570303,[Grave Warden Duelist],29001
3570310,[Grave Warden Duelist],29001
3570311,[Grave Warden Duelist],29001
3570320,[Grave Warden Duelist],29001
3570410,[Grave Warden Duelist],15502
3570420,[Grave Warden Duelist],29001
3570421,[Grave Warden Duelist],29001
3600204,[Alabaster Lord],13120
3600220,[Alabaster Lord],13120
3600403,[Alabaster Lord],13121
3600440,[Alabaster Lord],13121
3640110,,14405
3650310,[Erdtree Guardian],20004
3650311,[Erdtree Guardian],20004
3650312,[Erdtree Guardian],20004
3650313,[Erdtree Guardian],20004
3650343,[Erdtree Guardian],20004
3650345,[Erdtree Guardian],20004
3650700,[Erdtree Guardian],20004
3660200,[Devious Commoner],420
3660201,[Devious Commoner],420
3660210,[Devious Commoner],20003
3660211,[Devious Commoner],20002
3660220,[Devious Commoner],23001
3660221,[Devious Commoner],23001
3660250,[Devious Commoner],420
3660260,[Devious Commoner],20003
3660290,[Devious Commoner],420
3660300,[Devious Commoner],20003
3660320,[Devious Commoner],26004
3660321,[Devious Commoner],26004
3660322,[Devious Commoner],26004
3660323,[Devious Commoner],26004
3661900,[Putrid Corpse 1],20009
3661901,[Putrid Corpse 1],20004
3661905,[Putrid Corpse 1],21009
3661906,[Putrid Corpse 1],21004
3661921,[Putrid Corpse 1],22002
3661925,[Putrid Corpse 1],13462
3661926,[Putrid Corpse 1],22005
3661927,[Putrid Corpse 1],22010
3662900,[Putrid Corpse 2],20009
3662901,[Putrid Corpse 2],20004
3662905,[Putrid Corpse 2],21009
3662906,[Putrid Corpse 2],21004
3662921,[Putrid Corpse 2],22002
3662925,[Putrid Corpse 2],13462
3662926,[Putrid Corpse 2],22005
3662927,[Putrid Corpse 2],22010
3670101,[Albinauric Lookout],20003
3670401,[Albinauric Lookout],20003
3700120,[Depraved Perfumer],14406
3700122,[Depraved Perfumer],14405
3700130,[Depraved Perfumer],14406
3700131,[Depraved Perfumer],14406
3700132,[Depraved Perfumer],14406
3700572,[Depraved Perfumer],14439
3700620,[Depraved Perfumer],20600
3700621,[Depraved Perfumer],20600
3800240,[Cleanrot Knight],13855
3800241,[Cleanrot Knight],13856
3800290,[Cleanrot Knight],21019
3800291,[Cleanrot Knight],21009
3901131,[Godskin Monk],29001
3901201,[Godskin Monk],29000
3901211,[Godskin Monk],29001
3901220,[Godskin Monk],29000
3901333,[Godskin Monk],29001
3901450,[Godskin Monk],29000
3901451,[Godskin Monk],29000
3901460,[Godskin Monk],29001
3901461,[Godskin Monk],29001
3950180,[Man-Serpent],20130
3950700,[Man-Serpent],10008
4020140,[Royal Revenant],20510
4020142,[Royal Revenant],20504
4020230,[Royal Revenant],20510
4020232,[Royal Revenant],20504
4040160,[Slug],425
4070090,[Wolf],-1
4070700,[Wolf],13020
4070730,[Wolf],13020
4070800,[Wolf],10001
4100900,[Demi-Human],10002
4101900,[Demi-Human - Large],10002
4110900,[Demi-Human Shaman],10002
4120900,[Demi-Human Beastman],10002
4130910,[Demi-Human Queen],10002
4140140,[Snail],20008
4140141,[Snail],20008
4140150,[Snail],20009
4140151,[Snail],20009
4140160,[Snail],20001
4140161,[Snail],20001
4150100,[Basilisk],23001
4150101,[Basilisk],23001
4150102,[Basilisk],23001
4150110,[Basilisk],23001
4150111,[Basilisk],23001
4180050,[Jellyfish],20006
4180051,[Jellyfish],20006
4201130,[Bat Harpy],20003
4201132,[Bat Harpy],20003
4201133,[Bat Harpy],20003
4201200,[Bat Harpy],20003
4201202,[Bat Harpy],20003
4201203,[Bat Harpy],20003
4201990,[Bat Harpy],26000
4210550,[Warhawk],10945
4240402,[Enchanted Hand - Large 1],12000
4241402,[Enchanted Hand - Large 2],12000
4260360,[Burial Watchdog],24012
4260371,[Burial Watchdog],24003
4260376,[Burial Watchdog],24003
4270350,[Lion Guardian],24005
4270356,[Lion Guardian],24002
4300600,[Wandering Noble],10003
4300700,[Wandering Noble],20003
4310170,[Castle Soldier],20190
4310171,[Castle Soldier],20190
4310400,[Castle Soldier],10004
4310410,[Castle Soldier],10004
4310420,[Castle Soldier],10004
4310942,[Castle Soldier],26100
4310943,[Castle Soldier],26100
4321701,[Vulgar Militia],11971
4321711,[Vulgar Militia],11971
4321901,[Vulgar Militia],11971
4340510,[Mad Pumpkin Head],13258
4341510,[Grinning Torturer],13258
4350220,[Castle Knight],26000
4350280,[Castle Knight],26005
4350281,[Castle Knight],26005
4350282,[Castle Knight],26005
4350283,[Castle Knight],26005
4350284,[Castle Knight],26005
4350302,[Castle Knight],22010
4350360,[Castle Knight],14465
4350780,[Castle Knight],14496
4350820,[Castle Knight],26005
4350821,[Castle Knight],26005
4350822,[Castle Knight],26005
4350823,[Castle Knight],26005
4350824,[Castle Knight],26005
4370120,[Castle Foot Soldier],-1
4370121,[Castle Foot Soldier],500610
4370270,[Castle Foot Soldier],3120
4370271,[Castle Foot Soldier],3120
4370280,[Castle Foot Soldier],3120
4370281,[Castle Foot Soldier],3120
4370370,[Castle Foot Soldier],26004
4370371,[Castle Foot Soldier],26004
4370372,[Castle Foot Soldier],26004
4370373,[Castle Foot Soldier],26004
4370900,[Castle Foot Soldier],10005
4381180,[Bloodthorn Exile],22003
4381181,[Bloodthorn Exile],22003
4381182,[Bloodthorn Exile],22003
4381195,[Bloodthorn Exile],22003
4382280,[Tunnel Miner],20004
4382290,[Tunnel Miner],20004
4382291,[Tunnel Miner],20004
4385330,[Fungal Sorcerer],20004
4385331,[Fungal Sorcerer],20003
4385343,[Fungal Sorcerer],20002
4385353,[Fungal Sorcerer],20002
4385363,[Fungal Sorcerer],20002
4385373,[Fungal Sorcerer],20002
4410400,,8501
4410401,,8506
4410402,,8505
4420230,[Giant Lobster],24130
4420240,[Giant Lobster],24131
4440100,[Fungal Pod],20003
4440110,[Fungal Pod],20002
4440130,[Fungal Pod],20008
4440131,[Fungal Pod],20008
4440132,[Fungal Pod],20002
4441200,[Giant Fungal Pod 1],20004
4441201,[Giant Fungal Pod 1],20004
