Row ID,Row Name,Target Effect 1
6000,,6514
9961,,8661
9962,,8661
9963,,8662
9970,,8670
100300,,8860
100600,,6500
101110,,22001
103000,,22003
104000,,22001
200500,,19300
2010105,[Blaidd the Half-Wolf],29501
2010115,[Blaidd the Half-Wolf],29502
2010125,[Blaidd the Half-Wolf],29501
2010135,[Blaidd the Half-Wolf],29500
2010136,[Blaidd the Half-Wolf],29501
2010145,[Blaidd the Half-Wolf],29501
2010185,[Blaidd the Half-Wolf],29502
2010195,[Blaidd the Half-Wolf],29500
2010196,[Blaidd the Half-Wolf],29502
2010205,[Blaidd the Half-Wolf],29500
2010206,[Blaidd the Half-Wolf],29502
2010235,[Blaidd the Half-Wolf],29501
2010270,[Blaidd the Half-Wolf],24011
2010305,[Blaidd the Half-Wolf],29500
2010306,[Blaidd the Half-Wolf],29501
2010315,[Blaidd the Half-Wolf],29502
2040500,[Rennala Student],14386
2100290,[Black Knife Assassin] Bullet,29510
2100300,[Black Knife Assassin] Bullet,29510
2100301,[Black Knife Assassin] Bullet,29510
2100350,[Black Knife Assassin],29510
2100351,[Black Knife Assassin],29510
2100352,[Black Knife Assassin],29510
2110260,[Beast Clergyman],29515
2110270,[Beast Clergyman],29515
2110280,[Beast Clergyman],29515
2110290,[Beast Clergyman],29515
2110340,[Beast Clergyman],29515
2110341,[Beast Clergyman],29515
2110350,[Beast Clergyman],29515
2110351,[Beast Clergyman] Bullet,29515
2110370,[Beast Clergyman],29515
2110401,[Beast Clergyman],29515
2110402,[Beast Clergyman],29515
2110403,[Beast Clergyman],29515
2110420,[Beast Clergyman],29515
2110720,[Beast Clergyman],29515
2110730,[Beast Clergyman],29515
2110731,[Beast Clergyman],29515
2110740,[Beast Clergyman],29515
2110741,[Beast Clergyman],29515
2110742,[Beast Clergyman],29515
2110750,[Beast Clergyman],29515
2110751,[Beast Clergyman],29515
2120100,[Malenia],18412
2120110,[Malenia],18412
2120120,[Malenia],18412
2120130,[Malenia],18412
2120140,[Malenia],18412
2120141,[Malenia],18413
2120150,[Malenia],18412
2120160,[Malenia],18413
2120161,[Malenia],18413
2120170,[Malenia],18412
2120180,[Malenia],18412
2120190,[Malenia],18412
2120200,[Malenia],18412
2120201,[Malenia],18412
2120202,[Malenia],18412
2120203,[Malenia],18412
2120204,[Malenia],18412
2120205,[Malenia],18412
2120209,[Malenia],18410
2120210,[Malenia],18413
2120220,[Malenia],18413
2120230,[Malenia],18415
2120231,[Malenia],18415
2120240,[Malenia],18415
2120241,[Malenia],18415
2120260,[Malenia],18413
2120270,[Malenia],18413
2120271,[Malenia],18417
2120290,[Malenia],18414
2120292,[Malenia] Bullet,18414
2120293,[Malenia] Bullet,18414
2120300,[Malenia],18412
2120310,[Malenia],18412
2120321,[Malenia],18417
2120340,[Malenia],18412
2120370,[Malenia],18412
2120380,[Malenia],18412
2120390,[Malenia],18412
2120400,[Malenia],18412
2120401,[Malenia],18412
2120402,[Malenia],18412
2120403,[Malenia],18412
2120404,[Malenia],18412
2120410,[Malenia],18412
2120450,[Malenia],18412
2120460,[Malenia],18412
2120470,[Malenia],18417
2120471,[Malenia],18417
2120480,[Malenia],18412
2120481,[Malenia],18412
2120482,[Malenia],18412
2120483,[Malenia],18412
2120484,[Malenia],18412
2120485,[Malenia],18412
2120486,[Malenia],18412
2120487,[Malenia],18412
2120488,[Malenia],18412
2120489,[Malenia],18410
2120490,[Malenia],18412
2120491,[Malenia],18412
2120500,[Malenia],18413
2120501,[Malenia],18417
2120502,[Malenia],18417
2120510,[Malenia],18413
2120520,[Malenia],18413
2120530,[Malenia],18413
2120531,[Malenia],18417
2120532,[Malenia],18417
2120800,[Malenia],18410
2120801,[Malenia],18410
2120810,[Malenia],18410
2120811,[Malenia],18410
2130100,[Morgott],22002
2130105,[Morgott],22002
2130110,[Morgott],22002
2130115,[Morgott],22002
2130120,[Morgott],22002
2130125,[Morgott],22002
2130130,[Morgott],22002
2130131,[Morgott],22002
2130135,[Morgott],22002
2130136,[Morgott],22002
2130142,[Morgott],22000
2130148,[Morgott],22000
2130150,[Morgott],22002
2130155,[Morgott],22002
2130190,[Morgott],22006
2130191,[Morgott] Bullet,22003
2130195,[Morgott],22003
2130196,[Morgott],22003
2130200,[Morgott],22002
2130205,[Morgott],22002
2130210,[Morgott],22002
2130215,[Morgott],22002
2130220,[Morgott],22000
2130225,[Morgott],22000
2130230,[Morgott],22000
2130231,[Morgott],22002
2130235,[Morgott],22000
2130236,[Morgott],22002
2130260,[Morgott],22002
2130265,[Morgott],22002
2130290,[Morgott],22000
2130295,[Morgott],22000
2130300,[Morgott],22000
2130302,[Morgott],22000
2130305,[Morgott],22000
2130309,[Morgott],22000
2130350,[Morgott],22002
2130356,[Morgott],22002
2130361,[Morgott],22000
2130365,[Morgott],22000
2130380,[Morgott],22002
2130381,[Morgott],22000
2130385,[Morgott],22002
2130386,[Morgott],22000
2130394,[Morgott],22000
2130395,[Morgott],22000
2130420,[Morgott],22000
2130422,[Morgott],22000
2130424,[Morgott],22000
2130425,[Morgott],22000
2130428,[Morgott],22000
2130429,[Morgott],22000
2130430,[Morgott],22002
2130435,[Morgott],22002
2130450,[Morgott],22002
2130455,[Morgott],22002
2130490,[Morgott],22002
2130495,[Morgott],22002
2130980,[Morgott],22006
2180110,[Melina] Bullet,18730
2180115,[Melina] Bullet,18731
2180500,,18730
2180505,[Melina] Bullet,18731
3010220,[Banished Knight],24008
3010221,[Banished Knight],24008
3010230,[Banished Knight],24008
3010231,[Banished Knight],24008
3010240,[Banished Knight],24008
3010500,[Banished Knight],24008
3010501,[Banished Knight],24008
3010502,[Banished Knight],24008
3010540,[Banished Knight],24008
3010541,[Banished Knight],24008
3010542,[Banished Knight],24008
3010610,[Banished Knight],24008
3010800,[Banished Knight],24008
3010801,[Banished Knight],24008
3010810,[Banished Knight],24008
3010830,[Banished Knight],24008
3010831,[Banished Knight],24008
3010840,[Banished Knight],24008
3010841,[Banished Knight],24008
3010842,[Banished Knight],24008
3010920,[Banished Knight],24008
3060900,[Undead Mariner],5836
3060901,[Undead Mariner],5837
3061900,[Undead Azula Beastman],5836
3061901,[Undead Azula Beastman],5837
3070300,[Dominula Celebrant],22004
3070330,[Dominula Celebrant],22004
3070340,[Dominula Celebrant],22004
3070350,[Dominula Celebrant],22004
3070352,[Dominula Celebrant],22004
3070354,[Dominula Celebrant],22004
3070371,[Dominula Celebrant],22004
3080000,[Imp],17171
3080010,[Imp],17171
3080020,[Imp],17171
3080030,[Imp],17171
3080040,[Imp],17171
3080050,[Imp],17171
