Row ID,Row Name,State Behavior Type
0,,0
5,,0
7,,3
12,,0
13,,0
15,,0
16,,0
17,,0
50,,0
101,,0
102,,0
201,,0
202,,0
203,,0
206,,0
207,,0
208,,0
211,,0
212,,0
221,,0
222,,0
231,,0
232,,0
236,,0
237,,0
311,,0
312,,0
321,,0
322,,0
331,,0
332,,0
336,,0
337,,0
900,,0
901,,0
1130,,0
1131,,0
2000,,0
2100,,0
2105,,0
3000,,0
3001,,0
3002,,0
3003,,0
3004,,0
3010,,0
3011,,0
3012,,0
3013,,0
3020,,0
3021,,0
3022,,0
3023,,0
3030,,0
3031,,0
3032,,0
3033,,0
3040,,0
3041,,0
3042,,0
3043,,0
3050,,0
3051,,0
3052,,0
3053,,0
3060,,0
3061,,0
3062,,0
3070,,0
3071,,0
3072,,0
3073,,0
3090,,0
3091,,0
3092,,0
3093,,0
3100,,0
3101,,0
3102,,0
3103,,0
3104,,0
3105,,0
3106,,0
3107,,0
3108,,0
3110,,0
3111,,0
3112,,0
3113,,0
3114,,0
3115,,0
3116,,0
3117,,0
3120,,0
3121,,0
3122,,0
3123,,0
3130,,0
3131,,0
3132,,0
3133,,0
3140,,0
3141,,0
3142,,0
3143,,0
3150,,0
3151,,0
3152,,0
3153,,0
3160,,0
3161,,0
3162,,0
3200,,0
3201,,0
3202,,0
3203,,0
3210,,0
3211,,0
3212,,0
3213,,0
3300,,0
3301,,0
3302,,0
3303,,0
3304,,0
3305,,0
3306,,0
3310,,0
3311,,0
3312,,0
3313,,0
3320,,0
3321,,0
3322,,0
3323,,0
3330,,0
3331,,0
3332,,0
3333,,0
3340,,0
3341,,0
3342,,0
3343,,0
3400,,0
3401,,0
3402,,0
3403,,0
3404,,0
3405,,0
3406,,0
3410,,0
3411,,0
3412,,0
3413,,0
3420,,0
3421,,0
3422,,0
3423,,0
3430,,0
3431,,0
3432,,0
3433,,0
3440,,0
3441,,0
3442,,0
3443,,0
3500,,0
3600,,0
4000,,0
5100,,0
7000,,0
9900,,0
9902,,0
9910,,0
9930,,0
9950,,0
9960,,0
9961,,0
9962,,0
9963,,0
9970,,0
9971,,0
100100,,0
100200,,0
100202,,0
100300,,0
100400,,0
100401,,0
100500,,0
100501,,0
100600,,0
100700,,0
100701,,0
100800,,0
100900,,0
100910,,0
100912,,0
100915,,0
100916,,0
100920,,0
100930,,0
101000,,0
101100,,0
101102,,0
101105,,0
101107,,0
101110,,0
101112,,0
101120,,0
102000,,0
102001,,0
102010,,0
102020,,0
102100,,0
102102,,0
103000,,0
104000,,0
149400,,0
149500,,0
170000,,0
170001,,0
170002,,0
170003,,0
171000,,0
200100,,0
200105,,0
200200,,0
200300,,0
200400,,0
200500,,0
200600,,0
235000,,0
240000,,0
240001,,0
280000,,0
280100,,0
290000,,0
290001,,0
300002,,0
801000000,,0
801001000,,0
801001010,,0
801001020,,0
801001030,,0
801001040,,0
801001050,,0
801001060,,0
801001070,,0
801010000,,0
801010010,,0
801010020,,0
801010030,,0
