Row ID,Row Name,Is Charge Attack 3
0,Grafted Blade Greatsword,True
1,,True
2,,True
3,,True
5,,True
6,,True
7,,True
10,,False
11,,False
20,,True
21,,True
40,,False
41,,False
42,,False
43,,False
44,,False
101,,True
200,,False
201,,False
202,,False
203,,False
204,,False
205,,False
206,,False
210,,False
211,,False
212,,False
213,,False
220,,False
221,,False
222,,False
300,,False
301,,False
302,,False
303,,False
304,,False
305,,False
306,,False
307,,False
310,,False
311,,False
312,,False
313,,False
320,,False
321,,False
322,,False
550,,False
560,,False
800,,True
810,,True
900,,False
980,,True
981,,True
982,,True
983,,True
984,,True
990,,True
991,,True
992,,True
993,,True
994,,True
995,,True
996,,True
997,,True
998,,True
999,,True
1000,,True
1001,,True
1002,,True
1010,Impact,True
1011,,True
1012,,True
1013,,True
1020,,True
1021,,True
1022,,True
1023,,True
1024,,True
1025,,True
1030,,True
1031,,True
1032,,True
1033,,True
1040,,True
1041,,True
1042,,True
1043,,True
1044,,True
1045,,True
1070,,True
1071,,True
1072,,True
1080,,True
1081,,True
1090,,True
1091,,True
1100,,True
1101,,True
1102,,True
1110,,True
1111,,True
1120,,True
1125,,True
1130,,True
1131,,True
1135,,True
1140,,True
1141,,True
1142,,True
1145,,True
1200,,True
1201,,True
1202,,True
1204,,True
1205,,True
1206,,True
1215,,True
1220,,True
1225,,True
1230,,True
1250,,True
1400,,True
1401,,True
1403,,True
1405,,True
1410,,True
1420,,True
1425,,True
1500,,True
1505,,True
1507,,True
1510,,True
1511,,True
1512,,True
1513,,True
1515,,True
1520,,True
1523,,True
1525,,True
1540,,True
1550,,True
1555,,True
1590,,True
1800,,True
1810,,True
1820,,True
1900,,True
1910,,True
1911,,True
1912,,True
2300,,True
2310,,True
2350,,True
2351,,True
2400,,True
2410,,True
2450,,True
2451,,True
2500,,True
2510,,True
2550,,True
2551,,True
2600,,True
2610,,True
2650,,True
2651,,True
2700,,True
2710,,True
2750,,True
2751,,True
2800,,True
2810,,True
2850,,True
2851,,True
2852,,True
2860,,True
2861,,True
3000,,True
3010,,True
3020,,True
3100,,True
3110,,True
3120,,True
3200,,True
3210,,True
3220,,True
3300,,True
3400,,True
3410,,True
3420,,True
3500,,True
3501,,True
3510,,True
3520,,True
3520,,True
3600,,True
3610,,True
3620,,True
3800,,True
10000,,True
10001,,True
10010,,True
10020,,True
10021,,True
10022,,True
10030,,True
10050,,True
10070,,True
10080,,True
10090,,True
12000,,True
12001,,True
12002,,True
12003,,True
12010,,True
12011,,True
12012,,True
12013,,True
13000,,True
13001,,True
13002,,True
13010,,True
13011,,True
13012,,True
13020,,True
13030,,True
13040,,True
14000,,True
14001,,True
14010,,True
14020,,True
15000,,True
15001,,True
15010,,True
15020,,True
15030,,True
16000,,True
16001,,True
16002,,True
16003,,True
16004,,True
16005,,True
16100,,True
16110,,True
16120,,True
16130,,True
16140,,True
16150,,True
16200,,True
16210,,True
16220,,True
16230,,True
16240,,True
16250,,True
17000,,True
18000,,True
18001,,True
18002,,True
18003,,True
19000,,True
19001,,True
19010,,True
19011,,True
19012,,True
19013,,True
19014,,True
19020,,True
19021,,True
19022,,True
19023,,True
19024,,True
20000,,True
20010,,True
21000,,True
22000,,True
23000,,True
23010,,True
24000,,True
25000,,True
