Row ID,Row Name,Is Abyssal
30100100,Banished Knight,True
30100114,Banished Knight,True
30100134,Banished Knight,True
30100140,Banished Knight,True
30100172,Banished Knight,True
30100500,Banished Knight,True
30100507,Banished Knight,True
30101100,Banished Knight,True
30101134,Banished Knight,True
30101140,Banished Knight,True
30101172,Banished Knight,True
30101500,Banished Knight,True
30102100,Banished Knight,True
30102134,Banished Knight,True
30102172,Banished Knight,True
30102500,Banished Knight,True
30102507,Banished Knight,True
45000000,Dragon,True
45000010,Dragon,True
45000042,Dragon,True
45000072,Dragon,True
45001000,Dragon,True
45001072,Dragon,True
45008000,Dragon,True
45008024,Dragon,True
45010000,Dragon,True
45010040,Dragon,True
45020000,Dragon,True
45020022,Dragon,True
45020920,Dragon,True
45021000,Dragon,True
45021920,Dragon,True
45021922,Dragon,True
45030000,Dragon,True
45030050,Dragon,True
45040000,Dragon,True
45040042,Dragon,True
45050000,Dragon,True
45050042,Dragon,True
49100000,Magma Wyrm,True
49100026,Magma Wyrm,True
49100032,Magma Wyrm,True
49100038,Magma Wyrm,True
49100100,Magma Wyrm,True
49100940,Magma Wyrm,True
49110000,Magma Wyrm - Standing,True
49110052,Magma Wyrm - Standing,True
