Row ID,Row Name,Unk19
4000,,0
4001,,0
4010,,0
4020,,0
4021,,0
4030,,0
4040,,0
4050,,0
4060,,0
4070,,0
4080,,0
4090,,0
4100,,0
4110,,0
4120,,0
4130,,0
4140,,0
4200,,0
4210,,0
4220,,0
4300,,0
4301,,0
4302,,0
4360,,0
4361,,0
4370,,0
4380,,0
4381,,0
4390,,0
4400,,0
4410,,1
4420,,0
4430,,0
4431,,2
4440,,0
4450,,0
4460,,0
4470,,0
4480,,0
4490,,0
4500,,0
4510,,0
4520,,0
4600,,0
4610,,0
4620,,0
4630,,0
4640,,0
4641,,0
4642,,0
4650,,0
4660,,0
4670,,0
4700,,0
4701,,0
4710,,0
4720,,0
4721,,0
4800,,0
4810,,0
4820,,0
4830,,0
4900,,0
4910,,0
5000,,0
5001,,0
5010,,0
5020,,0
5030,,0
5040,,0
5100,,0
5110,,0
6000,,0
6001,,0
6010,,0
6020,,0
6030,,0
6040,,0
6050,,0
6060,,0
6100,,0
6110,,0
6120,,0
6210,,0
6220,,0
6230,,0
6240,,0
6250,,0
6260,,0
6270,,0
6300,,0
6310,,0
6320,,0
6330,,0
6340,,0
6400,,0
6410,,0
6420,,0
6421,,0
6422,,0
6423,,0
6424,,0
6430,,0
6431,,0
6440,,0
6441,,0
6450,,0
6460,,0
6470,,0
6480,,0
6490,,0
6500,,0
6510,,0
6520,,0
6530,,0
6600,,0
6700,,0
6701,,0
6710,,0
6720,,0
6730,,0
6740,,0
6750,,0
6760,,0
6770,,0
6780,,0
6800,,0
6810,,0
6820,,0
6830,,0
6840,,0
6850,,0
6900,,0
6910,,0
6920,,0
6921,,0
6930,,0
6940,,0
6941,,0
6950,,0
6960,,0
6970,,0
6971,,0
7000,,0
7001,,0
7010,,0
7011,,0
7020,,0
7021,,0
7030,,0
7031,,0
7040,,0
7041,,0
7050,,0
7060,,0
7080,,0
7090,,0
7200,,0
7210,,0
7220,,0
7230,,0
7240,,0
7300,,0
7310,,0
7311,,0
7320,,0
7330,,0
7500,,0
7510,,0
7520,,0
7530,,0
7900,,0
7903,,0
8000,,0
8001,,0
53010,,0
53011,,0
53012,,0
53040,,0
53041,,0
53042,,0
53043,,0
53044,,0
53045,,0
53110,,0
53111,,0
53120,,0
53160,,0
53161,,0
53162,,0
53163,,0
53180,,0
53181,,0
53190,,0
53191,,0
53192,,0
53210,,0
53240,,0
53241,,0
53242,,0
53243,,0
53244,,0
53245,,0
53246,,0
53247,,0
53248,,0
53250,,0
53251,,0
53252,,0
53260,,0
53261,,0
53270,,0
53271,,0
53290,,0
53291,,0
53330,,0
53350,,0
53390,,0
53510,,0
53520,,0
53521,,0
53522,,0
53523,,0
53524,,0
53560,,0
53561,,0
53590,,0
53610,,0
53630,,0
53720,,0
53750,,0
53751,,0
53760,,0
53770,,0
53800,,0
53801,,0
53802,,0
53803,,0
53804,,0
53805,,0
53820,,0
53821,,0
53822,,0
53830,,0
53850,,0
53851,,0
53852,,0
53860,,0
53861,,0
53900,,0
999999999,,0
