Row ID,Row Name,Unk18,Unk18
0,,0,0
981001,,0,0
981002,,0,0
981003,,0,0
981004,,0,0
981005,,0,0
981010,,0,0
981011,,0,0
982001,,0,0
1000000,,0,0
1000001,,0,10000800
1000002,,0,10000800
1000003,,0,10000800
1000004,,0,10000800
1000005,,0,10000800
1000006,,0,10000800
1000007,,0,10000800
1000008,,0,10000800
1000009,,0,10000800
1000011,,0,10000800
1000012,,0,10000800
1000013,,0,10000800
1000090,,0,0
1000091,,0,0
1001000,,0,0
1001001,,0,10010800
1001002,,0,10010800
1001003,,0,10010800
1001090,,0,0
1100000,,0,0
1100001,,0,11000800
1100002,,0,11000800
1100010,,0,0
1100011,,52,11000850
1100012,,0,11000850
1100013,,0,11000850
1100014,,0,11000850
1100015,,0,11000850
1100016,,0,11000850
1100017,,0,11000850
1100018,,0,11000850
1100019,,0,11000850
1100021,,0,11000850
1100090,,0,11000850
1100091,,0,0
1105000,,0,0
1105001,,0,11050800
1105002,,0,11050800
1105010,,0,0
1105011,,0,11050850
1105012,,0,11050850
1105013,,0,11050850
1105014,,0,0
1105020,,0,0
1105090,,0,0
1105091,,0,0
1110000,,0,0
1201000,,0,0
1201001,,0,12010800
1201002,,0,12010800
1201003,,0,12010800
1201011,,0,12040800
1201012,,0,12040800
1201013,,0,12040800
1201014,,0,12040800
1201015,,0,12040800
1201016,,0,12040800
1201017,,0,12040800
1202000,,0,0
1202001,,0,12020800
1202002,,0,12020800
1202003,,0,12020800
1202004,,0,12020800
1202005,,0,12020800
1202006,,0,12020800
1202007,,0,12020800
1202011,,0,12020830
1202012,,0,12020830
1202013,,0,12020830
1202020,,0,0
1202032,,0,12080800
1202033,,0,12080800
1202034,,0,12080800
1203000,,0,0
1203001,,0,12030800
1203002,,0,12030800
1203003,,0,12030800
1203004,,0,12030800
1203005,,0,12030800
1204000,,0,0
1204001,,0,12040800
1205000,,0,0
1205001,,0,12050800
1205002,,0,12050800
1205003,,0,12050800
1205004,,0,12050800
1205005,,0,12050800
1205006,,0,12050800
1205007,,0,0
1205090,,0,0
1207021,,0,12020850
1207022,,0,12020850
1207023,,0,12020850
1207024,,0,12020850
1207025,,0,12020850
1207026,,0,12020850
1207031,,0,12080800
1208000,,0,0
1208001,,0,12080800
1209000,,0,0
1209001,,0,12090800
1300000,,0,0
1300001,,0,13000800
1300002,,0,13000800
1300003,,0,13000800
1300004,,0,13000800
1300005,,0,13000800
1300006,,0,13000800
1300010,,0,0
1300011,,0,13000850
1300012,,0,13000850
1300013,,0,13000850
1300014,,0,13000850
1300015,,0,13000850
1300016,,0,13000850
1300017,,0,13000850
1300018,,0,13000850
1300019,,0,13000850
1300020,,0,0
1300021,,0,13000830
1300090,,0,0
1400000,,0,0
1400001,,0,14000800
1400002,,0,14000800
1400003,,0,14000800
1400010,,0,0
1400011,,46,14000850
1400012,,0,14000850
1400013,,0,14000850
1400014,,0,14000850
1400015,,0,14000850
1400016,,0,14000850
1400090,,0,0
1500000,,0,0
1500001,,0,15000800
1500002,,0,15000800
1500003,,0,15000800
1500004,,0,15000800
1500005,,0,15000800
1500010,,0,0
1500011,,0,15000850
1500012,,0,15000850
1500090,,0,0
1600000,,0,0
1600001,,0,16000800
1600002,,0,16000800
1600003,,0,16000800
1600004,,0,0
1600005,,0,0
1600006,,0,16000800
1600010,,0,0
1600011,,0,0
1600012,,0,0
1600013,,0,0
1600014,,0,16000850
1600015,,0,16000850
1600016,,0,16000850
1600017,,0,16000850
1600020,,0,0
1600021,,0,16000860
1600022,,0,16000860
1600023,,0,16000860
1600024,,0,0
1600025,,0,16000800
1800000,,0,0
1800001,,0,18000800
1800002,,0,18000800
