Row ID,Row Name,Unk1,Unk1,Unk1,Unk1
0,,0,-1,0,0
1,,0,-1,0,0
2,,0,-1,0,0
3,,0,-1,0,0
4,,0,-1,0,0
5,,0,-1,0,0
6,,0,-1,0,0
7,,0,-1,0,0
8,,0,-1,0,0
9,,0,-1,0,0
10,,0,-1,0,0
11,,0,-1,0,0
12,,0,-1,0,0
13,,0,-1,0,0
14,,0,-1,0,0
15,,0,-1,0,0
16,,0,-1,0,0
17,,0,-1,0,0
18,,0,-1,0,0
19,,0,-1,0,0
20,,0,-1,0,0
21,,0,-1,0,0
22,,0,-1,0,0
23,,0,-1,0,0
24,,0,-1,0,0
25,,0,-1,0,0
100,,0,-1,0,0
101,,0,-1,0,0
102,,0,-1,0,0
103,,0,-1,0,0
104,,0,-1,0,0
105,,0,-1,0,0
106,,0,-1,0,0
107,,0,-1,0,0
108,,0,-1,0,0
109,,0,-1,0,0
110,,0,-1,0,0
111,,0,-1,0,0
112,,0,-1,0,0
113,,0,-1,0,0
114,,0,-1,0,0
115,,0,-1,0,0
116,,0,-1,0,0
117,,0,-1,0,0
118,,0,-1,0,0
119,,0,-1,0,0
120,,0,-1,0,0
121,,0,-1,0,0
122,,0,-1,0,0
123,,0,-1,0,0
124,,0,-1,0,0
125,,0,-1,0,0
200,,0,-1,0,0
201,,0,-1,0,0
202,,0,-1,0,0
203,,0,-1,0,0
204,,0,-1,0,0
205,,0,-1,0,0
206,,0,-1,0,0
207,,0,-1,0,0
208,,0,-1,0,0
209,,0,-1,0,0
210,,0,-1,0,0
211,,0,-1,0,0
212,,0,-1,0,0
213,,0,-1,0,0
214,,0,-1,0,0
215,,0,-1,0,0
216,,0,-1,0,0
217,,0,-1,0,0
218,,0,-1,0,0
219,,0,-1,0,0
220,,0,-1,0,0
221,,0,-1,0,0
222,,0,-1,0,0
223,,0,-1,0,0
224,,0,-1,0,0
225,,0,-1,0,0
300,,0,-1,0,0
301,,0,-1,0,0
302,,0,-1,0,0
303,,0,-1,0,0
304,,0,-1,0,0
305,,0,-1,0,0
306,,0,-1,0,0
307,,0,-1,0,0
308,,0,-1,0,0
309,,0,-1,0,0
310,,0,-1,0,0
311,,0,-1,0,0
312,,0,-1,0,0
313,,0,-1,0,0
314,,0,-1,0,0
315,,0,-1,0,0
316,,0,-1,0,0
317,,0,-1,0,0
318,,0,-1,0,0
319,,0,-1,0,0
320,,0,-1,0,0
321,,0,-1,0,0
322,,0,-1,0,0
