Row ID,Row Name,State Behavior Type
0,,0
10,,0
11,,0
100,,0
400,,0
401,,0
402,,0
403,,0
404,,0
405,,0
406,,0
410,,0
411,,0
412,,0
413,,0
420,,0
421,,0
422,,0
442,,0
500,,0
501,,0
502,,0
503,,0
504,,0
505,,0
506,,0
507,,0
510,,0
511,,0
512,,0
513,,0
520,,0
521,,0
522,,0
530,,0
531,,0
540,,0
541,,0
542,,0
550,,0
560,,0
600,,0
601,,0
602,,0
900,,0
1000,,0
1010,,0
1500,Flask of Crimson Tears,0
1501,Flask of Crimson Tears +1,0
1502,Flask of Crimson Tears +2,0
1503,Flask of Crimson Tears +3,0
1504,Flask of Crimson Tears +4,0
1505,Flask of Crimson Tears +5,0
1506,Flask of Crimson Tears +6,0
1507,Flask of Crimson Tears +7,0
1508,Flask of Crimson Tears +8,0
1509,Flask of Crimson Tears +9,0
1510,Flask of Crimson Tears +10,0
1511,Flask of Crimson Tears +11,0
1512,Flask of Crimson Tears +12,0
2100,Hemorrhage - Bullet,0
2105,Poison/Scarlet Rot - Bullet,0
2110,,0
2120,,0
2121,,0
2130,,0
2140,,0
2141,,0
2200,,0
2201,,0
2202,,0
2203,,0
2204,,0
2900,,0
2999,,0
3000,,0
3005,,0
3010,,0
3011,,0
3012,,0
3020,,0
4000,,0
4001,,0
4002,,0
4003,,0
4004,,0
4005,,0
4050,,0
4100,,0
5000,,0
5010,,0
5011,,0
5012,,0
999999999,,0
