Row ID,Row Name,Bonus Souls - Singleplayer,Sub - Bonus Souls - Singleplayer
0,,10000,0
1,,10000,0
10000800,[Stormveil/Stormhill] Godrick the Grafted,20000,0
10000850,[Stormveil/Stormhill],12000,0
10010800,[Stormveil/Stormhill] Grafted Scion,3200,0
11000800,[Leyndell] Morgott, the Omen King,120000,0
11000850,[Leyndell] Godfrey, First Elden Lord,80000,0
11050800,[Leyndell],300000,0
11050850,[Leyndell],150000,0
12010800,[Ainsel River / Lake of Rot] ,12000,0
12010850,[Ainsel River / Lake of Rot] ,58000,0
12020800,[Nokron / Siofra] ,32000,0
12020830,[Nokron / Siofra] Dragonkin Soldier,16000,0
12020850,[Nokron / Siofra] ,10000,0
12030390,[Deeproot] ,25000,0
12030800,[Deeproot] ,40000,0
12030850,[Deeproot] ,90000,0
12040800,[Ainsel River] Astel, Naturalborn of the Void,80000,0
12050800,[Mohgwyn] ,420000,0
12080800,,13000,0
12090800,,24000,0
13000800,[Crumbling Farum Azula] ,220000,0
13000830,[Crumbling Farum Azula] ,280000,0
13000850,[Crumbling Farum Azula] ,170000,0
14000800,[Academy of Raya Lucaria] ,40000,0
14000850,[Academy of Raya Lucaria] ,14000,0
15000800,[Miquella's Haligtree] ,480000,0
15000850,[Miquella's Haligtree] ,200000,0
16000800,[Volcano Manor] ,130000,0
16000850,[Volcano Manor] ,50000,0
16000860,[Volcano Manor] ,10000,0
18000800,[Stranded Graveyard] ,15000,0
18000850,[Stranded Graveyard] ,400,0
19000800,[Stone Platform] ,500000,0
30000800,[Tombsward Catacombs] Cemetery Shade,2200,0
30010800,[Impaler's Catacombs] Erdtree Burial Watchdog,2400,0
30020800,[Stormfoot Catacombs] Erdtree Burial Watchdog,1300,0
30030800,[Road's End Catacombs] Spirit-Caller Snail,3000,0
30040800,[Murkwater Catacombs] Grave Warden Duelist,1700,0
30050800,[Black Knife Catacombs] Cemetery Shade,3500,0
30050850,[Black Knife Catacombs] Black Knife Assassin,4200,0
30060800,[Cliffbottom Catacombs] Erdtree Burial Watchdog,3200,0
30070800,[Wyndham Catacombs] Erdtree Burial Watchdog,12000,0
30080800,[Sainted Hero's Grave],20000,0
30090800,[Gelmir Hero's Grave] Red Wolf of the Champion,21000,0
30100800,[Auriza Hero's Grave] Crucible Knight Ordovis,28000,0
30100801,[Auriza Hero's Grave] Crucible Knight,0,0
30110800,[Deathtouched Catacombs] Black Knife Assassin,1600,0
30120800,[Unsightly Catacombs] Perfumer Tricia,9400,0
30120801,[Unsightly Catacombs] Misbegotten Warrior,0,0
30130800,[Auriza Side Tomb] Grave Warden Duelist,15000,0
30140800,[Minor Erdtree Catacombs] Erdtree Burial Watchdog,7400,0
30150800,[Caelid Catacombs] Cemetery Shade,6800,0
30160800,[War-Dead Catacombs] Putrid Tree Spirit,64000,0
30170800,[Giant-Conquering Hero's Grave] Ancient Hero of Zamor,83000,0
30180800,[Giants' Mountaintop Catacombs] Ulcerated Tree Sprit,48000,0
30190800,[Consecrated Snowfield Catacombs] Putrid Grave Warden Duelist,78000,0
30200800,[Hidden Path to the Haligtree],50000,0
31000800,[Murkwater Cave] Patches,0,0
31010800,[Earthbore Cave] Runebear,2600,0
31020800,[Tombsward Cave] Miranda the Blighted Bloom,2100,0
31030800,[Groveside Cave] Beastman of Farum Azula,1000,0
31040800,[Stillwater Cave] Cleanrot Knight,3300,0
31050800,[Lakeside Crystal Cave] Bloodhound Knight,3600,0
31060800,[Academy Crystal Cave] Crystalians,3300,0
31070800,[Seethewater Cave] Kindred of Rot,10000,0
31090800,[Volcano Cave] Demi-Human Queen Margot,11000,0
31100800,[Dragonbarrow Cave] Beastman of Farum Azula ,65000,0
31110800,[Sellia Hideaway] Crystalians,7100,0
31120800,[Cave of the Forlorn] Misbegotten Crusader,93000,0
31150800,[Coastal Cave] Demi-Human Chief,1200,0
31170800,[Highroad Cave] Guardian Golem,1700,0
31180800,[Perfumer's Grotto] Omenkiller,8400,0
31190800,[Sage's Cave] Necromancer Garris,9000,0
31200800,[Abandoned Cave] Cleanrot Knight ,7000,0
31210800,[Gaol Cave] Frenzied Duelist,6700,0
31220800,[Spiritcaller's Cave] Spirit-Caller Snail,70000,0
32000800,[Morne Tunnel] Scaly Misbegotten,2000,0
