Row ID;Row Name;VFX 0 - Time;VFX 1 - Time;VFX 2 - Time;VFX 0 - Init;VFX 0 - Main;VFX 0 - Sub;VFX 1 - Init;VFX 1 - Main;VFX 1 - Sub;VFX 2 - Init;VFX 2 - Main;VFX 2 - Sub;Unk1;Unk2;Unk3;Unk4
0;;333;333;333;-1;302604;302603;-1;302605;302603;-1;302606;302603;0;0;0;0
6100000;;333;333;333;-1;302607;302603;-1;302608;302603;-1;302609;302603;0;0;0;0
6102000;;333;333;333;-1;302607;302603;-1;302608;302603;-1;302609;302603;0;0;0;0
6200000;;333;333;333;-1;302613;302603;-1;302614;302603;-1;302606;302603;0;0;0;0
6202000;;333;333;333;-1;302613;302603;-1;302614;302603;-1;302606;302603;0;0;0;0
6300000;;333;333;333;-1;302615;302603;-1;302616;302603;-1;302644;302603;0;0;0;0
6301000;;333;333;333;-1;302615;302603;-1;302616;302603;-1;302644;302603;0;0;0;0
6302000;;333;333;333;-1;302615;302603;-1;302616;302603;-1;302644;302603;0;0;0;0
6400000;;333;333;333;-1;302617;302603;-1;302618;302603;-1;302645;302603;0;0;0;0
6402000;;333;333;333;-1;302617;302603;-1;302618;302603;-1;302645;302603;0;0;0;0
6500000;;333;333;333;-1;302619;302603;-1;302620;302603;-1;302621;302603;0;0;0;0
6501000;;333;333;333;-1;302619;302603;-1;302620;302603;-1;302621;302603;0;0;0;0
6502000;;333;333;333;-1;302619;302603;-1;302620;302603;-1;302621;302603;0;0;0;0
6503000;;333;333;333;-1;302619;302603;-1;302620;302603;-1;302621;302603;0;0;0;0
10000800;;333;333;333;-1;302610;302603;-1;302611;302603;-1;302612;302603;0;0;0;0
11000800;;333;333;333;-1;302622;302603;-1;302623;302603;-1;302646;302603;0;0;0;0
11000850;;333;333;333;-1;302622;302603;-1;302623;302603;-1;302646;302603;0;0;0;0
11050800;;333;333;333;-1;302622;302603;-1;302623;302603;-1;302646;302603;0;0;0;0
11050850;;333;333;333;-1;302622;302603;-1;302623;302603;-1;302646;302603;0;0;0;0
12010800;;333;333;333;-1;302624;302603;-1;302647;302603;-1;302648;302603;0;0;0;0
12020800;;333;333;333;-1;302625;302603;-1;302626;302603;-1;302627;302603;0;0;0;0
12020850;;333;333;333;-1;302625;302603;-1;302626;302603;-1;302627;302603;0;0;0;0
12030800;;333;333;333;-1;302628;302603;-1;302649;302603;-1;302650;302603;0;0;0;0
12040800;;333;333;333;-1;302624;302603;-1;302647;302603;-1;302648;302603;0;0;0;0
12050800;;333;333;333;-1;302629;302603;-1;302630;302603;-1;302631;302603;0;0;0;0
12080800;;333;333;333;-1;302625;302603;-1;302626;302603;-1;302627;302603;0;0;0;0
13000800;;333;333;333;-1;302651;302603;-1;302652;302603;-1;302653;302603;0;0;0;0
13000830;;333;333;333;-1;302651;302603;-1;302652;302603;-1;302653;302603;0;0;0;0
13000850;;333;333;333;-1;302651;302603;-1;302652;302603;-1;302653;302603;0;0;0;0
14000800;;333;333;333;-1;302632;302603;-1;302633;302603;-1;302634;302603;0;0;0;0
14000850;;333;333;333;-1;302632;302603;-1;302633;302603;-1;302634;302603;0;0;0;0
15000800;;333;333;333;-1;302635;302603;-1;302636;302603;-1;302637;302603;0;0;0;0
15000850;;333;333;333;-1;302635;302603;-1;302636;302603;-1;302637;302603;0;0;0;0
16000800;;333;333;333;-1;302638;302603;-1;302639;302603;-1;302654;302603;0;0;0;0
16000850;;333;333;333;-1;302638;302603;-1;302639;302603;-1;302654;302603;0;0;0;0
16000860;;333;333;333;-1;302638;302603;-1;302639;302603;-1;302654;302603;0;0;0;0
18000800;;333;333;333;-1;302640;302603;-1;302641;302603;-1;302642;302603;0;0;0;0
30000800;;333;333;333;-1;302640;302603;-1;302641;302603;-1;302642;302603;0;0;0;0
30010800;;333;333;333;-1;302640;302603;-1;302641;302603;-1;302642;302603;0;0;0;0
30020800;;333;333;333;-1;302640;302603;-1;302641;302603;-1;302642;302603;0;0;0;0
30030800;;333;333;333;-1;302640;302603;-1;302641;302603;-1;302642;302603;0;0;0;0
30040800;;333;333;333;-1;302640;302603;-1;302641;302603;-1;302642;302603;0;0;0;0
30050800;;333;333;333;-1;302640;302603;-1;302641;302603;-1;302642;302603;0;0;0;0
30060800;;333;333;333;-1;302640;302603;-1;302641;302603;-1;302642;302603;0;0;0;0
30070800;;333;333;333;-1;302640;302603;-1;302641;302603;-1;302642;302603;0;0;0;0
30080800;;333;333;333;-1;302640;302603;-1;302641;302603;-1;302642;302603;0;0;0;0
30090800;;333;333;333;-1;302640;302603;-1;302641;302603;-1;302642;302603;0;0;0;0
30100800;;333;333;333;-1;302640;302603;-1;302641;302603;-1;302642;302603;0;0;0;0
30110800;;333;333;333;-1;302640;302603;-1;302641;302603;-1;302642;302603;0;0;0;0
30120800;;333;333;333;-1;302640;302603;-1;302641;302603;-1;302642;302603;0;0;0;0
30130800;;333;333;333;-1;302640;302603;-1;302641;302603;-1;302642;302603;0;0;0;0
30140800;;333;333;333;-1;302640;302603;-1;302641;302603;-1;302642;302603;0;0;0;0
30150800;;333;333;333;-1;302640;302603;-1;302641;302603;-1;302642;302603;0;0;0;0
30160800;;333;333;333;-1;302640;302603;-1;302641;302603;-1;302642;302603;0;0;0;0
30170800;;333;333;333;-1;302640;302603;-1;302641;302603;-1;302642;302603;0;0;0;0
30180800;;333;333;333;-1;302640;302603;-1;302641;302603;-1;302642;302603;0;0;0;0
30190800;;333;333;333;-1;302640;302603;-1;302641;302603;-1;302642;302603;0;0;0;0
30200800;;333;333;333;-1;302640;302603;-1;302641;302603;-1;302642;302603;0;0;0;0
31000800;;333;333;333;-1;302655;302603;-1;302656;302603;-1;302657;302603;0;0;0;0
31010800;;333;333;333;-1;302655;302603;-1;302656;302603;-1;302657;302603;0;0;0;0
31020800;;333;333;333;-1;302655;302603;-1;302656;302603;-1;302657;302603;0;0;0;0
31030800;;333;333;333;-1;302655;302603;-1;302656;302603;-1;302657;302603;0;0;0;0
31040800;;333;333;333;-1;302655;302603;-1;302656;302603;-1;302657;302603;0;0;0;0
31050800;;333;333;333;-1;302655;302603;-1;302656;302603;-1;302657;302603;0;0;0;0
31060800;;333;333;333;-1;302655;302603;-1;302656;302603;-1;302657;302603;0;0;0;0
31070800;;333;333;333;-1;302655;302603;-1;302656;302603;-1;302657;302603;0;0;0;0
31090800;;333;333;333;-1;302655;302603;-1;302656;302603;-1;302657;302603;0;0;0;0
31100800;;333;333;333;-1;302655;302603;-1;302656;302603;-1;302657;302603;0;0;0;0
