Row ID;Row Name;Unk1;Unk1;Unk1;Unknown
0;;-1;-1;-1;15
100;;-866168707;1441193899;-554242107;9
101;;866168706;-1441193900;554242106;6
200;;-587276297;-4194305;2146418175;15
201;;2144992602;2035087159;-235110605;5
202;;-1557716307;-2030892856;-1911307572;10
300;;-327825;-442369;-75500545;15
301;;134517321;-1140436988;-2068836316;4
302;;-1226993710;16641980;1606774257;9
303;;1664311484;1661108835;941280794;2
304;;-571507273;-536871461;-403718193;15
1202000;;-1571793598;63671188;1077203146;15
1202001;;-1785451462;1473778302;-1068558837;8
1202002;;747176897;1940934979;-912209215;5
1202003;;-1069305770;19707553;547170098;4
1202004;;1295134305;-1543426931;-1665025988;10
1202005;;460112905;207670048;892469287;2
1202006;;52908210;-934846342;-1694226164;1
1202007;;-192259316;-1375466494;595217520;8
1202008;;951683756;942834117;1586144656;2
1202009;;1111794069;-794856424;641815493;5
1202010;;1089540754;-968570349;709395313;2
1202011;;623405666;16918339;-1794035862;14
1202012;;-2078501879;878230016;590029348;4
1202013;;1065954321;-1072135856;-1601648438;12
1202014;;-637214294;36978840;1318048392;3
1202015;;287464916;-1727248092;-1268775915;1
1202016;;302288974;1820546205;1212257477;0
1202017;;-2115878236;766969446;95837469;3
1202018;;-1542116543;1122545710;-805305982;12
1202019;;1758659608;312551624;1494626320;1
1202020;;1246396709;-1186785887;49571874;8
1202020;;-1903033322;-1063279381;1358675981;5
1202021;;38507014;-534980630;-1424316756;8
1202022;;89179753;1792330807;-1925926008;14
1202023;;-936794718;938041428;1206497908;4
1202024;;-529902890;-1895825093;2103973051;1
1202025;;-10728470;681828122;-1717547466;14
1202026;;76828045;70591275;-1975040317;7
1202027;;765690306;1917627413;1894533409;14
1202028;;1637935441;-1807189832;389880962;8
1202029;;1971338406;-1987863856;647145860;9
1202030;;1361882024;-2054158841;1107575121;11
1202031;;1391137641;1957884748;537368128;2
1202032;;-1688291815;-1956154203;-121504417;1
1202033;;-1673058251;309854400;-242284074;4
1202034;;-1172997103;2036734404;236087866;0
1202035;;582307932;1594559232;-2075119255;3
1202036;;-2093741764;1616175114;159472073;12
1202037;;1636240920;80154838;1101129752;0
1202038;;-1389106102;1281967720;535343569;14
1202039;;47398985;276473923;670314896;13
1202040;;1242687889;-1840230193;-166786557;6
1202041;;435037317;-2104455404;-976838686;8
1202042;;-749673404;1896385712;337675990;0
1202043;;1355477766;540475960;-2009251026;8
1202044;;1309153185;-1383450880;139599880;8
1202045;;616598674;-1985847171;9020452;3
1202046;;-261662110;-427468152;-632291178;7
1202047;;-1408429778;1060344165;940498813;0
1202048;;-2010872862;-619959388;-501786559;3
1202049;;882381489;323302659;-1571813850;5
1202050;;388509789;1286131091;1965712425;3
1202051;;1545654864;1688172004;1076965204;0
1202052;;559135749;-1616576477;541609354;11
1202053;;1485205130;-1070251932;-2130198059;6
1202054;;-1838016144;615041036;92780087;8
1202055;;-1658716070;-1609915603;136747232;1
1202056;;6353670;285481560;1377540288;5
1202057;;-1680538743;1212982289;-1652137958;9
1202058;;-240940663;1557485251;1238384843;14
1202059;;-526632500;-1237674622;-2041572240;2
1202060;;-2027855484;-1409111970;-1364636550;6
1202061;;172266545;166812550;2077258637;2
1202062;;1716277274;1130633242;-1924061156;6
1202063;;-1978980699;1232095858;-232191414;12
1202064;;585728102;847392168;1451151617;8
1202065;;27231270;-1601622138;-787958220;9
1202066;;1690847666;328937889;945978243;2
1202067;;1025257049;-1990147019;645932580;1
1202068;;1479885929;1443029913;-2109963355;4
1202069;;1696128933;1180538432;952926496;1
1202070;;-2038291886;-1153302439;1705444363;13
1202071;;543034218;-2016292284;-1809733599;5
