Row ID;Row Name;Menu Offset - Screen Value 0;Menu Offset - Screen Value 1;Menu Offset - Screen Value 2;Menu Offset - Screen Value 3;Menu Offset - Screen Value 4;Menu Offset - Screen Value 5;Menu Offset - Screen Value 6;Menu Offset - Screen Value 7;Menu Offset - Screen Value 8;Menu Offset - Screen Value 9;Menu Offset - Screen Value 10;Screen Render ID 1;Screen Render ID 2;Screen Render ID 3;Screen Render ID 4;Unk4
0;;0;0.85;0;2.66;17.189;-8.594;40;2.2;2.8;-89;89;10;10;10;10;0
1;;0;1.55;-0.09;1.2;10.313;-13.751;16.5;0.95;1.6;-58.06;89;10;10;10;10;0
2;;0;0.98;0;3.05;17.189;-8.594;40;0;0;-89;89;10;10;10;10;0
3;;0;0.85;0;2.66;17.189;-8.594;40;0;0;0;0;10;10;10;10;0
10;;0;1.58;0;1.2;1.719;-14.85;15;0;0;0;0;10;10;11;11;0
11;;-0.015;1.54;0;1.1;1.719;-14.85;15;0;0;0;0;10;10;11;11;0
12;;0;1.56;-0.07;1.48;2.6;-23;10;0;0;0;0;10;10;11;11;0
13;;0;1.58;0;1.2;1.719;-14.85;15;0;0;0;0;10;10;11;11;0
14;;0;1.58;0;1.1;1.719;-14.85;15;0;0;0;0;10;10;11;11;0
15;;0;1.59;0;1.39;2.6;-23.34;12;0;0;0;0;10;10;11;11;0
20;;-0.017;1.55;0;1.6;1.719;-13.751;8;0;0;0;0;10;10;11;11;0
