Row ID;Row Name;isInvalidForCrouching
0;;0
1;;0
1000;Retrieve lost runes;0
1010;;0
1020;Touch bloodstain;0
1050;;0
1100;Ride;0
2000;Touch gold summon sign;0
2001;Touch red summon sign;0
2010;Check your summon sign;0
3000;Read message;0
3010;Check your message;0
3020;Read message;0
4000;Pick up item;0
4100;Pillage corpse;0
4110;Pick up item;0
4200;Pillage remains;0
4201;Pillage remains;0
4202;Pillage remains;0
4250;Pick up item;0
4251;Pick up item;0
4252;Pick up item;0
4253;Pick up item;0
4260;Pick up item;0
4270;Pick up item;0
4280;Pick up item;0
4300;Search treasure chest;0
4350;Pick up item;0
4400;OK;0
5000;Climb;0
5010;Descend;0
6000;Talk;0
6001;Talk;0
6100;Touch grace;0
6101;Rest at site of grace;0
6102;Rest at table of lost grace;0
6103;Rest at table of lost grace;0
6200;Talk;0
6210;Talk;0
6220;Talk;0
6221;Hand over Deathroot;0
6222;Talk;0
6230;Touch Hyetta;0
6231;Examine;0
6240;Talk;0
6250;Use smithing table;0
6260;Talk;0
6270;Talk;0
6271;Talk;0
6280;Talk;0
6290;Accept primal glintstone;0
6291;Accept primal glintstone;0
6292;Transplant primal glintstone;0
6300;Talk;0
6310;Touch Fractured Marika;0
6320;Examine;0
6321;Touch the Two Fingers;0
6330;Be held;0
6331;Touch Fia;0
6332;Talk;0
6333;;0
6340;Summon Latenna;0
6350;Examine;0
6360;Talk;0
6361;Pick up item;0
6370;Atone;0
6380;Use dressing table;0
6390;Speak the truth about Radagon;0
6400;Talk;0
6410;Administer draught;0
6411;Administer draught;0
6412;Administer draught;0
6413;Where did the body go?;0
6414;Talk;0
6420;Examine;0
6430;Examine remains;0
6440;Receive mending rune;0
6450;Receive mending rune;0
6460;Receive mending rune;0
6470;Offer finger;0
6471;Dye cloth with maiden's blood;0
6472;Dye cloth with maiden's blood;0
6480;Talk;0
6490;Talk;0
6500;Talk;0
6510;;0
6511;Touch bloodstain;0
6519;Return Unalloyed Gold Needle;0
6520;;0
6521;;0
6522;;0
6523;;0
6530;;0
6531;;0
6532;;0
6533;;0
6534;;0
6540;Talk;0
6550;;0
6560;;0
6570;Talk;0
6580;Examine altar;0
6590;Examine grave;0
6600;Talk;0
6700;Examine;0
7100;Open;0
7101;Open;0
7102;Open;0
7110;Close;0
7200;Open;0
7201;Open;0
7202;Open;0
7210;Close;0
7220;Open;0
7300;Open;0
7301;Open;0
7320;Open;0
7800;Acquire materials;0
7810;Acquire materials;0
7811;Acquire materials;0
7812;Acquire materials;0
7813;Acquire materials;0
7814;Acquire materials;0
7815;Acquire materials;0
7816;Acquire materials;0
7817;Acquire materials;0
7818;Acquire materials;0
7819;Acquire materials;0
7820;Acquire materials;0
7821;Acquire materials;0
7822;Acquire materials;0
7823;Acquire materials;0
7824;Acquire materials;0
7825;Acquire materials;0
7826;Acquire materials;0
7827;Acquire materials;0
7828;Acquire materials;0
7850;Acquire materials;0
7860;Acquire materials;0
7861;Acquire materials;0
7862;Acquire materials;0
7863;Acquire materials;0
7864;Acquire materials;0
7865;Acquire materials;0
7866;Acquire materials;0
7867;Acquire materials;0
7868;Acquire materials;0
7869;Acquire materials;0
7870;Acquire materials;0
7871;Acquire materials;0
7872;Acquire materials;0
7873;Acquire materials;0
7874;Acquire materials;0
7875;Acquire materials;0
7876;Acquire materials;0
7877;Acquire materials;0
7878;Acquire materials;0
8000;Open;0
8100;Open;0
8200;Pull lever;0
8300;Pull lever;0
8301;Pull lever;0
8302;Pull lever;0
8310;Pull lever;0
8320;Pull lever;0
8400;Pull lever;0
8401;Pull lever;0
8402;Pull lever;0
8403;Push lever;0
8420;Pull lever;0
8501;Pull lever;0
8920;Open;0
9000;Examine;0
9051;Invade White Mask Varré's world;0
9052;Invade Old Knight Istvan's world;0
9053;Invade Rileigh the Idle's world;0
9054;Invade Juno Hoslow, Knight of Blood's world;0
9055;Invade Vargram the Raging Wolf's world;0
9056;Invade Great Horned Tragoth's world;0
9057;Be summoned to assist Yura, Hunter of Bloody Fingers;0
9058;Be summoned to assist Sorceress Sellen;0
9059;Be summoned to challenge Sorceress Sellen;0
9060;Be summoned to assist Millicent;0
9061;Be summoned to challenge Millicent;0
9070;Touch cooperative sign;0
