Row ID;Row Name;Disable Param - Network Test;Bonus Runes - Singleplayer;Bonus Runes - Multiplayer;Humanity Point Count Flag ID;Humanity Drop Point [1];Humanity Drop Point [2];Humanity Drop Point [3];Humanity Drop Point [4];Humanity Drop Point [5];Humanity Drop Point [6];Humanity Drop Point [7];Humanity Drop Point [9];Humanity Drop Point [9];Humanity Drop Point [10];Min Invasion Spawns added after Boss Defeat;Max Invasion Spawns added after Boss Defeat;Boss Defeat Flag - For Sign Aim List;Display Aim Flag ID;Found Boss Flag ID;Fond Boss Text ID;Not Found Boss Text ID;Boss Challenge Flag ID;Boss Defeat Flag ID;Boss Coordinate: X;Boss Coordinate: Y;Boss Coordinate: Z;Map Area;Map Block;Map Region
0;;False;10000;10000;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;0;0;-1;-1;0;0;0;0;0;0;0;0
1;;False;10000;10000;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;0;0;-1;-1;0;0;0;0;0;0;0;0
10000800;[Stormveil Castle] Godrick the Grafted;True;20000;20000;0;0;0;0;0;0;0;0;0;0;0;0;0;10000800;0;10000801;-1;-1;0;10000800;-233.64;73.69;349.6;10;0;0
10000850;[Stormveil Castle] Margit, the Fell Omen;False;12000;12000;0;0;0;0;0;0;0;0;0;0;0;0;0;10000850;82100;10000851;1000101;1000100;0;10000850;-16.94;-2.75;-17.6;10;0;0
10010800;[Chapel of Anticipation] Grafted Scion;True;3200;3200;0;0;0;0;0;0;0;0;0;0;0;0;0;10000850;82100;10000851;1000101;1000100;0;10010800;-16.94;-2.75;-17.6;10;1;0
11000800;[Leyndell, Royal Capital] Morgott, the Omen King;True;120000;120000;0;0;0;0;0;0;0;0;0;0;0;0;0;30020800;82103;30020801;3002100;3002000;0;11000800;67.41;79;-455.18;11;0;0
11000850;[Leyndell, Royal Capital] Godfrey, First Elden Lord;True;80000;80000;0;0;0;0;0;0;0;0;0;0;0;0;0;30020800;82103;30020801;3002100;3002000;0;11000850;-131.56;31.01;-386.36;11;0;0
11050800;[Leyndell, Ashen Capital] Hoarah Loux;True;300000;300000;0;0;0;0;0;0;0;0;0;0;0;0;0;30020800;82103;30020801;3002100;3002000;0;11050800;41.02;65.12;-421.28;11;5;0
11050850;[Leyndell, Ashen Capital];False;150000;150000;0;0;0;0;0;0;0;0;0;0;0;0;0;30020800;82103;30020801;3002100;3002000;0;11050850;-132.34;31.03;-386.62;11;5;0
12010800;[Ainsel River] Dragonkin Soldier of Nokstella;True;12000;12000;0;0;0;0;0;0;0;0;0;0;0;0;0;30020800;82103;30020801;3002100;3002000;0;12010800;-193;-224.5;59.76;12;1;0
