Row ID;Row Name;Layout Path;Menu Property ID;Caption Text ID;Help Text ID
0;;;0;0;0
1000;;Title;100;0;0
1001;;TopItem_0;200;0;31360
1002;;TopItem_1;0;0;0
1003;;TopItem_1_1;0;0;0
1004;;TopItem_1_2;0;0;0
1005;;TopItem_2;110;0;31004
1006;;TopItem_2_plus;111;0;0
1007;;TopItem_3;112;0;31005
1008;;TopItem_3_plus;113;0;0
1009;;TopItem_4;210;0;31042
1010;;TopItem_5;0;0;0
1011;;L_Item_0;101;0;0
1012;;L_Item_1;0;0;0
1013;;Item_10;201;0;31314
1014;;Item_11;202;0;31315
1015;;Item_12;203;0;31316
1016;;Item_13;204;0;31317
1017;;Item_14;205;0;31318
1018;;StatusTitle_0;0;20006;0
1019;;StatusTitle_1;30000;0;0
1020;;;0;0;0
1100;;Title;100;0;0
1101;;TopItem_0;0;0;0
1102;;TopItem_1;0;0;0
1103;;TopItem_1_1;0;0;0
1104;;TopItem_1_2;0;0;0
1105;;TopItem_2;0;0;0
1106;;TopItem_2_plus;0;0;0
1107;;TopItem_3;0;0;0
1108;;TopItem_3_plus;0;0;0
1109;;TopItem_4;0;0;0
1110;;TopItem_5;103;0;31351
1111;;L_Item_0;101;0;0
1112;;L_Item_1;0;0;0
1113;;Item_10;0;0;0
1114;;Item_11;0;0;0
1115;;Item_12;0;0;0
1116;;Item_13;0;0;0
1117;;Item_14;0;0;0
1118;;StatusTitle_0;0;20006;0
1119;;StatusTitle_1;0;0;0
1120;;;0;0;0
1200;;Title;100;0;0
1201;;TopItem_0;0;0;0
1202;;TopItem_1;0;0;0
1203;;TopItem_1_1;0;0;0
1204;;TopItem_1_2;0;0;0
1205;;TopItem_2;0;0;0
1206;;TopItem_2_plus;0;0;0
1207;;TopItem_3;0;0;0
1208;;TopItem_3_plus;0;0;0
1209;;TopItem_4;0;0;0
1210;;TopItem_5;0;0;0
1211;;L_Item_0;101;0;0
1212;;L_Item_1;0;0;0
1213;;Item_10;0;0;0
1214;;Item_11;0;0;0
1215;;Item_12;0;0;0
1216;;Item_13;0;0;0
1217;;Item_14;0;0;0
1218;;StatusTitle_0;0;20006;0
1219;;StatusTitle_1;0;0;0
1220;;;0;0;0
1300;;Title;100;0;0
1301;;TopItem_0;200;0;31360
1302;;TopItem_1;0;0;0
1303;;TopItem_2;110;0;31004
1304;;TopItem_2_plus;111;0;0
1305;;TopItem_3;112;0;31005
1306;;TopItem_3_plus;113;0;0
1307;;TopItem_4;0;0;0
1308;;TopItem_5;0;0;0
1309;;L_Item_0;101;0;0
1310;;StatusTitle_0;0;20006;0
1311;;StatusTitle_1;0;20100;0
1312;;Item_10;700;0;0
1313;;Item_11;702;0;0
1314;;Item_12;710;0;0
1315;;Item_13;712;0;0
1316;;;0;0;0
1400;;Title;100;0;0
1401;;TopItem_0;200;0;31360
1402;;TopItem_1;220;0;31008
1403;;TopItem_1_1;221;0;0
1404;;TopItem_1_2;222;0;0
1405;;TopItem_2;110;11007;31007
1406;;TopItem_2_plus;111;0;0
1407;;TopItem_3;112;0;31005
1408;;TopItem_3_plus;113;0;0
1409;;TopItem_4;210;0;31042
1410;;TopItem_5;0;0;0
1411;;L_Item_0;101;0;0
1412;;L_Item_1;0;0;0
1413;;Item_10;201;0;31314
1414;;Item_11;202;0;31315
1415;;Item_12;203;0;31316
1416;;Item_13;204;0;31317
1417;;Item_14;205;0;31318
1418;;StatusTitle_0;0;20006;0
1419;;StatusTitle_1;30000;0;0
1420;;;0;0;0
1500;;Title;100;0;0
1501;;TopItem_0;0;0;0
1502;;TopItem_1;0;0;0
1503;;TopItem_1_1;0;0;0
1504;;TopItem_1_2;0;0;0
1505;;TopItem_2;110;0;31004
1506;;TopItem_2_plus;111;0;0
1507;;TopItem_3;112;0;31005
1508;;TopItem_3_plus;113;0;0
1509;;TopItem_4;0;0;0
1510;;TopItem_5;0;0;0
1511;;L_Item_0;101;0;0
1512;;L_Item_1;0;0;0
1513;;Item_10;0;0;0
1514;;Item_11;0;0;0
1515;;Item_12;0;0;0
1516;;Item_13;0;0;0
1517;;Item_14;0;0;0
1518;;StatusTitle_0;0;20006;0
1519;;StatusTitle_1;0;0;0
1520;;;0;0;0
1600;;Title;100;0;0
1601;;TopItem_0;0;0;0
1602;;TopItem_1;0;0;0
1603;;TopItem_1_1;0;0;0
1604;;TopItem_1_2;0;0;0
1605;;TopItem_2;110;0;31004
1606;;TopItem_2_plus;111;0;0
1607;;TopItem_3;112;0;31005
1608;;TopItem_3_plus;113;0;0
1609;;TopItem_4;209;0;31043
1610;;TopItem_5;210;0;31042
1611;;L_Item_0;101;0;0
1612;;L_Item_1;0;0;0
1613;;Item_10;0;0;0
1614;;Item_11;0;0;0
1615;;Item_12;0;0;0
1616;;Item_13;0;0;0
1617;;Item_14;0;0;0
1618;;StatusTitle_0;0;20006;0
1619;;StatusTitle_1;0;0;0
1620;;;0;0;0
1700;;Title;100;0;0
1701;;TopItem_0;200;0;31360
1702;;TopItem_1;0;0;0
1703;;TopItem_1_1;0;0;0
1704;;TopItem_1_2;0;0;0
1705;;TopItem_2;110;0;31004
1706;;TopItem_2_plus;111;0;0
