Row ID;Row Name;R;G;B;A;Unk0;Unk1;Unk1;Unk1;Unk1;Unk2;Unk2;Unk2;Unk2;Unk3;Unk3;Unk3;Unk3;Unk4;Unk4;Unk4;Unk4;Unk5;Unk5;Unk5;Unk5;Unk6;Unk6;Unk6;Unk6
0;;0;0;0;0;0;0;0;128;63;0;0;128;63;0;0;128;63;0;0;128;63;0;0;128;63;0;0;128;63
1001;;1;0;0;0;0;205;204;76;63;0;0;128;63;205;204;204;61;0;0;128;63;205;204;76;63;205;204;204;61
1002;;1;0;0;0;30;205;204;76;63;0;0;128;63;205;204;204;61;0;0;128;63;205;204;76;63;205;204;204;61
1003;;1;0;0;0;60;205;204;76;63;0;0;128;63;205;204;204;61;0;0;128;63;205;204;76;63;205;204;204;61
1004;;1;0;0;0;90;205;204;76;63;0;0;128;63;205;204;204;61;0;0;128;63;205;204;76;63;205;204;204;61
1005;;1;0;0;0;120;205;204;76;63;0;0;128;63;205;204;204;61;0;0;128;63;205;204;76;63;205;204;204;61
1006;;1;0;0;0;150;205;204;76;63;0;0;128;63;205;204;204;61;0;0;128;63;205;204;76;63;205;204;204;61
1007;;1;0;0;0;180;205;204;76;63;0;0;128;63;205;204;204;61;0;0;128;63;205;204;76;63;205;204;204;61
1008;;1;0;0;0;210;205;204;76;63;0;0;128;63;205;204;204;61;0;0;128;63;205;204;76;63;205;204;204;61
1009;;1;0;0;0;240;205;204;76;63;0;0;128;63;205;204;204;61;0;0;128;63;205;204;76;63;205;204;204;61
1010;;1;0;0;0;270;205;204;76;63;0;0;128;63;205;204;204;61;0;0;128;63;205;204;76;63;205;204;204;61
1011;;1;0;0;0;300;205;204;76;63;0;0;128;63;205;204;204;61;0;0;128;63;205;204;76;63;205;204;204;61
1012;;1;0;0;0;330;205;204;76;63;0;0;128;63;205;204;204;61;0;0;128;63;205;204;76;63;205;204;204;61
1013;;2;0;0;0;0;0;0;0;0;0;0;128;63;0;0;0;0;0;0;0;0;0;0;128;63;0;0;128;63
1101;;1;0;0;0;5;0;0;128;62;102;102;102;63;0;0;128;62;0;0;0;63;102;102;230;62;205;204;204;61
1102;;1;0;0;0;5;51;51;179;62;102;102;102;63;51;51;179;62;0;0;0;63;205;204;12;63;205;204;204;61
1103;;1;0;0;0;5;102;102;230;62;102;102;102;63;102;102;230;62;0;0;0;63;102;102;38;63;205;204;204;61
1104;;1;0;0;0;15;0;0;128;62;102;102;102;63;0;0;128;62;0;0;0;63;102;102;230;62;205;204;204;61
