Row ID;Row Name;Resource ID;Text ID;SE ID;Can Mix Mapname
0;;0;-1;-1;False
1;DEMIGOD FELLED;1;331301;888880000;False
2;LEGEND FELLED;2;331302;888880000;False
3;GREAT ENEMY FELLED;3;331303;888880000;False
4;ENEMY FELLED;4;331304;888880000;False
5;YOU DIED;5;331305;999999999;False
7;HOST VANQUISHED;7;331307;444444441;False
8;BLOODY FINGER VANQUISHED;8;331308;444444440;False
9;DUTY FULFILLED;9;331309;444444446;False
11;LOST GRACE DISCOVERED;11;331311;444444444;True
17;MAP FOUND;17;331317;888888887;False
21;GREAT RUNE RESTORED;21;331321;888888891;False
22;GOD SLAIN;22;331322;888880001;False
23;DUELIST VANQUISHED;8;331323;444444440;False
24;RECUSANT VANQUISHED;8;331324;444444440;False
25;INVADER VANQUISHED;8;331325;444444440;False
30;FURLED FINGER RANK ADVANCED;30;331330;888888892;False
31;FURLED FINGER RANK ADVANCED;30;331331;888888892;False
32;DUELIST RANK ADVANCED;30;331332;888888892;False
33;DUELIST RANK ADVANCED;30;331333;888888892;False
34;BLOODY FINGER RANK ADVANCED;30;331334;888888892;False
35;BLOODY FINGER RANK ADVANCED;30;331335;888888892;False
36;RECUSANT RANK ADVANCED;30;331336;888888892;False
37;RECUSANT RANK ADVANCED;30;331337;888888892;False
38;HUNTER RANK ADVANCED;30;331338;888888892;False
39;HUNTER RANK ADVANCED;30;331339;888888892;False
50;YOU DIED;50;331305;999999999;False
