Row ID;Row Name;Disable Param - Network Test;Weather Type [0];Weather Type [1];Weather Type [2];Weather Type [3];Weather Type [4];Weather Type [5];Weather Type [6];Weather Type [7];Weather Type [8];Weather Type [9];Weather Type [10];Weather Type [11];Weather Type [12];Weather Type [13];Weather Type [14];Weather Type [15];Lottery Weight [0];Lottery Weight [1];Lottery Weight [2];Lottery Weight [3];Lottery Weight [4];Lottery Weight [5];Lottery Weight [6];Lottery Weight [7];Lottery Weight [8];Lottery Weight [9];Lottery Weight [10];Lottery Weight [11];Lottery Weight [12];Lottery Weight [13];Lottery Weight [14];Lottery Weight [15];Timezone Limit;Timezone Start Hour;Timezone Start Minute;Timezone End Hour;Timezone End Minute
0;;False;1;0;10;11;20;21;30;40;41;50;51;60;60;-1;-1;-1;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1000;;False;1;0;10;11;20;21;30;40;41;50;51;60;60;-1;-1;-1;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2000;;False;1;0;10;11;20;21;30;40;41;50;51;60;60;-1;-1;-1;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;;False;1;0;10;11;20;21;30;40;41;50;51;60;60;-1;-1;-1;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;;False;1;0;10;11;20;21;30;40;41;50;51;60;60;-1;-1;-1;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3000;;False;1;0;10;11;20;21;30;40;41;50;51;60;60;-1;-1;-1;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3010;;False;1;0;10;11;20;21;30;40;41;50;51;60;60;-1;-1;-1;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3020;;False;1;0;10;11;20;21;30;40;41;50;51;60;60;-1;-1;-1;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3021;;False;1;0;10;11;20;21;31;40;41;50;51;60;60;-1;-1;-1;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3022;;False;1;0;10;11;20;21;82;40;41;50;51;60;60;-1;-1;-1;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4000;;True;1;0;10;11;20;21;30;40;41;50;51;60;60;-1;-1;-1;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0
4001;;True;1;0;10;11;20;21;30;83;41;50;51;60;60;-1;-1;-1;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0
4010;;True;1;0;10;11;20;21;30;40;41;50;51;60;60;-1;-1;-1;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0
4020;;True;1;0;10;11;20;21;30;40;81;50;51;60;60;-1;-1;-1;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0
5000;;False;1;0;10;11;20;21;30;40;41;50;51;60;60;-1;-1;-1;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0
5010;;False;1;0;10;11;20;21;30;40;41;50;51;60;60;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0
