Row ID;Row Name;Cell Size: X;Cell Size: Y;Cell Size: Z;Cell Offset: X;Cell Offset: Y;Cell Offset: Z;Enable Bloodstain;Enable Blood Message;Enable Ghost;Enable Multiplayer;Enable Ring Search;Enable Invasion Search
0;;30;20;30;0;0;0;False;False;False;False;False;False
300000;;30;20;30;0;0;0;True;True;True;True;True;True
301000;;30;20;30;0;0;0;True;True;True;True;True;True
302000;;30;20;30;0;0;0;True;True;True;True;True;True
310000;;30;20;30;0;0;0;True;True;True;True;True;True
320000;;30;20;30;0;0;0;True;True;True;True;True;True
330000;;30;20;30;0;0;0;True;True;True;True;True;True
350000;;30;20;30;0;0;0;True;True;True;True;True;True
360000;;30;20;30;0;0;0;True;True;True;True;True;True
370000;;30;20;30;0;0;0;True;True;True;True;True;True
380000;;30;20;30;0;0;0;True;True;True;True;True;True
390000;;30;20;30;0;0;0;True;True;True;True;True;True
400000;;30;20;30;0;0;0;True;True;True;False;False;False
981000;;30;20;30;0;0;0;True;True;True;True;True;True
991000;;30;20;30;0;0;0;True;True;True;True;True;True
