Row ID;Row Name;[a000] Right Arm - Inside/Outside;[a000] Right Arm - Front/Back;[a000] Left Arm - Inside/Outside;[a000] Left Arm - Front/Back;[a002] Right Arm - Inside/Outside;[a002] Right Arm - Front/Back;[a002] Left Arm - Inside/Outside;[a002] Left Arm - Front/Back;[a003] Right Arm - Inside/Outside;[a003] Right Arm - Front/Back;[a003] Left Arm - Inside/Outside;[a003] Left Arm - Front/Back;[a010] Right Arm - Inside/Outside;[a010] Right Arm - Front/Back;[a010] Left Arm - Inside/Outside;[a010] Left Arm - Front/Back;[a012] Right Arm - Inside/Outside;[a012] Right Arm - Front/Back;[a012] Left Arm - Inside/Outside;[a012] Left Arm - Front/Back;[a013] Right Arm - Inside/Outside;[a013] Right Arm - Front/Back;[a013] Left Arm - Inside/Outside;[a013] Left Arm - Front/Back;[a014] Right Arm - Inside/Outside;[a014] Right Arm - Front/Back;[a014] Left Arm - Inside/Outside;[a014] Left Arm - Front/Back;[a015] Right Arm - Inside/Outside;[a015] Right Arm - Front/Back;[a015] Left Arm - Inside/Outside;[a015] Left Arm - Front/Back;[a016] Right Arm - Inside/Outside;[a016] Right Arm - Front/Back;[a016] Left Arm - Inside/Outside;[a016] Left Arm - Front/Back
0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;;10;0;10;0;15;0;15;0;10;0;10;0;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10
2;;15;0;15;0;15;0;15;0;15;0;15;0;0;20;0;20;0;10;0;10;0;17;0;17;0;17;0;17;0;17;0;17;0;25;0;25
3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;;10;0;10;0;5;0;5;0;10;0;10;0;10;0;10;0;5;0;5;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0
102;;15;0;15;0;10;0;10;0;15;0;15;0;15;0;15;0;10;0;10;0;15;0;15;0;15;0;15;0;15;0;15;0;15;0;15;0
103;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201;;10;0;10;0;15;0;15;0;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
202;;15;0;15;0;15;0;15;0;15;0;15;0;0;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
203;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
