Row ID;Row Name;Unk0;Unk1;Unk2;Unk3;Unk4;Unk5;Unk6;Unk7;Unk8;Unk9;Unk10;Unk11;Unk12;Unk13;Unk14;Unk15
0;;0;62010;1156227072;1167652864;1169756160;1173811200;63010;1065353216;0;0;1065353216;0;0;0;0;0
1;;1;62011;1161695232;1168050176;1172662272;1175330816;63011;1065353216;0;0;1065353216;0;0;0;0;0
2;;1;62012;1165549568;1168982016;1169238016;1173434368;63012;1065353216;0;0;1065353216;0;0;0;0;0
3;;1;62020;1156472832;1166135296;1162936320;1171324928;63020;1065353216;0;0;1065353216;0;0;0;0;0
4;;1;62021;1152253952;1160642560;1165434880;1169575936;63021;1065353216;0;0;1065353216;0;0;0;0;0
5;;1;62022;1125515264;1160007680;1162162176;1171226624;63022;1065353216;0;0;1065353216;0;0;0;0;0
6;;1;62030;1159917568;1166592000;1156997120;1167478784;63030;1065353216;0;0;1065353216;0;0;0;0;0
7;;1;62031;1163296768;1167824896;1160245248;1169170432;63031;1065353216;0;0;1065353216;0;0;0;0;0
8;;1;62032;1151942656;1162321920;1154727936;1164398592;63032;1065353216;0;0;1065353216;0;0;0;0;0
9;;1;62040;1167302656;1172361216;1169920000;1173921792;63040;1065353216;0;0;1065353216;0;0;0;0;0
10;;1;62041;1167138816;1172350976;1167824896;1171238912;63041;1065353216;0;0;1065353216;0;0;0;0;0
11;;1;62050;1166964736;1173313536;1154318336;1169303552;63050;1065353216;0;0;1065353216;0;0;0;0;0
12;;1;62051;1169340416;1174929408;1140965376;1166548992;63051;1065353216;0;0;1065353216;0;0;0;0;0
13;;1;62052;1160192000;1172985856;0;1162821632;63052;1065353216;0;0;1065353216;0;0;0;0;0
14;;1;62053;1160192000;1172985856;0;1162821632;63053;1065353216;0;0;1065353216;0;0;0;0;0
15;;1;62004;1166135296;1172350976;1165434880;1171238912;63004;1065353216;0;0;1065353216;0;0;0;0;0
16;;1;62005;0;1166135296;1165434880;1175347200;0;1065353216;0;0;1065353216;0;0;0;0;0
17;;1;62006;0;1163296768;0;1167824896;0;1065353216;0;0;1065353216;0;0;0;0;0
18;;1;62007;1165549568;1175896064;1165434880;1175347200;0;1065353216;0;0;1065353216;0;0;0;0;0
19;;1;62008;1168982016;1175896064;0;1169575936;0;1065353216;0;0;1065353216;0;0;0;0;0
20;;1;62009;1160642560;1174929408;0;1160245248;0;1065353216;0;0;1065353216;0;0;0;0;0
70;;0;62000;1163825152;1165770752;1171875840;1173168128;0;1065353216;0;0;1065353216;0;0;0;0;0
100;;1;62060;1146814464;1164718080;1160503296;1170030592;63060;1065353216;0;0;1065353216;0;0;0;0;0
101;;1;62061;1129840640;1159249920;1162960896;1171341312;63061;1065353216;0;0;1065353216;0;0;0;0;0
102;;1;62062;1163681792;1171736576;1170274304;1174713344;63062;1065353216;0;0;1065353216;0;0;0;0;0
103;;1;62063;1163440128;1171623936;1167486976;1172645888;63063;1065353216;0;0;1065353216;0;0;0;0;0
104;;1;62064;1158197248;1169463296;1152770048;1167996928;63064;1065353216;0;0;1065353216;0;0;0;0;0
105;;1;62065;1166962688;1171521536;1151868928;1165910016;63065;1065353216;0;0;1065353216;0;0;0;0;0
