Row ID;Row Name;Disable Param - Network Test;Trigger SpEffect ID;NPC Param ID;NPC Think Param ID;NPC Param ID - Ridden;NPC Think Param ID - Ridden;Spawn Offset: X;Spawn Offset: Z;Spawn Angle: Y;Appear near Stone Monument;Disable Player Target Share;Player Follow Type;Reinforcement SpEffect: +0;Reinforcement SpEffect: +1;Reinforcement SpEffect: +2;Reinforcement SpEffect: +3;Reinforcement SpEffect: +4;Reinforcement SpEffect: +5;Reinforcement SpEffect: +6;Reinforcement SpEffect: +7;Reinforcement SpEffect: +8;Reinforcement SpEffect: +9;Reinforcement SpEffect: +10;Character Init ID;Generate Anim ID
0;;False;-1;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
20000000;Black Knife Tiche;False;200000;121000000;121000000;-1;-1;1.3;0;0;0;0;0;290000;290001;290002;290003;290004;290005;290006;290007;290008;290009;290010;-1;1830
20100000;Banished Knight Oleg;False;201000;130101000;130101000;-1;-1;1.3;0;0;0;0;0;290000;290001;290002;290003;290004;290005;290006;290007;290008;290009;290010;-1;1830
20200000;Banished Knight Engvall;False;202000;130102000;130102000;-1;-1;1.3;0;0;0;0;0;290000;290001;290002;290003;290004;290005;290006;290007;290008;290009;290010;-1;1830
20300000;Fanged Imps;False;203000;130801100;130800000;-1;-1;1.5;-0.5;-90;0;0;0;290000;290001;290002;290003;290004;290005;290006;290007;290008;290009;290010;-1;1830
20300001;Fanged Imps;False;203000;130801100;130800000;-1;-1;-1.5;-0.5;90;0;0;0;290000;290001;290002;290003;290004;290005;290006;290007;290008;290009;290010;-1;1830
20400000;Latenna the Albinauric;False;204000;131700000;131700000;-1;-1;0;0;0;0;0;2;290000;290001;290002;290003;290004;290005;290006;290007;290008;290009;290010;-1;1830
20500000;Nomad;False;205000;132010000;132010000;-1;-1;1.3;-1;-10;0;0;0;290000;290001;290002;290003;290004;290005;290006;290007;290008;290009;290010;-1;1830
20600000;Nightmaiden & Swordstress;False;206000;133001000;133100000;-1;-1;1.5;0.4;15;0;0;0;290000;290001;290002;290003;290004;290005;290006;290007;290008;290009;290010;-1;1830
20600001;Nightmaiden & Swordstress;False;206000;133002000;133101000;-1;-1;0.4;0.7;-25;0;0;0;290000;290001;290002;290003;290004;290005;290006;290007;290008;290009;290010;-1;1830
