Row ID;Row Name;Unk0;Unk1;Unk2;Unk3;Text ID;Unk5;Unk6;Unk7
0;;0;0;0;0;-1;1;3;0
1;;0;100;0;0;1;1;3;0
2;;0;0;0;0;2;1;3;0
1000;;0;0;0;710000;101000;1;4.5;0
1010;;0;65537;0;710010;201010;1;3.5;0
1020;;0;65636;3;710020;301020;1;4.5;0
1030;;0;65536;0;710030;101030;1;2.5;0
1040;;0;65536;0;710040;101040;1;4.5;0
1050;;0;65536;0;710050;101050;1;2.5;0
1060;;0;65636;7;710060;301060;1;4.5;0
1070;;0;65636;16;710070;302410;1;4.5;0
1080;;0;65536;0;710080;101080;1;4.5;0
1090;;0;65536;0;710090;101090;1;4.5;0
1100;;0;65636;133;710100;201100;1;4.5;0
1110;;0;65536;0;710110;101110;1;4.5;0
1120;;0;65536;0;710120;101120;1;4.5;0
1130;;0;65636;14;710130;301130;1;4.5;0
1140;;0;65636;15;710140;301140;1;4.5;0
1150;;0;65536;0;710150;101150;1;4.5;0
1160;;0;65636;17;710160;301160;1;4.5;0
1170;;0;65536;0;710170;101170;1;4.5;0
1180;;0;65636;18;710180;302400;1;4.5;0
1190;;0;65636;105;710190;301540;1;4.5;0
1200;;0;65636;19;710200;302430;1;4.5;0
1210;;0;65636;131;710210;302490;1;4.5;0
1500;;0;100;100;710500;301500;1;3;0
1510;;0;100;102;710510;301510;1;3;0
1520;;0;100;103;710520;301520;1;3;0
1530;;0;100;104;710530;301530;1;3;0
1550;;0;100;106;710550;301550;1;3;0
1560;;0;100;107;710560;301560;1;3;0
1570;;0;100;108;710570;301570;1;3;0
1580;;0;100;109;710580;301580;1;3;0
1590;;0;100;110;710590;301590;1;3;0
1600;;1;100;121;710600;301600;1;3;0
1610;;0;100;112;710610;301610;1;3;0
1620;;0;100;113;710620;301620;1;3;0
1630;;0;100;123;710630;301630;1;3;0
1640;;0;100;115;710640;301640;1;3;0
1650;;1;100;116;710650;301650;1;3;0
1660;;1;100;117;710660;301660;1;3;0
1670;;1;100;118;710670;301670;1;3;0
1680;;1;100;119;710680;301680;1;3;0
1690;;0;100;120;710690;301690;1;3;0
1700;;1;100;124;710700;302380;1;3;0
1710;;0;100;126;710710;302390;1;3;0
1720;;1;100;125;710720;302420;1;3;0
1730;;0;100;127;710730;302440;1;3;0
1740;;0;100;128;710740;302450;1;3;0
1750;;1;100;122;710600;302000;1;3;0
1760;;0;100;200;710760;309000;1;3;0
1770;;1;100;130;710770;302480;1;3;0
1780;;1;100;129;710780;302460;1;3;0
1800;;1;0;0;710800;101180;1;4.5;0
1810;;1;100;132;710810;302500;1;3;0
2000;;0;612;0;720000;402000;1;3;0
2010;;0;868;0;720010;402010;1;3;0
2020;;0;1124;0;720020;402020;1;3;0
2030;;0;1380;0;720030;402030;1;3;0
2040;;0;1636;0;720040;402040;1;3;0
2050;;0;1892;0;720050;402050;1;3;0
2060;;0;2404;0;720060;402200;1;3;0
2090;;0;3172;0;720090;402230;1;3;0
2100;;0;3428;0;720100;402240;1;3;0
2110;;0;3684;0;720110;402250;1;3;0
2120;;0;8292;0;720120;402300;1;3;0
2140;;0;10084;0;720140;402320;1;3;0
2150;;1;10340;0;720150;402330;1;3;0
2160;;1;9060;0;720160;402400;1;3;0
2170;;1;16484;0;720170;402350;1;3;0
2180;;0;16740;0;720180;402360;1;3;0
2190;;1;18020;0;720190;402370;1;3;0
2200;;1;9572;0;720200;402380;1;3;0
2210;;0;2148;0;720210;402100;1;3;0
2220;;0;10596;0;720220;402390;1;3;0
