Row ID;Row Name;Random Slot [0];Random Slot [1];Random Slot [2];Random Slot [3];Random Slot [4];Random Slot [5];Random Slot [6];Random Slot [7];Random Slot [8];Random Slot [9];Random Slot [10];Random Slot [11];Random Slot [12]
0;;255;255;255;255;255;255;255;255;255;255;255;255;15
100;;125;80;95;204;171;223;230;85;197;239;246;222;9
101;;130;175;160;51;84;32;25;170;58;16;9;33;6
200;;247;223;254;220;255;255;191;255;255;189;239;127;15
201;;90;253;217;127;55;247;76;121;51;127;252;241;5
202;;173;34;39;163;200;8;243;134;204;194;19;142;10
300;;111;255;250;255;255;63;249;255;255;243;127;251;15
301;;73;146;4;8;4;80;6;188;36;16;176;132;4
302;;210;143;221;182;188;239;253;0;241;109;197;95;9
303;;188;96;51;99;99;130;2;99;26;206;26;56;2
304;;183;125;239;221;219;253;255;223;207;191;239;231;15
1202000;;66;85;80;162;148;139;203;3;202;208;52;64;15
1202001;;58;44;148;149;126;18;216;87;11;22;79;192;8
1202002;;193;3;137;44;67;81;176;115;193;202;160;201;5
1202003;;86;176;67;192;161;182;44;1;50;39;157;32;4
1202004;;97;46;50;77;141;44;1;164;60;184;193;156;10
1202005;;9;196;108;27;32;203;96;12;39;0;50;53;2
1202006;;178;80;39;3;122;96;71;200;12;41;4;155;1
1202007;;12;91;138;244;2;12;4;174;112;76;122;35;8
1202008;;172;138;185;56;197;129;50;56;144;165;138;94;2
1202009;;149;161;68;66;24;116;159;208;197;83;65;38;5
1202010;;146;18;241;64;19;202;68;198;113;131;72;42;2
1202011;;98;106;40;37;67;39;2;1;106;47;17;149;14
1202012;;9;148;28;132;0;186;88;52;36;34;43;35;4
1202013;;17;44;137;63;80;129;24;192;202;200;136;160;12
1202014;;170;225;4;218;152;64;52;2;136;210;143;78;3
1202015;;212;93;34;17;36;73;12;153;21;4;96;180;1
1202016;;78;144;4;18;157;84;131;108;197;148;65;72;0
1202017;;164;66;226;129;102;6;183;45;29;93;182;5;3
1202018;;65;43;21;164;46;176;232;66;130;1;0;208;12
1202019;;24;4;211;104;200;40;161;18;16;48;22;89;1
1202020;;37;129;74;74;161;21;67;185;34;104;244;2;8
1202020;;22;4;146;142;235;164;159;192;13;192;251;80;5
1202021;;6;146;75;2;234;215;28;224;172;166;26;171;8
1202022;;105;198;80;5;55;204;212;106;136;179;52;141;14
1202023;;162;165;41;200;84;96;233;55;116;178;233;71;4
1202024;;214;82;106;224;59;1;0;143;187;20;104;125;1
1202025;;234;75;92;255;26;223;163;40;54;78;160;153;14
1202026;;141;77;148;4;43;35;53;4;195;70;71;138;7
1202027;;194;129;163;45;21;172;76;114;33;73;236;112;14
1202028;;81;233;160;97;184;120;72;148;130;28;61;23;8
1202029;;166;60;128;117;208;154;131;137;132;169;146;38;9
1202030;;168;171;44;81;7;6;144;133;81;65;4;66;11
1202031;;105;19;235;82;76;243;178;116;64;150;7;32;2
1202032;;25;182;94;155;165;116;103;139;95;253;193;248;1
1202033;;53;40;71;156;192;0;120;18;214;9;143;241;4
1202034;;17;124;21;186;196;25;102;121;58;106;18;14;0
1202035;;92;80;181;34;0;11;11;95;105;49;80;132;3
1202036;;60;9;52;131;10;224;84;96;201;89;129;9;12
1202037;;24;14;135;97;214;16;199;4;24;232;161;65;0
1202038;;74;236;51;173;104;70;105;76;209;177;232;31;14
1202039;;73;64;211;2;67;168;122;16;144;49;244;39;13
1202040;;145;233;17;74;207;80;80;146;3;10;15;246;6
1202041;;133;36;238;25;20;143;144;130;226;159;198;197;8
1202042;;68;228;80;211;176;140;8;113;214;134;32;20;0
1202043;;6;243;202;80;56;2;55;32;46;67;61;136;8
1202044;;161;23;8;78;0;55;138;173;8;32;82;8;8
1202045;;146;140;192;36;125;96;162;137;36;164;137;0;3
1202046;;98;90;103;240;136;90;133;230;150;0;80;218;7
1202047;;46;17;13;172;101;145;51;63;125;223;14;56;0
1202048;;226;131;36;136;164;43;12;219;65;88;23;226;3
1202049;;177;18;152;52;3;53;69;19;38;6;80;162;5
1202050;;93;48;40;23;147;205;168;76;41;100;42;117;3
1202051;;80;210;32;92;228;117;159;100;84;47;49;64;0
1202052;;5;188;83;33;35;0;165;159;138;77;72;32;11
1202053;;138;110;134;88;100;64;53;192;213;193;7;129;6
1202054;;112;25;114;146;12;200;168;36;55;182;135;5;8
1202055;;90;0;34;157;45;163;10;160;224;152;38;8;1
1202056;;6;243;96;0;88;26;4;17;192;152;27;82;5
1202057;;137;3;213;155;17;164;76;72;26;96;134;157;9
1202058;;137;137;163;241;195;86;213;92;203;64;208;73;14
