Row ID;Row Name;LOD Distance;LOD Distance;LOD Distance;LOD Distance;LOD Distance;LOD Distance
0;;40;5;80;10;120;20
1;;40;5;80;10;120;20
2;;20;3;40;6;60;12
3;;15;3;0;0;0;0
4;;40;3;50;6;60;10
5;;10;1;20;6;80;12
10;;10;1;120;6;140;12
11;;8;1;20;6;60;12
12;;100;1;140;6;160;12
13;;10;5;120;10;150;20
14;;20;4;60;3;70;12
20;;10;1;120;6;140;12
21;;8;1;20;6;60;12
22;;40;1;120;6;140;12
99;;20;0;30;0;60;0
105;;20;2;40;6;80;12
108;;22;2;40;6;200;12
109;;15;2;180;6;200;12
110;;10;2.5;40;6;200;12
111;;10;2.5;40;6;128;12
208;;35;2;60;6;200;12
209;;30;2;180;6;200;12
210;;40;2.5;80;6;200;12
211;;40;2.5;80;6;128;12
