Row ID;Row Name;Disable Param - Network Test;Chr Init Param ID - Class;Chr Init Param ID - Origin;Image ID;Text ID
1000;[CNT] Knight;False;1000;1000;1;288050
1001;[CNT] Enchanted Knight;False;1010;1010;2;288051
1002;[CNT] Prophet;False;1020;1020;3;288052
1003;[CNT] Champion;False;1030;1030;4;288053
1004;[CNT] Bloody Wolf;False;1040;1040;5;288054
2000;Vagabond;True;3100;3000;6;288100
2001;Warrior;True;3102;3001;7;288101
2002;Hero;True;3104;3002;8;288102
2003;Bandit;True;3106;3003;9;288103
2004;Astrologer;True;3108;3004;10;288104
2005;Prophet;True;3110;3005;11;288105
2006;Samurai;True;3114;3007;13;288107
2007;Prisoner;True;3116;3008;14;288108
2008;Confessor;True;3112;3006;12;288106
2009;Wretch;True;3118;3009;15;288109
