Row ID;Row Name;Disable Param - Network Test;Item ID;Message Anim ID;Cannot Use while Riding
0;;False;9000;80000;True
1;;False;9001;80010;True
2;;False;9002;80020;True
3;;True;9003;80030;True
4;;False;9004;80040;True
5;;True;9005;80050;True
6;;True;9006;80060;True
7;;False;9007;80070;True
8;;True;9008;80080;True
9;;False;9009;80090;True
10;;True;9010;80100;True
20;;True;9011;80200;True
21;;True;9012;80210;True
22;;True;9013;80220;True
23;;True;9014;80230;True
24;;True;9015;80240;True
25;;True;9016;80250;True
30;;True;9017;80300;True
40;;True;9018;80400;True
41;;True;9019;80410;True
50;;False;9020;80500;True
51;;True;9021;80510;True
52;;False;9022;80520;True
53;;False;9023;80530;True
54;;False;9024;80540;True
55;;True;9025;80550;True
60;;True;9026;80600;True
70;;False;9027;80700;True
71;;True;9028;80710;True
72;;True;9029;80720;True
73;;True;9030;80730;True
80;;False;9031;80800;True
90;;True;9032;80900;True
91;;True;9033;80910;True
92;;False;9034;80920;True
93;;True;9035;80930;True
94;;True;9036;80940;True
95;;True;9037;80950;True
96;;True;9038;80960;True
97;;True;9039;80970;True
98;;False;9040;80980;True
100;;True;9041;81000;True
101;;False;9042;81010;True
102;;True;9043;81020;True
103;;True;9045;81030;True
104;;True;9046;81040;True
105;;True;9047;81050;True
106;;True;9048;81060;True
108;;True;9049;81080;True
109;;True;9050;81080;True
110;;True;9044;81100;True
