Row ID;Row Name;Poise Health %;Restored Poise Health;Is Toughness Effective;Unk0;Damage Level Replacement SpEffect ID;Unk1;Unk2;Unk3;Unk4;Unk5
0;;0;0;0;0;6352;1;0;0;0;0
2;;0.2;0;0;0;6352;1;0;0;0;0
3;;0.25;0;0;0;6352;1;0;0;0;0
4;;0.3;0;0;0;6352;1;0;0;0;0
5;;0.35;0;0;0;6352;1;0;0;0;0
6;;0.4;0;0;0;6352;1;0;0;0;0
7;;0.45;0;0;0;6352;1;0;0;0;0
8;;0.5;0;0;0;6352;1;0;0;0;0
9;;0.55;0;0;0;6352;1;0;0;0;0
10;;0.6;0;0;0;6352;1;0;0;0;0
11;;0.65;0;0;0;6352;1;0;0;0;0
12;;0.7;0;0;0;6352;1;0;0;0;0
13;;0.75;0;0;0;6352;1;0;0;0;0
14;;0.8;0;0;0;6352;1;0;0;0;0
15;;0.85;0;0;0;6352;1;0;0;0;0
16;;0.9;0;0;0;6352;1;0;0;0;0
17;;0.95;0;0;0;6352;1;0;0;0;0
18;;1;0;0;0;6352;1;0;0;0;0
20;;1.5;0;0;0;6352;1;0;0;0;0
25;;2;0;0;0;6352;1;0;0;0;0
30;;2.5;0;0;0;6352;1;0;0;0;0
35;;3;0;0;0;6352;1;0;0;0;0
100;;1;80;0;0;6352;0.5;0;0;0;0
110;;1;80;0;0;6352;0.5;0;0;0;0
120;;2;80;0;0;6352;0.5;0;0;0;0
130;;0.75;80;0;0;6352;0.5;0;0;0;0
135;;1;80;0;0;6352;0.5;0;0;0;0
140;;0.75;80;0;0;6352;0.5;0;0;0;0
145;;1;80;0;0;6352;0.5;0;0;0;0
150;;0.5;80;0;0;6352;0.5;0;0;0;0
151;;0.01;1;1;0;6352;0.5;0;0;0;0
152;;0.02;2;1;0;6352;0.5;0;0;0;0
153;;0.03;3;1;0;6352;0.5;0;0;0;0
154;;0.04;4;1;0;6352;0.5;0;0;0;0
155;;0.05;5;1;0;6352;0.5;0;0;0;0
156;;0.06;6;1;0;6352;0.5;0;0;0;0
157;;0.07;7;1;0;6352;0.5;0;0;0;0
158;;0.08;8;1;0;6352;0.5;0;0;0;0
159;;0.09;9;1;0;6352;0.5;0;0;0;0
160;;0.1;10;1;0;6352;0.5;0;0;0;0
161;;0.11;11;1;0;6352;0.5;0;0;0;0
162;;0.12;12;1;0;6352;0.5;0;0;0;0
163;;0.13;13;1;0;6352;0.5;0;0;0;0
164;;0.14;14;1;0;6352;0.5;0;0;0;0
165;;0.15;15;1;0;6352;0.5;0;0;0;0
166;;0.16;16;1;0;6352;0.5;0;0;0;0
167;;0.17;17;1;0;6352;0.5;0;0;0;0
168;;0.18;18;1;0;6352;0.5;0;0;0;0
169;;0.19;19;1;0;6352;0.5;0;0;0;0
170;;0.2;20;1;0;6352;0.5;0;0;0;0
175;;0.25;25;1;0;6352;0.5;0;0;0;0
180;;0.3;30;1;0;6352;0.5;0;0;0;0
185;;0.35;35;1;0;6352;0.5;0;0;0;0
190;;0.4;40;1;0;6352;0.5;0;0;0;0
195;;0.45;45;1;0;6352;0.5;0;0;0;0
200;;0.5;50;1;0;6352;0.5;0;0;0;0
205;;0.5;55;1;0;6353;0.5;0;0;0;0
210;;0.5;60;1;0;6353;0.5;0;0;0;0
215;;0.5;65;1;0;6353;0.5;0;0;0;0
220;;0.5;70;1;0;6353;0.5;0;0;0;0
225;;0.5;75;1;0;6353;0.5;0;0;0;0
230;;0.5;80;1;0;6353;0.5;0;0;0;0
235;;0.5;85;1;0;6353;0.5;0;0;0;0
240;;0.5;90;1;0;6353;0.5;0;0;0;0
245;;0.5;95;1;0;6353;0.5;0;0;0;0
250;;0.5;100;1;0;6353;0.5;0;0;0;0
