Row ID;Row Name;Disable Param - Network Test;Asset ID [0];Asset ID [1];Asset ID [2];Asset ID [3];Asset ID [4];Asset ID [5];Asset ID [6];Asset ID [7];Appearance Weight [0];Appearance Weight [1];Appearance Weight [2];Appearance Weight [3];Appearance Weight [4];Appearance Weight [5];Appearance Weight [6];Appearance Weight [7]
10000000;;False;-1;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
10010000;;True;-1;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
11000000;;True;-1;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
11050000;;True;-1;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
12000000;;True;-1;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
12010000;;True;-1;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
12020000;;True;-1;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
12030000;;True;-1;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
12040000;;True;-1;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
12050000;;True;-1;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
12060000;;True;-1;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
13000000;;True;-1;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
14000000;;True;-1;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
15000000;;True;-1;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
15020000;;True;-1;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
16000000;;True;-1;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
17000000;;True;-1;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
18000000;;False;-1;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
19000000;;True;-1;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
30000000;;True;-1;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
30010000;;True;-1;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0
