Row ID;Row Name;Disable Param - Network Test;Override Irradiance Volume Local Light Scale
0;;False;-1
10;;True;-1
20;;True;-1
21;;True;-1
30;;True;-1
31;;True;-1
40;;True;-1
41;;True;-1
42;;True;-1
1000;;False;-1
1001;;True;-1
1100;;True;-1
1105;;True;-1
1110;;True;-1
1171;;True;-1
1201;;True;-1
1202;;True;-1
1203;;True;-1
1204;;True;-1
1300;;True;-1
1400;;True;-1
1500;;True;-1
1600;;True;-1
1800;;False;-1
1900;;True;-1
3000;;True;-1
3001;;True;-1
3002;;False;-1
3003;;True;-1
3004;;False;-1
3005;;True;-1
3006;;True;-1
3007;;True;-1
3008;;True;-1
3009;;True;-1
3010;;True;-1
3011;;True;-1
3012;;True;-1
3013;;True;-1
3014;;True;-1
3015;;True;-1
3016;;True;-1
3017;;True;-1
3018;;True;-1
3100;;True;-1
3101;;True;-1
3102;;True;-1
3103;;False;-1
3104;;True;-1
3105;;True;-1
3106;;True;-1
3107;;True;-1
3108;;True;-1
3109;;True;-1
3110;;True;-1
3111;;True;-1
3112;;True;-1
3113;;True;-1
3114;;True;-1
3115;;False;-1
3117;;True;-1
3200;;True;-1
3201;;False;-1
3202;;True;-1
3203;;True;-1
3204;;True;-1
3205;;True;-1
3206;;True;-1
3207;;True;-1
3208;;True;-1
3209;;True;-1
3210;;True;-1
3211;;True;-1
3212;;True;-1
3410;;True;-1
3411;;True;-1
3412;;True;-1
3413;;True;-1
3414;;True;-1
3415;;True;-1
3416;;True;-1
3500;;True;-1
3920;;True;-1
