Row ID;Row Name;Disable Param - Network Test;Friendly Client [1] - SpEffect ID;Friendly Client [2] - SpEffect ID;Friendly Client [3] - SpEffect ID;Override SpEffect when Client Count Changes
0;;False;7800;7801;7802;True
100;;False;7800;7801;7802;True
200;;False;7810;7811;7812;True
300;;False;7820;7821;7822;False
400;;False;7830;7831;7832;False
203000;;True;7820;7821;7822;False
203100;;True;7820;7821;7822;False
211000;;True;7820;7821;7822;False
212000;;True;7820;7821;7822;False
213000;;True;7820;7821;7822;False
219000;;True;7820;7821;7822;False
219200;;True;7820;7821;7822;False
305000;;True;7820;7821;7822;False
325000;;True;7820;7821;7822;False
325100;;True;7820;7821;7822;False
325200;;True;7820;7821;7822;False
356000;;True;7820;7821;7822;False
357000;;True;7820;7821;7822;False
451000;;True;7820;7821;7822;False
452000;;True;7820;7821;7822;False
465000;;True;7820;7821;7822;False
467000;;True;7820;7821;7822;False
468000;;True;7820;7821;7822;False
471000;;True;7820;7821;7822;False
472000;;True;7820;7821;7822;False
472100;;True;7820;7821;7822;False
473000;;True;7820;7821;7822;False
475000;;True;7820;7821;7822;False
476000;;True;7820;7821;7822;False
480000;;True;7820;7821;7822;False
491000;;True;7820;7821;7822;False
495000;;True;7820;7821;7822;False
496000;;True;7820;7821;7822;False
498000;;True;7820;7821;7822;False
