Row ID;Row Name;Lower FPS;Upper FPS;Lower FPS - Continous Count;Upper FPS - Continous Count;Up After Change Sleep;Down After Change Sleep;Load Balancer Value 0;Load Balancer Value 1;Load Balancer Value 2;Load Balancer Value 3;Load Balancer Value 4;Load Balancer Value 5;Load Balancer Value 6;Load Balancer Value 7;Load Balancer Value 8;Load Balancer Value 9;Load Balancer Value 10;Load Balancer Value 11;Load Balancer Value 12;Load Balancer Value 13;Load Balancer Value 14;Load Balancer Value 15;Load Balancer Value 16;Load Balancer Value 17;Unk1;Unk2;Unk3;Unk4;Unk5;Unk6;Unk7;Unk8;Unk9;Unk10;Unk11;Unk12;Unk13;Unk14;Unk15;Unk16;Unk17;Unk18;Unk19;Unk20;Unk21;Unk22;Unk23;Unk24;Unk25;Unk26;Unk27;Unk28;Unk29;Unk30;Unk31;Unk32;Unk33;Unk34;Unk35;Unk36;Unk37;Unk38
0;;30.6;31.6;5;20;30;10;13;15;21;21;21;21;11;7;0;9;5;4;4;21;4;21;5;4;2;1;14;3;2;2;70;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;;32.5;33.5;5;20;30;10;13;15;21;21;18;18;11;7;0;9;3;3;3;21;3;21;5;3;2;1;14;3;2;2;70;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;;30.6;31.6;5;20;30;10;13;6;21;21;21;21;11;7;0;9;13;10;8;21;10;21;5;10;2;1;14;3;2;2;70;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;;32.5;33.5;5;20;30;10;13;15;21;21;18;18;11;7;0;9;3;3;3;21;3;21;5;3;2;1;14;3;2;2;70;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;;30.6;31.6;5;20;30;10;13;6;21;21;21;21;11;7;0;9;5;4;4;21;4;21;5;4;2;1;14;3;2;2;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;;32.5;33.5;5;20;30;10;13;6;21;21;18;18;11;7;0;9;5;4;4;21;4;21;5;4;2;1;14;3;2;2;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;;30.6;31.6;5;20;30;10;13;6;21;21;21;21;11;7;0;9;13;10;8;21;10;21;5;10;2;1;14;3;2;2;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;;32.5;33.5;5;20;30;10;13;6;21;21;18;18;11;7;0;9;5;4;4;21;4;21;5;4;2;1;14;3;2;2;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;;30.6;31.6;5;20;30;10;21;21;21;21;21;21;21;21;0;9;21;21;21;21;21;21;21;21;2;1;14;21;21;21;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;;58.6;59.6;5;20;30;10;21;21;21;21;21;21;11;7;0;9;8;8;5;21;6;21;5;6;2;1;14;21;21;21;70;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;;30.6;31.6;5;20;30;10;21;21;21;21;21;21;21;21;0;9;21;21;21;21;21;21;21;21;2;1;14;21;21;21;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;;58.6;59.6;5;20;30;10;21;21;21;21;21;21;11;7;0;9;8;8;5;21;6;21;5;6;2;1;14;21;21;21;70;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;;30.6;31.6;5;20;30;10;21;21;21;21;21;21;11;7;0;9;13;10;8;21;10;21;5;10;2;1;14;3;2;2;90;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;;58.6;59.6;5;20;30;10;13;6;21;21;21;21;11;7;0;9;8;8;5;21;6;21;5;6;2;1;14;3;2;2;70;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
