Row ID,Row Name,Unk0,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7
10000040,,0,1000,0,0,0,0,0,0
10000041,,0,1400,0,0,0,0,0,0
10000042,,0,1400,0,0,0,0,0,0
10000043,,0,1400,0,0,0,0,0,0
10000044,,0,1400,0,0,0,0,0,0
10000045,,0,1400,0,0,0,0,0,0
11000040,,0,3400,0,0,0,0,0,0
11000041,,0,3400,0,0,0,0,0,0
11000042,,0,3400,0,0,0,0,0,0
11000043,,0,3400,0,0,0,0,0,0
11000044,,0,3400,0,0,0,0,0,0
11050040,,0,7000,0,0,0,0,0,0
11050041,,0,7000,0,0,0,0,0,0
12010040,,0,6000,0,0,0,0,0,0
12010041,,0,6000,0,0,0,0,0,0
12010042,,0,6000,0,0,0,0,0,0
12010043,,0,6200,0,0,0,0,0,0
12010044,,0,6200,0,0,0,0,0,0
12010045,,0,6200,0,0,0,0,0,0
12010046,,0,6200,0,0,0,0,0,0
12020040,,0,6400,0,0,0,0,0,0
12020041,,0,6400,0,0,0,0,0,0
12020042,,0,6500,0,0,0,0,0,0
12020043,,0,6500,0,0,0,0,0,0
12020044,,0,6500,0,0,0,0,0,0
12020045,,0,6500,0,0,0,0,0,0
12020046,,0,6400,0,0,0,0,0,0
12030040,,0,6600,0,0,0,0,0,0
12030041,,0,6600,0,0,0,0,0,0
12030042,,0,6600,0,0,0,0,0,0
12030043,,0,6600,0,0,0,0,0,0
12030044,,0,6600,0,0,0,0,0,0
12050040,,0,6800,0,0,0,0,0,0
12050041,,0,6800,0,0,0,0,0,0
12050042,,0,6800,0,0,0,0,0,0
12070040,,0,6400,0,0,0,0,0,0
12070041,,0,6500,0,0,0,0,0,0
13000040,,0,7200,0,0,0,0,0,0
13000041,,0,7200,0,0,0,0,0,0
13000042,,0,7200,0,0,0,0,0,0
13000043,,0,7200,0,0,0,0,0,0
13000044,,0,7200,0,0,0,0,0,0
13000045,,0,7200,0,0,0,0,0,0
13000046,,0,7200,0,0,0,0,0,0
13000047,,0,7200,0,0,0,0,0,0
14000040,,0,2400,0,0,0,0,0,0
14000041,,0,2400,0,0,0,0,0,0
14000042,,0,2400,0,0,0,0,0,0
14000043,,0,2400,0,0,0,0,0,0
15000040,,0,5400,0,0,0,0,0,0
15000041,,0,5400,0,0,0,0,0,0
15000042,,0,5400,0,0,0,0,0,0
15000044,,0,5400,0,0,0,0,0,0
15000045,,0,5600,0,0,0,0,0,0
15000046,,0,5600,0,0,0,0,0,0
15000047,,0,5600,0,0,0,0,0,0
15000049,,0,5600,0,0,0,0,0,0
16000040,,0,3600,0,0,0,0,0,0
16000041,,0,3600,0,0,0,0,0,0
16000042,,0,3600,0,0,0,0,0,0
16000043,,0,3600,0,0,0,0,0,0
16000044,,0,3600,0,0,0,0,0,0
19000040,,0,7800,0,0,0,0,0,0
30000040,,0,1200,0,0,0,0,0,0
30010040,,0,1200,0,0,0,0,0,0
30020040,,0,1000,0,0,0,0,0,0
30030040,,0,2000,0,0,0,0,0,0
30040040,,0,1000,0,0,0,0,0,0
30050040,,0,2000,0,0,0,0,0,0
30060040,,0,2000,0,0,0,0,0,0
30070040,,0,3200,0,0,0,0,0,0
30080040,,0,3000,0,0,0,0,0,0
30090040,,0,3200,0,0,0,0,0,0
30100040,,0,3300,0,0,0,0,0,0
30110040,,0,1000,0,0,0,0,0,0
30120040,,0,3200,0,0,0,0,0,0
30140040,,0,4000,0,0,0,0,0,0
30150040,,0,4000,0,0,0,0,0,0
30160040,,0,4200,0,0,0,0,0,0
30170040,,0,5000,0,0,0,0,0,0
30180040,,0,5000,0,0,0,0,0,0
30190040,,0,5200,0,0,0,0,0,0
30200040,,0,5200,0,0,0,0,0,0
