Row ID,Row Name,Unk0,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7,Unk8,Unk9,Unk10,Unk11,Unk12,Unk13,Unk14,Unk15
60081102,,95002,95003,-1,-1,-1,-1,-1,-1,19250,0,0,0,0,0,0,0
60081202,,95002,95003,-1,-1,-1,-1,-1,-1,19250,0,0,0,0,0,0,0
60091002,,95002,95003,-1,-1,-1,-1,-1,-1,19250,0,0,0,0,0,0,0
60091102,,95002,95003,-1,-1,-1,-1,-1,-1,19250,0,0,0,0,0,0,0
60091202,,95002,95003,-1,-1,-1,-1,-1,-1,19250,0,0,0,0,0,0,0
60100702,,95002,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0
60100802,,95002,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0
60100902,,95002,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0
60110702,,95002,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0
60110802,,95002,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0
60110902,,95002,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0
