Row ID,Row Name,Limitation Time 0,Observation Time 0,Limitation Time 1,Observation Time 1,Limitation Time 2,Observation Time 2,Limitation Time 3,Observation Time 3
102,,900,600,600,450,300,200,0,0
103,,900,480,600,450,300,200,0,0
104,,900,480,600,450,300,200,0,0
105,,900,480,600,450,300,200,0,0
106,,900,300,600,450,300,200,0,0
107,,900,300,600,450,300,200,0,0
108,,900,300,600,450,300,200,0,0
109,,900,180,600,450,300,200,0,0
110,,900,180,600,450,300,200,0,0
201,,900,600,600,450,300,200,0,0
202,,900,600,600,450,300,200,0,0
203,,900,480,600,450,300,200,0,0
204,,900,480,600,450,300,200,0,0
205,,900,480,600,450,300,200,0,0
206,,900,300,600,450,300,200,0,0
207,,900,300,600,450,300,200,0,0
208,,900,300,600,450,300,200,0,0
209,,900,180,600,450,300,200,0,0
210,,900,180,600,450,300,200,0,0
301,,900,600,600,450,300,200,0,0
302,,900,600,600,450,300,200,0,0
303,,900,480,600,450,300,200,0,0
304,,900,480,600,450,300,200,0,0
305,,900,480,600,450,300,200,0,0
306,,900,300,600,450,300,200,0,0
307,,900,300,600,450,300,200,0,0
308,,900,300,600,450,300,200,0,0
309,,900,180,600,450,300,200,0,0
310,,900,180,600,450,300,200,0,0
401,,120,900,120,900,180,900,300,900
402,,120,900,120,900,180,900,300,900
403,,120,900,120,900,180,900,300,900
404,,120,900,120,900,180,900,300,900
405,,120,900,120,900,180,900,300,900
406,,120,900,120,900,180,900,300,900
407,,120,900,120,900,180,900,300,900
408,,120,900,120,900,180,900,300,900
409,,120,900,120,900,180,900,300,900
410,,120,900,120,900,180,900,300,900
