Row ID,Row Name,Unknown,Play Region ID,Allow Summon Signs,Limitation Time,Event Flag ID 1,Event Flag ID 2,Dissolved Event Flag ID,Is Lord of Cinder,Is Enable Event,Unk,Unk,Unk,Unk,Unk,Unk,Unk,Bonfire Object ID 0,Bonfire Object ID 1,Bonfire Object ID 2,Bonfire Object ID 3,Bonfire Object ID 4,Bonfire Object ID 5,Bonfire Object ID 6,Bonfire Object ID 7,Bonfire Object ID 8,Bonfire Object ID 9,Unk,Unk,Unk,Unk,Unk,Unk,Unk,Unk,Unk0,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7,Unk8,Unk9,Unk10,Unk11,Unk12,Unk13,Unk14,Unk15,Unk16,Unk17,Unk18,Unk19,Unk20,Unk21,Unk22,Unk23,Unk24,Unk25,Unk26,Unk27,Unk28,Unk29,Unk30,Unk31,Unk32,Unk33,Unk34,Unk35,Unk36,Unk37,Unk38,Unk39,Unk40,Unk41,Unk42
981001,,1,981010,0,0,0,0,180,0,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,0,0,True,True,True,False,False,True,True,True,6000,6000,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
981002,,1,981010,0,0,0,0,180,0,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,0,0,True,True,True,False,False,True,True,True,6000,6000,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
981003,,1,981010,0,0,0,0,180,0,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,0,0,True,True,True,False,False,True,True,True,6000,6000,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
981004,,1,981010,0,0,0,0,180,0,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,0,0,True,True,True,False,False,True,True,True,6000,6000,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
981005,,1,981010,0,0,0,0,180,0,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,0,0,True,True,True,False,False,True,True,True,6000,6000,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
981010,,1,981010,0,0,0,0,180,0,False,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,0,0,True,True,True,False,False,True,True,True,6000,6000,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
981011,,1,981010,0,0,0,0,180,0,False,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,0,0,True,True,True,False,False,True,True,True,6000,6000,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
982001,,1,10,0,0,6001,0,-1,0,False,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,0,0,True,True,True,False,False,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,,1,1400,0,10,10000800,10000800,-1,0,False,False,False,False,False,True,True,True,0,0,0,0,0,0,0,0,0,0,True,True,True,False,False,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000001,,0,1400,0,10,0,10000800,-1,0,False,False,True,True,True,True,True,True,0,0,0,0,0,0,0,0,0,0,True,True,True,True,False,True,True,True,6000,6000,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,10000800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71004,0,0,0,0,0,0,0,0
1000002,,0,1400,0,10,0,10000800,-1,0,False,False,True,True,True,True,True,True,0,0,0,0,0,0,0,0,0,0,True,True,True,False,False,True,True,True,6000,6000,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,10000800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000003,,1,1400,0,10,0,10000800,-1,0,False,False,True,True,True,True,True,True,0,0,0,0,0,0,0,0,0,0,True,True,True,True,False,True,True,True,6000,6000,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,10000800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71005,0,0,0,0,0,0,0,0
1000004,,1,1400,0,10,0,10000800,-1,0,False,False,True,True,True,True,True,True,0,0,0,0,0,0,0,0,0,0,True,True,True,False,False,True,True,True,6000,6000,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,10000800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000005,,1,1400,0,10,0,10000800,-1,0,False,False,True,True,True,True,True,True,0,0,0,0,0,0,0,0,0,0,True,True,True,True,False,True,True,True,6000,6000,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,10000800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71006,0,0,0,0,0,0,0,0
1000006,,1,1400,0,10,0,10000800,-1,0,False,False,True,True,True,True,True,True,0,0,0,0,0,0,0,0,0,0,True,True,True,True,False,True,True,True,6000,6000,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,10000800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71003,0,0,0,0,0,0,0,0
