Row ID,Row Name,Unk0,Unk1,Unk1,Unk1,Unk1,Unk2,Unk2,Unk2,Unk2
110,,0,1,1,0,0,0,0,64,65
120,,0,1,1,0,0,0,0,64,65
1000,,0,1,1,0,0,0,0,64,65
2010,,0,3,3,101,0,0,0,64,65
2030,,0,4,4,101,0,0,0,64,65
2031,,0,1,1,101,0,0,0,64,65
2040,,0,3,3,101,0,0,0,64,65
2041,,0,3,3,101,0,0,0,64,65
2050,,0,3,3,101,0,0,0,64,65
2051,,0,3,3,101,0,0,0,64,65
2060,,0,4,4,120,0,0,0,64,65
2070,,0,4,4,120,0,0,0,64,65
2100,,0,3,3,101,0,0,0,64,65
2110,,0,4,4,120,0,0,0,64,65
2120,,0,4,4,101,0,0,0,64,65
2130,,0,4,4,110,0,0,0,64,65
2131,,0,3,3,101,0,0,0,64,65
2140,,0,3,3,110,0,0,0,64,65
2150,,0,1,1,101,0,0,0,64,65
2160,,0,2,2,101,0,0,0,64,65
2170,,0,2,2,101,0,0,0,64,65
2180,,0,3,3,101,0,0,0,64,65
2190,,0,4,4,101,0,0,0,64,65
2191,,0,4,4,101,0,0,0,64,65
2200,,0,4,4,120,0,0,0,64,65
2270,,0,4,4,110,0,0,0,64,65
2271,,0,2,2,101,0,0,0,64,65
2272,,0,4,4,110,0,0,0,64,65
2273,,0,2,2,101,0,0,0,64,65
2274,,0,4,4,110,0,0,0,64,65
2275,,0,2,2,101,0,0,0,64,65
2276,,0,4,4,110,0,0,0,64,65
2277,,0,2,2,101,0,0,0,64,65
2500,,0,3,3,101,0,0,0,64,65
3000,,0,3,3,101,0,0,0,112,65
3010,,0,3,3,101,0,0,0,64,65
3020,,0,3,3,101,0,0,0,64,65
3050,,0,4,4,110,0,0,0,64,65
3060,,0,3,3,101,0,0,0,64,65
3061,,0,3,3,101,0,0,0,64,65
3070,,0,3,3,101,0,0,0,64,65
3080,,0,3,3,101,0,0,0,64,65
3100,,0,3,3,101,0,0,0,64,65
3150,,0,3,4,110,0,0,0,64,65
