Row ID,Row Name,Hit SFX ID 0,Hit SFX ID 1,Hit SFX ID 2,Hit SFX ID 3,Hit SFX ID 4,Hit SFX ID 5,Hit SFX ID 6,Hit SFX ID 7,Hit SFX ID 8,Hit SFX ID 9,Hit SFX ID 10,Hit SFX ID 11,Hit SFX ID 12,Hit SFX ID 13,Hit SFX ID 14,Hit SFX ID 15
10,,201001,201000,201002,201003,201004,201001,201000,201002,201003,201004,201001,201000,201002,201003,201004,0
20,,202001,202000,202002,202003,202004,202001,202000,202002,202003,202004,202001,202000,202002,202003,202004,0
30,,203001,203000,203002,203003,203004,203001,203000,203002,203003,203004,203001,203000,203002,203003,203004,0
40,,204001,204000,204002,204003,204004,204001,204000,204002,204003,204004,204001,204000,204002,204003,204004,0
50,,205001,205000,205002,205003,205004,205001,205000,205002,205003,205004,205001,205000,205002,205003,205004,0
60,,206001,206000,206002,206003,206004,206001,206000,206002,206003,206004,206001,206000,206002,206003,206004,0
70,,207001,207000,207002,207003,207004,207001,207000,207002,207003,207004,207001,207000,207002,207003,207004,0
80,,208001,208000,208002,208003,208004,208001,208000,208002,208003,208004,208001,208000,208002,208003,208004,0
90,,209001,209000,209002,209003,209004,209001,209000,209002,209003,209004,209001,209000,209002,209003,209004,0
100,,210001,210000,210002,210002,210002,210001,210000,210002,210002,210002,210001,210000,210002,210002,210002,0
101,,210101,210100,210102,210102,210102,210101,210100,210102,210102,210102,210101,210100,210102,210102,210102,0
102,,210201,210200,210202,210202,210202,210201,210200,210202,210202,210202,210201,210200,210202,210202,210202,0
103,,210301,210300,210302,210302,210302,210301,210300,210302,210302,210302,210301,210300,210302,210302,210302,0
104,,210401,210400,210402,210402,210402,210401,210400,210402,210402,210402,210401,210400,210402,210402,210402,0
110,,211001,211000,211002,211002,211002,211001,211000,211002,211002,211002,211001,211000,211002,211002,211002,0
111,,211101,211100,211102,211102,211102,211101,211100,211102,211102,211102,211101,211100,211102,211102,211102,0
112,,211201,211200,211202,211202,211202,211201,211200,211202,211202,211202,211201,211200,211202,211202,211202,0
113,,211301,211300,211302,211302,211302,211301,211300,211302,211302,211302,211301,211300,211302,211302,211302,0
114,,211401,211400,211402,211402,211402,211401,211400,211402,211402,211402,211401,211400,211402,211402,211402,0
120,,212001,212000,212002,212003,212004,212001,212000,212002,212003,212004,212001,212000,212002,212003,212004,0
130,,213001,213000,213002,213003,213004,213001,213000,213002,213003,213004,213001,213000,213002,213003,213004,0
140,,214001,214000,214002,214003,214004,214001,214000,214002,214003,214004,214001,214000,214002,214003,214004,0
150,,215001,215000,215002,215002,215002,215001,215000,215002,215002,215002,215001,215000,215002,215002,215002,0
151,,215101,215100,215102,215102,215102,215101,215100,215102,215102,215102,215101,215100,215102,215102,215102,0
152,,215201,215200,215202,215202,215202,215201,215200,215202,215202,215202,215201,215200,215202,215202,215202,0
153,,215301,215300,215302,215302,215302,215301,215300,215302,215302,215302,215301,215300,215302,215302,215302,0
154,,215401,215400,215402,215402,215402,215401,215400,215402,215402,215402,215401,215400,215402,215402,215402,0
160,,216001,216000,216002,216003,216004,216001,216000,216002,216003,216004,216001,216000,216002,216003,216004,0
170,,244001,244000,244002,244003,244004,244001,244000,244002,244003,244004,244001,244000,244002,244003,244004,0
180,,218001,218000,218002,218003,218004,218001,218000,218002,218003,218004,218001,218000,218002,218003,218004,0
190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,,220001,220000,220002,220002,220002,220001,220000,220002,220002,220002,220001,220000,220002,220002,220002,0
201,,220101,220100,220102,220102,220102,220101,220100,220102,220102,220102,220101,220100,220102,220102,220102,0
202,,220201,220200,220202,220202,220202,220201,220200,220202,220202,220202,220201,220200,220202,220202,220202,0
203,,220301,220300,220302,220302,220302,220301,220300,220302,220302,220302,220301,220300,220302,220302,220302,0
204,,220401,220400,220402,220402,220402,220401,220400,220402,220402,220402,220401,220400,220402,220402,220402,0
210,,220001,220000,220002,220002,220002,220001,220000,220002,220002,220002,220001,220000,220002,220002,220002,0
211,,220101,220100,220102,220102,220102,220101,220100,220102,220102,220102,220101,220100,220102,220102,220102,0
212,,220201,220200,220202,220202,220202,220201,220200,220202,220202,220202,220201,220200,220202,220202,220202,0
213,,220301,220300,220302,220302,220302,220301,220300,220302,220302,220302,220301,220300,220302,220302,220302,0
214,,220401,220400,220402,220402,220402,220401,220400,220402,220402,220402,220401,220400,220402,220402,220402,0
220,,222001,222000,222002,222002,222002,222001,222000,222002,222002,222002,222001,222000,222002,222002,222002,0
221,,222101,222100,222102,222102,222102,222101,222100,222102,222102,222102,222101,222100,222102,222102,222102,0
222,,222201,222200,222202,222202,222202,222201,222200,222202,222202,222202,222201,222200,222202,222202,222202,0
223,,222301,222300,222302,222302,222302,222301,222300,222302,222302,222302,222301,222300,222302,222302,222302,0
224,,222401,222400,222402,222402,222402,222401,222400,222402,222402,222402,222401,222400,222402,222402,222402,0
230,,263001,263000,263002,263002,263002,263001,263000,263002,263002,263002,263001,263000,263002,263002,263002,0
231,,263101,263100,263102,263102,263102,263101,263100,263102,263102,263102,263101,263100,263102,263102,263102,0
232,,263201,263200,263202,263202,263202,263201,263200,263202,263202,263202,263201,263200,263202,263202,263202,0
233,,263301,263300,263302,263302,263302,263301,263300,263302,263302,263302,263301,263300,263302,263302,263302,0
234,,263401,263400,263402,263402,263402,263401,263400,263402,263402,263402,263401,263400,263402,263402,263402,0
240,,224001,224000,224002,224002,224002,224001,224000,224002,224002,224002,224001,224000,224002,224002,224002,0
241,,224101,224100,224102,224102,224102,224101,224100,224102,224102,224102,224101,224100,224102,224102,224102,0
242,,224201,224200,224202,224202,224202,224201,224200,224202,224202,224202,224201,224200,224202,224202,224202,0
243,,224301,224300,224302,224302,224302,224301,224300,224302,224302,224302,224301,224300,224302,224302,224302,0
244,,224401,224400,224402,224402,224402,224401,224400,224402,224402,224402,224401,224400,224402,224402,224402,0
250,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,,262001,262000,262002,262002,262002,262001,262000,262002,262002,262002,262001,262000,262002,262002,262002,0
271,,262101,262100,262102,262102,262102,262101,262100,262102,262102,262102,262101,262100,262102,262102,262102,0
272,,262201,262200,262202,262202,262202,262201,262200,262202,262202,262202,262201,262200,262202,262202,262202,0
273,,262301,262300,262302,262302,262302,262301,262300,262302,262302,262302,262301,262300,262302,262302,262302,0
274,,262401,262400,262402,262402,262402,262401,262400,262402,262402,262402,262401,262400,262402,262402,262402,0
280,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,,261001,261000,261002,261002,261002,261001,261000,261002,261002,261002,261001,261000,261002,261002,261002,0
291,,261101,261100,261102,261102,261102,261101,261100,261102,261102,261102,261101,261100,261102,261102,261102,0
292,,261201,261200,261202,261202,261202,261201,261200,261202,261202,261202,261201,261200,261202,261202,261202,0
