Row ID,Row Name,Unk0,Unk1,Weather Lot ID,Unk3
10,,0,65280,610000000,0
11,,0,65503,3021,0
12,,0,4259807,5010,0
15,,0,1015567,615000000,0
20,,0,16711680,620000000,0
21,,0,16776960,4000,0
22,,0,16744448,620000100,0
25,,0,16761856,4001,0
30,,0,65535,630000000,0
31,,0,8454143,5010,0
32,,0,12582911,5000,0
35,,0,40959,635000000,0
38,,0,16777183,638000000,0
40,,0,8355839,640000000,0
41,,0,6316287,641000000,0
45,,0,10256324,645000000,0
46,,0,10256344,3020,0
50,,0,14671797,650000000,0
51,,0,14664885,651000000,0
52,,0,8355743,652000000,0
55,,0,15720415,655000000,0
56,,0,15724511,4010,0
57,,0,15724527,4020,0
255,,0,0,-1,0
