Row ID,Row Name,Event Layer ID,Map Studio Layer ID,Map Gparam ID,Map Override Gparam ID,BTPB File Index,BTL File Index,BTAB File Index,Is Reload,Play Region ID Offset
11000000,,0,0,0,0,-1,-1,0,0,0
11000020,,2,2,0,0,-1,-1,0,0,0
11100000,,0,0,0,0,-1,-1,0,0,0
11100020,,2,2,0,0,-1,-1,0,0,0
12050000,,0,0,0,0,-1,-1,0,0,0
12050020,,2,2,0,0,-1,-1,0,0,0
14000000,,0,0,0,0,-1,-1,0,0,0
14000020,,2,2,0,0,-1,-1,0,0,0
14000030,,3,3,0,0,-1,-1,0,0,0
15000000,,0,0,0,0,-1,-1,0,0,0
15000020,,2,2,0,0,-1,-1,0,0,0
15000030,,3,3,0,0,-1,-1,0,0,0
39200000,,0,0,0,0,-1,-1,0,0,0
39200050,,5,5,0,0,-1,-1,0,0,0
99021010,,1,1,18999,0,10000,10000,0,0,0
99022020,,2,2,18999,0,0,0,0,0,0
99023030,,3,3,4,0,11010,11010,0,0,0
1035460000,,0,0,0,0,-1,-1,0,0,0
1035460040,,4,4,0,0,-1,-1,0,0,0
1039530000,,0,0,0,0,-1,-1,0,0,0
1039530000,,0,0,0,0,-1,-1,0,0,0
1039530020,,2,2,0,0,-1,-1,0,0,0
1042390000,,0,0,0,0,-1,-1,0,0,0
1042390020,,2,2,0,0,-1,-1,0,0,0
1050560020,,2,2,0,0,-1,-1,0,0,0
