Row ID,Row Name,Unk0a,Unk0b,Unk0c,Unk0d,Unk1a,Unk1b,Unk1c,Unk1d,Unk2a,Unk2b,Unk2c,Unk2d,Unk3a,Unk3b,Unk3c,Unk3d,Unk4a,Unk4b,Unk4c,Unk4d,Unk5a,Unk5b,Unk5c,Unk5d,Unk6a,Unk6b,Unk6c,Unk6d,Unk7a,Unk7b,Unk7c,Unk7d,Unk8a,Unk8b,Unk8c,Unk8d,Unk9a,Unk9b,Unk9c,Unk9d,Unk10a,Unk10b,Unk10c,Unk10d,Unk11a,Unk11b,Unk11c,Unk11d,Unk12a,Unk12b,Unk12c,Unk12d,Unk13,Unk14,Unk15,Unk16,Unk17a,Unk17b,Unk17c,Unk17d,Unk18a,Unk18b,Unk18c,Unk18d,Unk19a,Unk19b,Unk19c,Unk19d,Unk20a,Unk20b,Unk20c,Unk20d,Unk21,Unk22,Unk23
1000,,99,0,52,0,53,0,48,0,48,0,95,0,72,0,101,0,97,0,116,0,95,0,73,0,110,0,116,0,101,0,110,0,115,0,105,0,116,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1001,,99,0,51,0,51,0,53,0,48,0,95,0,67,0,114,0,97,0,99,0,107,0,95,0,73,0,110,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1002,,99,0,52,0,49,0,56,0,48,0,95,0,70,0,97,0,108,0,108,0,79,0,102,0,102,0,95,0,67,0,111,0,108,0,111,0,114,0,95,0,83,0,119,0,105,0,116,0,99,0,104,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1003,,99,0,52,0,49,0,56,0,48,0,95,0,65,0,110,0,103,0,101,0,114,0,95,0,73,0,110,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1004,,99,0,52,0,52,0,54,0,48,0,95,0,79,0,105,0,108,0,76,0,101,0,97,0,107,0,95,0,73,0,110,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1005,,99,0,51,0,51,0,50,0,48,0,95,0,91,0,86,0,65,0,93,0,80,0,108,0,97,0,121,0,70,0,114,0,97,0,109,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1006,,99,0,52,0,55,0,54,0,48,0,95,0,82,0,111,0,112,0,101,0,67,0,117,0,116,0,95,0,82,0,105,0,103,0,104,0,116,0,95,0,73,0,110,0,116,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1007,,99,0,52,0,55,0,54,0,48,0,95,0,82,0,111,0,112,0,101,0,67,0,117,0,116,0,95,0,76,0,101,0,102,0,116,0,95,0,73,0,110,0,116,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1008,,99,0,52,0,55,0,50,0,48,0,95,0,91,0,65,0,112,0,112,0,101,0,97,0,114,0,93,0,95,0,77,0,97,0,115,0,107,0,95,0,91,0,69,0,100,0,103,0,101,0,93,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1009,,99,0,52,0,55,0,50,0,48,0,95,0,91,0,84,0,114,0,97,0,110,0,115,0,112,0,97,0,114,0,101,0,110,0,99,0,121,0,93,0,95,0,91,0,73,0,110,0,116,0,93,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1010,,99,0,52,0,53,0,50,0,48,0,95,0,70,0,97,0,100,0,101,0,95,0,91,0,73,0,110,0,116,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1011,,99,0,50,0,53,0,48,0,48,0,95,0,70,0,97,0,100,0,101,0,91,0,73,0,110,0,116,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1012,,99,0,50,0,49,0,49,0,48,0,95,0,91,0,70,0,105,0,114,0,101,0,93,0,95,0,91,0,77,0,97,0,115,0,107,0,93,0,95,0,91,0,69,0,100,0,103,0,101,0,93,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1013,,99,0,50,0,49,0,49,0,48,0,95,0,91,0,70,0,105,0,114,0,101,0,93,0,95,0,91,0,69,0,109,0,105,0,115,0,115,0,105,0,118,0,101,0,93,0,95,0,91,0,73,0,7602286,93,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1014,,99,0,51,0,52,0,48,0,48,0,95,0,70,0,97,0,100,0,101,0,91,0,73,0,110,0,116,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
