Row ID,Row Name,Team Type,Phantom Param ID 0,Effect ID 0,Effect ID 1,Effect ID 2,Effect ID 3,Effect ID 4,Effect ID 5,Effect ID 6,Effect ID 7,Effect ID 8,Effect ID 9,VFX ID 0,VFX ID 1,Stay Anim ID,Itemlot ID,Effect Condition,Display Team Name,Text ID,Team Type - Sub,Phantom Param ID 1,Phantom Param ID 2,Phantom Param ID 3,Effect ID 10,Effect ID 11,Effect ID 12,Effect ID 13,Unk1
1,,2,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30001,30000,63010,5410,1,1,331101,0,61,61,61,8801,-1,-1,-1,61
2,,16,60,4700,-1,-1,-1,-1,-1,-1,-1,-1,-1,30011,30010,63010,5420,0,2,331103,2,60,60,60,-1,-1,-1,-1,60
3,,5,900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,1,0,0,900,900,900,-1,-1,-1,-1,900
4,,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
5,,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1
6,,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7,,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1
8,,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,331100,0,-1,-1,-1,-1,-1,-1,-1,-1
9,,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
10,,0,902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,1,0,0,902,902,902,-1,-1,-1,-1,902
11,,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
12,,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1
13,,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63060,-1,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1
14,,0,901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,1,0,0,901,901,901,-1,-1,-1,-1,901
15,,16,60,4700,9721,-1,-1,-1,-1,-1,-1,-1,-1,30011,30010,63010,5430,0,2,331102,4,60,60,60,-1,-1,-1,-1,60
16,,16,60,4700,-1,-1,-1,-1,-1,-1,-1,-1,-1,30011,30010,63010,5440,0,2,331104,3,60,60,60,-1,-1,-1,-1,60
17,,2,70,8800,-1,-1,-1,-1,-1,-1,-1,-1,-1,30001,30000,63010,5450,0,1,331111,0,70,70,70,8801,-1,-1,-1,61
