Row ID;Row Name;Equip ID;Value;Material ID;Event Flag;QWC ID;Quantity Available;Shop Type;Equip Type;Value (SAN);Quantity Produced;Unk2;Unk3;Price Rate;Unk4;Shop Description Item;Unk5;Unk6;Unk7;Unk8;Unk9
30000;Dagger;1000000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30001;Black Knife;1010000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30002;Parrying Dagger;1020000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30003;Misericorde;1030000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30004;Reduvia;1040000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30005;Crystal Knife;1050000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30006;Celebrant's Sickle;1060000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30007;Glintstone Kris;1070000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30008;Scorpion's Stinger;1080000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30009;Great Knife;1090000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30010;Wakizashi;1100000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30011;Cinquedea;1110000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30012;Ivory Sickle;1130000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30013;Bloodstained Dagger;1140000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30014;Erdsteel Dagger;1150000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30015;Blade of Calling;1160000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30016;Longsword;2000000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30017;Short Sword;2010000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30018;Broadsword;2020000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30019;Lordsworn's Straight Sword;2040000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30020;Weathered Straight Sword;2050000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30021;Ornamental Straight Sword;2060000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30022;Golden Epitaph;2070000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30023;Nox Flowing Sword;2080000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30024;Inseparable Sword;2090000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30025;Coded Sword;2110000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30026;Sword of Night and Flame;2140000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30027;Crystal Sword;2150000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
30028;Carian Knight's Sword;2180000;0;-1;0;0;-1;0;0;0;1;0;0;1;-1;-1;-1;-1;-1;0;0
