Row ID,Row Name,Unk0,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7,Unk8,Unk9
801000,,0,0,0.5,10,10,0,5,0,5,0.25
801001,,0,0,0.5,10,10,0,5,0,5,0.25
801005,,0,0,0.5,10,10,0,5,0,5,0.25
801006,,0,0,0.5,10,10,0,5,0,5,0.25
801010,,0,0,0.5,10,5,0,5,0,5,0.25
801011,,0,0,0.5,10,5,0,5,0,5,0.25
801015,,0,0,0.5,10,5,0,5,0,5,0.25
801016,,0,0,0.5,10,5,0,5,0,5,0.25
801019,,0,0,0.5,10,10,0,5,0,5,0.25
801020,,0,0,0.5,0,5,0,5,0,5,0.25
801050,,0,0,0.5,10,10,0,5,0,5,0.25
801051,,0,0,0.5,10,10,0,5,0,5,0.25
801060,,0,0,0.5,10,10,0,5,0,5,0.25
801061,,0,0,0.5,10,10,0,5,0,5,0.25
801062,,0,0,0.5,10,10,0,5,0,5,0.25
801063,,0,0,0.5,10,10,0,5,0,5,0.25
801064,,0,0,0.5,10,10,0,5,0,5,0.25
801070,,0,0,0.5,10,10,0,5,0,5,0.25
801080,,0,0,0.5,10,10,0,5,0,5,0.25
801081,,0,0,0.5,10,10,0,5,0,5,0.25
801085,,0,0,0.5,10,10,0,5,0,5,0.25
801086,,0,0,0.5,10,10,0,5,0,5,0.25
801090,,0,0,0.5,10,10,0,5,0,5,0.25
801091,,0,0,0.5,10,10,0,5,0,5,0.25
801095,,0,0,0.5,10,10,0,5,0,5,0.25
801096,,0,0,0.5,10,10,0,5,0,5,0.25
801100,,0,0,0.5,0,5,0,5,0,5,0.25
801101,,0,0,0.5,0,5,0,5,0,5,0.25
801110,,0,0,0.5,10,10,0,5,0,5,0.25
801111,,0,0,0.5,10,10,0,5,0,5,0.25
801120,,0,0,0.5,0,5,0,5,0,5,0.25
801200,,0,0,0.5,0,5,0,5,0,5,0.25
801201,,0,0,0.5,0,5,0,5,0,5,0.25
801202,,0,0,0.5,0,5,0,5,0,5,0.25
801203,,0,0,0.5,0,5,0,5,0,5,0.25
801204,,0,0,0.5,0,5,0,5,0,5,0.25
801205,,0,0,0.5,0,5,0,5,0,5,0.25
801210,,0,0,0.5,10,10,0,5,0,5,0.25
801220,,0,0,0.5,10,10,0,5,0,5,0.25
801230,,0,0,0.5,0,5,0,5,0,5,0.25
801232,,0,0,0.5,0,5,0,5,0,5,0.25
801233,,0,0,0.5,10,10,0,5,0,5,0.25
801240,,0,0,0.5,10,10,0,5,0,5,0.25
801241,,0,0,0.5,10,10,0,5,0,5,0.25
801242,,0,0,0.5,10,10,0,5,0,5,0.25
801243,,0,0,0.5,10,10,0,5,0,5,0.25
801250,,0,0,0.5,10,10,0,5,0,5,0.25
801251,,0,0,0.5,10,10,0,5,0,5,0.25
801252,,0,0,0.5,10,10,0,5,0,5,0.25
801253,,0,0,0.5,10,10,0,5,0,5,0.25
801254,,0,0,0.5,10,10,0,5,0,5,0.25
801255,,0,0,0.5,10,10,0,5,0,5,0.25
801256,,0,0,0.5,10,10,0,5,0,5,0.25
801257,,0,0,0.5,10,10,0,5,0,5,0.25
801258,,0,0,0.5,10,10,0,5,0,5,0.25
801259,,0,0,0.5,10,10,0,5,0,5,0.25
801260,,0,0,0.5,10,10,0,5,0,5,0.25
801261,,0,0,0.5,10,10,0,5,0,5,0.25
801262,,0,0,0.5,10,10,0,5,0,5,0.25
801263,,0,0,0.5,10,10,0,5,0,5,0.25
801264,,0,0,0.5,10,10,0,5,0,5,0.25
801265,,0,0,0.5,10,10,0,5,0,5,0.25
801266,,0,0,0.5,10,10,0,5,0,5,0.25
801267,,0,0,0.5,10,10,0,5,0,5,0.25
801268,,0,0,0.5,10,10,0,5,0,5,0.25
801269,,0,0,0.5,10,10,0,5,0,5,0.25
801270,,0,0,0.5,10,10,0,5,0,5,0.25
801271,,0,0,0.5,10,10,0,5,0,5,0.25
801272,,0,0,0.5,10,10,0,5,0,5,0.25
801273,,0,0,0.5,10,10,0,5,0,5,0.25
801274,,0,0,0.5,10,10,0,5,0,5,0.25
801275,,0,0,0.5,10,10,0,5,0,5,0.25
801276,,0,0,0.5,10,10,0,5,0,5,0.25
801277,,0,0,0.5,10,10,0,5,0,5,0.25
801278,,0,0,0.5,10,10,0,5,0,5,0.25
801279,,0,0,0.5,10,10,0,5,0,5,0.25
801280,,0,0,0.5,10,10,0,5,0,5,0.25
801281,,0,0,0.5,10,10,0,5,0,5,0.25
801282,,0,0,0.5,10,10,0,5,0,5,0.25
801283,,0,0,0.5,10,10,0,5,0,5,0.25
801284,,0,0,0.5,10,10,0,5,0,5,0.25
801285,,0,0,0.5,10,10,0,5,0,5,0.25
801286,,0,0,0.5,10,10,0,5,0,5,0.25
801287,,0,0,0.5,10,10,0,5,0,5,0.25
801288,,0,0,0.5,10,10,0,5,0,5,0.25
801289,,0,0,0.5,10,10,0,5,0,5,0.25
801290,,0,0,0.5,10,10,0,5,0,5,0.25
801291,,0,0,0.5,10,10,0,5,0,5,0.25
801292,,0,0,0.5,10,10,0,5,0,5,0.25
801293,,0,0,0.5,10,10,0,5,0,5,0.25
801294,,0,0,0.5,10,10,0,5,0,5,0.25
801295,,0,0,0.5,10,10,0,5,0,5,0.25
801296,,0,0,0.5,10,10,0,5,0,5,0.25
801297,,0,0,0.5,10,10,0,5,0,5,0.25
801298,,0,0,0.5,10,10,0,5,0,5,0.25
801313,,0,0,0.5,10,10,0,5,0,5,0.25
801314,,0,0,0.5,10,10,0,5,0,5,0.25
801315,,0,0,0.5,10,10,0,5,0,5,0.25
801316,,0,0,0.5,10,10,0,5,0,5,0.25
801320,,0,0,0.5,10,10,0,5,0,5,0.25
801321,,0,0,0.5,10,10,0,5,0,5,0.25
801325,,0,0,0.5,10,10,0,5,0,5,0.25
801326,,0,0,0.5,10,10,0,5,0,5,0.25
801330,,0,0,0.5,10,10,0,5,0,5,0.25
801331,,0,0,0.5,10,10,0,5,0,5,0.25
801332,,0,0,0.5,10,10,0,5,0,5,0.25
801335,,0,0,0.5,10,10,0,5,0,5,0.25
801337,,0,0,0.5,10,10,0,5,0,5,0.25
801340,,0,0,0.5,10,10,0,5,0,5,0.25
801341,,0,0,0.5,10,10,0,5,0,5,0.25
801342,,0,0,0.5,10,10,0,5,0,5,0.25
801343,,0,0,0.5,10,10,0,5,0,5,0.25
801344,,0,0,0.5,10,10,0,5,0,5,0.25
801345,,0,0,0.5,10,10,0,5,0,5,0.25
801346,,0,0,0.5,10,10,0,5,0,5,0.25
801347,,0,0,0.5,10,10,0,5,0,5,0.25
801348,,0,0,0.5,10,10,0,5,0,5,0.25
801490,,0,0,0.5,10,10,0,5,0,5,0.25
801491,,0,0,0.5,10,10,0,5,0,5,0.25
801492,,0,0,0.5,10,10,0,5,0,5,0.25
801495,,0,0,0.5,10,10,0,5,0,5,0.25
801497,,0,0,0.5,10,10,0,5,0,5,0.25
805000,,0,0,0.5,10,10,0,5,0,5,0.25
805001,,0,0,0.5,10,10,0,5,0,5,0.25
805002,,0,0,0.5,10,10,0,5,0,5,0.25
805003,,0,0,0.5,10,10,0,5,0,5,0.25
805004,,0,0,0.5,10,10,0,5,0,5,0.25
810000,,0,0,0.5,10,10,0,5,0,5,0.25
