Row ID,Row Name,Damage %: Physical,Damage %: Magic,Damage %: Fire,Damage %: Lightning,Damage %: Stamina,Damage %: Poise,Damage %: Poise Durability,Scaling %: STR,Scaling %: DEX,Scaling %: INT,Scaling %: FTH,Guard %: Physical,Guard %: Magic,Guard %: Fire,Guard %: Lightning,Guard %: Poison,Guard %: Blight,Guard %: Hemorrhage,Guard %: Curse,Guard %: Stability,Behavior Effect 1 Offset,Behavior Effect 2 Offset,Behavior Effect 3 Offset,Resident Effect 1 Offset,Resident Effect 2 Offset,Resident Effect 3 Offset,Material Set ID,Damage %: Dark,Guard %: Dark,Scaling %: LCK,Guard %: Stamina,Guard %: Frostbite,Infusion Cost %
1,,1.058,1.058,1.058,1.058,1.04,1,1,1.02,1.02,1.04,1.04,1,1,1,1,1,1,1,1,1.01,0,0,0,0,0,0,1,1.058,1,1.04,1,1,1
2,,1.116,1.116,1.116,1.116,1.08,1,1,1.04,1.04,1.08,1.08,1,1,1,1,1,1,1,1,1.02,0,0,0,0,0,0,2,1.116,1,1.08,1,1.2,1
3,,1.174,1.174,1.174,1.174,1.12,1,1,1.06,1.06,1.12,1.12,1,1,1,1,1,1,1,1,1.03,0,0,0,0,0,0,3,1.174,1,1.12,1,1.4,1
4,,1.232,1.232,1.232,1.232,1.16,1,1,1.08,1.08,1.16,1.16,1,1,1,1,1,1,1,1,1.04,0,0,0,0,0,0,4,1.232,1,1.16,1,1.6,1
5,,1.29,1.29,1.29,1.29,1.2,1,1,1.1,1.1,1.2,1.2,1,1,1,1,1,1,1,1,1.05,0,0,0,0,0,0,5,1.29,1,1.2,1,1.8,1
6,,1.348,1.348,1.348,1.348,1.24,1,1,1.12,1.12,1.24,1.24,1,1,1,1,1,1,1,1,1.06,0,0,0,0,0,0,6,1.348,1,1.24,1,2,1
7,,1.406,1.406,1.406,1.406,1.28,1,1,1.14,1.14,1.28,1.28,1,1,1,1,1,1,1,1,1.07,0,0,0,0,0,0,7,1.406,1,1.28,1,2.2,1
8,,1.464,1.464,1.464,1.464,1.32,1,1,1.16,1.16,1.32,1.32,1,1,1,1,1,1,1,1,1.08,0,0,0,0,0,0,8,1.464,1,1.32,1,2.4,1
9,,1.522,1.522,1.522,1.522,1.36,1,1,1.18,1.18,1.36,1.36,1,1,1,1,1,1,1,1,1.09,0,0,0,0,0,0,9,1.522,1,1.36,1,2.6,1
10,,1.58,1.58,1.58,1.58,1.4,1,1,1.2,1.2,1.4,1.4,1,1,1,1,1,1,1,1,1.1,0,0,0,0,0,0,10,1.58,1,1.4,1,2.8,1
