Row ID,Row Name,Unk0,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7
1001,,0,1010,1010,2,288051,0,0,0
1002,,0,1020,1020,3,288052,0,0,0
1003,,0,1030,1030,4,288053,0,0,0
1004,,0,1040,1040,5,288054,0,0,0
2000,,1,3100,3000,6,288100,0,0,0
2001,,1,3102,3001,7,288101,0,0,0
2002,,1,3104,3002,8,288102,0,0,0
2003,,1,3106,3003,9,288103,0,0,0
2004,,1,3108,3004,10,288104,0,0,0
2005,,1,3110,3005,11,288105,0,0,0
2006,,1,3114,3007,13,288107,0,0,0
2007,,1,3116,3008,14,288108,0,0,0
2008,,1,3112,3006,12,288106,0,0,0
2009,,1,3118,3009,15,288109,0,0,0
