Row ID,Row Name,Unknown,Message ID,Limit Cancel Effect ID,Sort ID,Unknown,Ref 1: FP Cost,Ref 1: Stamina Cost,Icon ID,Behavior ID,Material Item ID,Replace Magic ID,Number of Uses,Hero Point,Over Dexterity,SFX Variation ID,Slot Usage,Requirement: INT,Requirement: FTH,DEX Casting Speed Min,DEX Casting Speed Max,Magic School Type,Ref 1: Category,Effect Category,Animation Category,Menu Type,Ref 4: Category,Has Effect Type,Unk1,Enable Spell Enhance,Enable Spell Enhance,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7,Unk8,Unk9,Unk10,Unk11,Unk12,Unk13,Unk14,Vow Type 0,Vow Type 1,Vow Type 2,Vow Type 3,Vow Type 4,Vow Type 5,Vow Type 6,Vow Type 7,Vow Type 8,Enable Multiplayer Only,Is Enchant,Is Shield Enchant,Enable Live,Enable Gray,Enable White,Enable Black,Unk7,Unk8,Cast SFX 1,Cast SFX 2,Cast SFX 3,Unk9,Attribute Type,Attribute Value 0,Attribute Value 1,Attribute Value 2,Attribute Value 3,Ref 2: Category,Ref 4: Stamina Cost,Magic ID 0,Magic ID 1,Magic ID 2,Magic ID 3,Ref 2: FP Cost,Ref 2: Stamina Cost,Unk10,Ref 3: Category,Ref 4: FP Cost,Ref 3: FP Cost,Ref 3: Stamina Cost,Reference ID 1,Reference ID 2,Reference ID 3,Reference ID 4,Unk0,Unk1,Unk2,Unk3,Unk4,Unk4,Unk4,Unk4,Unk5,Unk5,Unk5,Unk5,Unk6,Unk6,Unk6,Unk6,Unk7,Unk8
4001,[Sorcery] Great Glintstone Shard,1,0,-1,4000,0,12,26,4001,0,-1,-1,-1,1,99,1,1,16,0,10,70,0,0,3,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,16,255,523000,523001,510020,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,10400100,10400199,-1,10000100,-1,-1,-1,-1,0,2,0,0,0,0,0,0,0,0,-1,-1,0,0
4010,[Sorcery] Swift Glintstone Shard,1,0,-1,4010,0,5,9,4130,0,-1,-1,-1,1,99,0,1,12,0,10,70,0,0,3,79,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,16,255,522000,522001,510000,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,10401000,-1,-1,10000100,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0
4020,[Sorcery] Glintstone Cometshard,1,0,-1,4020,0,25,30,4006,0,-1,-1,-1,1,99,1,1,36,0,10,70,0,0,3,2,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,16,255,523060,523061,523064,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,25,39,0,0,6,0,0,10402000,10402050,-1,10000200,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,-1,-1,0,0
4021,[Sorcery] Comet,1,0,-1,4021,0,38,35,4007,0,-1,-1,-1,1,99,1,1,52,0,10,70,0,0,3,2,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,16,255,523070,523071,523064,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,38,46,0,0,6,0,0,10402100,10402150,-1,10000200,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,-1,-1,0,0
4030,[Sorcery] Shard Spiral,1,0,-1,4030,0,16,28,4007,0,-1,-1,-1,1,99,1,1,27,0,10,70,0,0,3,2,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,16,255,523070,523071,523064,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,16,36,0,0,0,0,0,10403000,10403050,-1,10000000,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,-1,-1,0,0
4040,[Sorcery] Glintstone Stars,0,0,-1,4090,0,14,21,4060,0,-1,-1,-1,1,99,1,1,12,0,10,70,0,1,3,107,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,16,255,523850,523851,523856,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,14,27,0,0,7,0,0,10404000,10404050,10404099,10000200,-1,-1,-1,-1,0,1,2,0,0,0,0,0,0,0,-1,-1,0,0
4050,[Sorcery] Star Shower,1,0,-1,4090,0,36,26,4060,0,-1,-1,-1,1,99,1,1,24,0,10,70,0,1,3,107,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,16,255,523850,523851,523859,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,36,34,0,0,7,0,0,10405000,10405050,10404099,10000200,-1,-1,-1,-1,0,1,2,0,0,0,0,0,0,0,-1,-1,0,0
4060,[Sorcery] Crystal Barrage,1,0,-1,4080,0,14,26,4059,0,-1,-1,-1,1,99,1,1,23,0,10,70,0,1,3,4,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,16,255,523720,523721,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,2,0,0,0,0,0,0,10406000,10999999,10406099,10000200,-1,-1,-1,-1,2,0,1,2,0,0,0,0,0,0,2,0,0,0
4070,[Sorcery] Glintstone Arc,0,0,-1,4000,0,10,18,4000,0,-1,-1,-1,1,99,1,1,13,0,10,70,0,0,3,16,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,16,255,530150,530151,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,10407000,10407099,-1,10000100,-1,-1,-1,-1,0,2,0,0,0,0,0,0,0,0,-1,-1,0,0
4080,[Sorcery] Cannon of Haima,1,0,-1,4000,0,45,42,4000,0,-1,-1,-1,1,99,0,1,25,0,10,70,0,0,3,92,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,16,255,-1,-1,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,45,55,0,0,0,0,0,10408000,-1,-1,10000000,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,-1,-1,0,0
