Row ID,Row Name,Unk0,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7,Unk8,Unk9,Unk10,Unk11
10,,1,13,668.01,-873.67,-2509.77,2831164,-36.71,344.39,0.32,0,0,0
11,,1,13,-2509.61,-874.01,-668.01,2831164,-36.71,344.39,0.32,1,0,0
12,,1,35,-184,-88.5,-163,11,-184,-88.5,-163,1,0,0
14,,1,1291,0,0,0,19,0,0,0,1,0,0
15,,1,10,0,0,0,2594,0,0,0,1,0,0
16,,1,3874,4.95,0.02,27.91,3027772,-16.47,272,-55.32,1,0,0
17,,1,13,259.68,83.54,95,3874,2467.37,1028.15,-271.47,0,0,0
18,,1,15,0,0,0,3747900,365.824,626.76,550.648,1,0,0
100,,1,10,0,0,0,2565948,387.383,273.608,-282.331,1,0,0
101,,1,10,0,0,0,2631484,387.383,273.608,-538.331,1,0,0
102,,0,10,0,0,0,2566204,131.383,273.608,-282.331,1,0,0
103,,0,10,0,0,0,2631740,131.383,273.608,-538.331,1,0,0
104,,0,10,0,-8,0,2500924,-124.617,265.608,-26.331,1,0,0
105,,0,10,0,-8,0,2566460,-124.617,265.608,-282.331,1,0,0
106,,1,10,-514,28,200,266,0,0,0,1,0,0
107,,1,10,0,0,0,2594,0,0,0,1,0,0
108,,1,11,-90.017,-118.9,66.456,3419452,-73.338,968.621,-54.108,1,0,0
109,,1,11,0,0,0,3618,0,0,0,1,0,0
110,,1,11,-184,-88.5,-163,35,-184,-88.5,-163,1,0,0
111,,1,1291,-90,-118.9,66.456,3419452,-73.338,968.621,-54.108,1,0,0
112,,1,1291,0,0,0,19,0,0,0,1,0,0
113,,1,1291,0,0,0,3618,0,0,0,1,0,0
114,,1,1291,-184,-88.5,-163,35,-184,-88.5,-163,1,0,0
115,,1,268,400.899,-15.538,-122.692,3024444,89.012,252.618,76.68,1,0,0
116,,1,268,400.899,-15.538,-122.692,3089980,89.012,252.618,-179.32,1,0,0
117,,1,268,400.899,-15.538,-122.692,3024700,-166.988,252.618,76.68,1,0,0
118,,1,268,1693.196,0,1245.763,780,-797.484,91.243,-369.525,1,0,0
119,,1,268,-800.113,-448.156,-1585.592,1036,-88,-180,-106.22,1,0,0
120,,1,524,1549.947,-301.49,1910.793,2634044,-112.364,116.941,-12.317,1,0,0
121,,1,524,928.988,-617.3,1188.437,1804,928.988,-617.3,1188.437,1,0,0
122,,1,524,1271.37,-809.288,1135.411,2060,1271.37,-809.288,1135.411,1,0,0
123,,1,524,1192.549,-611.833,1637.627,2316,1192.549,-611.833,1637.627,1,0,0
124,,1,780,672.648,-397.374,228.076,35,1007.321,-1087.521,632.564,1,0,0
125,,1,1036,0,0,0,2695740,0,0,0,1,0,0
126,,1,1292,0,0,0,2503484,-2000,370,-1250,1,0,0
127,,1,1804,599.083,-494.007,975.002,2370876,-40.917,-64.378,79.001,1,0,0
128,,1,1804,736.052,-402.611,1164.386,2436412,96.052,27.018,12.385,1,0,0
129,,1,13,0,0,0,3487292,0,0,0,1,0,0
130,,1,14,0,0,0,2958140,-112.058,310.577,194.278,1,0,0
131,,1,14,0,0,0,3023676,-112.058,310.577,-61.722,1,0,0
132,,1,14,-256,0,-256,1567,-112.058,310.577,-61.722,1,0,0
133,,1,15,0,0,0,3747900,0,0,0,0,0,0
134,,1,16,-10.16,-1.171,15.894,3482684,1.742,977.781,125.753,1,0,0
135,,1,16,-10.16,-1.171,15.894,3548220,1.742,977.781,-130.247,1,0,0
136,,1,16,244.193,-978.823,-365.855,3417404,0,0,0,1,0,0
137,,1,18,-1,-1,2,2304572,146,15,156,1,0,0
138,,1,18,-1,-1,2,2370108,146,15,-100,1,0,0
139,,1,30,-95,56,74,2173756,-95,56,74,1,0,0
